#Steps,score
60,1.2
120,1.4
180,1.4
240,2.4
300,1.0
360,1.4
420,1.2
480,1.0
540,1.6
600,0.6
660,1.0
720,2.0
780,1.0
840,1.6
900,1.4
960,2.2
1020,0.6
1080,1.2
1140,0.8
1200,1.0
1260,0.8
1320,0.6
1380,1.0
1440,1.0
1500,1.0
1560,0.4
1620,1.4
1680,0.6
1740,0.6
1800,1.0
1860,1.2
1920,0.8
1980,0.8
2040,0.2
2100,0.4
2160,1.4
2220,0.8
2280,0.8
2340,1.2
2400,1.8
2460,0.4
2520,1.0
2580,0.8
2640,0.8
2700,0.8
2760,1.4
2820,0.8
2880,0.6
2940,1.6
3000,1.2
3060,0.6
3120,1.4
3180,1.0
3240,1.4
3300,2.4
3360,1.2
3420,1.4
3480,1.4
3540,1.0
3600,0.2
3660,0.2
3720,0.4
3780,0.8
3840,2.4
3900,1.2
3960,1.6
4020,1.0
4080,1.2
4140,0.8
4200,1.0
4260,1.0
4320,1.6
4380,0.4
4440,1.6
4500,1.4
4560,1.0
4620,1.4
4680,1.6
4740,1.2
4800,0.8
4860,0.8
4920,0.6
4980,1.8
5040,1.6
5100,0.4
5160,1.4
5220,0.6
5280,1.6
5340,1.2
5400,1.4
5460,2.0
5520,1.8
5580,2.0
5640,1.8
5700,1.0
5760,1.2
5820,0.4
5880,0.6
5940,1.4
6000,1.8
6060,1.4
6120,1.6
6180,0.4
6240,0.8
6300,0.6
6360,1.2
6420,0.2
6480,0.6
6540,1.8
6600,1.6
6660,1.6
6720,1.0
6780,1.2
6840,1.6
6900,1.8
6960,1.4
7020,1.8
7080,0.4
7140,1.0
7200,1.2
7260,1.0
7320,0.8
7380,0.4
7440,2.2
7500,0.4
7560,2.0
7620,1.8
7680,1.0
7740,0.6
7800,0.4
7860,1.4
7920,1.6
7980,2.2
8040,1.0
8100,1.2
8160,1.4
8220,1.0
8280,1.4
8340,1.2
8400,1.4
8460,0.8
8520,0.4
8580,0.8
8640,2.0
8700,1.0
8760,0.4
8820,2.4
8880,1.4
8940,1.0
9000,2.2
9060,0.4
9120,0.2
9180,1.2
9240,1.4
9300,1.0
9360,0.8
9420,1.6
9480,0.6
9540,1.8
9600,1.8
9660,1.0
9720,2.2
9780,0.6
9840,0.8
9900,1.6
9960,1.2
10020,1.8
10080,0.8
10140,1.8
10200,0.8
10260,2.4
10320,1.0
10380,0.2
10440,1.0
10500,1.4
10560,1.4
10620,0.2
10680,0.6
10740,1.4
10800,1.2
10860,0.8
10920,1.0
10980,1.2
11040,1.0
11100,1.0
11160,1.0
11220,1.4
11280,1.6
11340,0.8
11400,0.6
11460,1.0
11520,2.2
11580,1.6
11640,2.2
11700,0.8
11760,0.8
11820,0.4
11880,2.4
11940,1.2
12000,1.2
12060,1.6
12120,1.2
12180,1.6
12240,2.4
12300,1.4
12360,1.2
12420,1.8
12480,1.6
12540,0.6
12600,2.2
12660,1.8
12720,1.4
12780,1.2
12840,1.4
12900,0.8
12960,1.2
13020,2.0
13080,1.4
13140,1.4
13200,1.4
13260,1.2
13320,1.8
13380,0.8
13440,2.2
13500,1.6
13560,1.4
13620,1.4
13680,1.4
13740,1.4
13800,2.2
13860,1.4
13920,2.0
13980,1.6
14040,1.4
14100,1.0
14160,1.6
14220,2.4
14280,1.6
14340,1.0
14400,1.6
14460,1.8
14520,1.2
14580,1.6
14640,0.8
14700,1.2
14760,1.6
14820,2.2
14880,1.2
14940,1.2
15000,1.8
15060,3.0
15120,1.4
15180,2.2
15240,2.4
15300,2.6
15360,2.2
15420,1.0
15480,1.6
15540,2.8
15600,1.8
15660,0.2
15720,2.4
15780,2.2
15840,2.0
15900,1.4
15960,2.4
16020,0.4
16080,1.2
16140,1.8
16200,2.0
16260,2.2
16320,3.0
16380,2.0
16440,1.6
16500,1.4
16560,0.8
16620,1.0
16680,1.2
16740,1.0
16800,1.2
16860,1.4
16920,1.0
16980,1.0
17040,1.2
17100,1.6
17160,1.2
17220,0.6
17280,1.2
17340,1.8
17400,2.2
17460,1.4
17520,1.8
17580,1.6
17640,1.6
17700,1.2
17760,2.0
17820,2.2
17880,1.2
17940,1.0
18000,1.8
18060,1.6
18120,1.4
18180,0.6
18240,1.2
18300,1.0
18360,1.6
18420,1.6
18480,2.0
18540,1.8
18600,2.0
18660,1.4
18720,1.6
18780,3.0
18840,1.2
18900,2.0
18960,2.4
19020,2.4
19080,1.4
19140,1.0
19200,1.6
19260,1.8
19320,2.0
19380,0.8
19440,1.8
19500,2.2
19560,1.6
19620,1.8
19680,1.8
19740,1.8
19800,1.8
19860,1.0
19920,1.2
19980,1.4
20040,1.6
20100,2.8
20160,2.4
20220,1.4
20280,1.0
20340,1.4
20400,1.8
20460,1.6
20520,2.6
20580,1.8
20640,1.4
20700,1.2
20760,1.8
20820,2.6
20880,2.4
20940,2.4
21000,1.6
21060,1.8
21120,0.8
21180,1.8
21240,0.8
21300,2.2
21360,2.6
21420,1.8
21480,1.8
21540,1.6
21600,2.0
21660,1.6
21720,2.0
21780,0.8
21840,2.0
21900,2.8
21960,2.4
22020,2.0
22080,1.4
22140,1.6
22200,1.2
22260,1.6
22320,1.8
22380,2.0
22440,1.2
22500,1.8
22560,1.6
22620,1.2
22680,2.0
22740,2.0
22800,2.2
22860,2.6
22920,2.0
22980,2.6
23040,2.2
23100,3.8
23160,3.4
23220,3.0
23280,3.4
23340,3.8
23400,3.2
23460,5.2
23520,5.6
23580,4.4
23640,6.2
23700,6.2
23760,6.8
23820,8.4
23880,9.6
23940,8.2
24000,9.8
24060,9.8
24120,9.8
24180,8.4
24240,12.0
24300,12.4
24360,12.2
24420,12.4
24480,15.8
24540,18.0
24600,16.8
24660,17.4
24720,19.6
24780,20.4
24840,22.2
24900,21.6
24960,22.8
25020,22.6
25080,22.8
25140,25.2
25200,23.0
25260,24.6
25320,23.0
25380,22.2
25440,21.8
25500,23.0
25560,23.4
25620,22.4
25680,22.8
25740,22.4
25800,22.6
25860,24.4
25920,23.0
25980,24.0
26040,24.0
26100,24.6
26160,22.4
26220,22.4
26280,21.4
26340,22.4
26400,22.6
26460,21.4
26520,22.6
26580,21.4
26640,23.8
26700,22.4
26760,23.6
26820,22.2
26880,23.6
26940,24.2
27000,23.8
27060,23.6
27120,22.2
27180,21.4
27240,22.2
27300,20.8
27360,19.2
27420,21.4
27480,19.4
27540,20.8
27600,20.6
27660,23.0
27720,23.4
27780,21.8
27840,22.6
27900,24.2
27960,22.8
28020,24.0
28080,24.4
28140,24.6
28200,23.4
28260,24.0
28320,24.0
28380,23.0
28440,23.0
28500,22.8
28560,23.6
28620,22.6
28680,21.8
28740,22.8
28800,23.6
28860,24.2
28920,23.0
28980,22.6
29040,23.0
29100,22.8
29160,22.2
29220,23.6
29280,23.4
29340,23.6
29400,24.0
29460,22.6
29520,23.8
29580,23.0
29640,22.2
29700,23.4
29760,23.0
29820,22.4
29880,23.6
29940,23.4
30000,23.4
30060,24.2
30120,23.8
30180,24.2
30240,24.4
30300,23.2
30360,24.8
30420,23.6
30480,25.8
30540,24.6
30600,24.2
30660,25.4
30720,25.8
30780,24.4
30840,24.4
30900,24.2
30960,25.0
31020,24.4
31080,24.4
31140,24.2
31200,23.6
31260,24.6
31320,25.0
31380,24.8
31440,24.2
31500,25.8
31560,23.6
31620,24.0
31680,23.4
31740,23.6
31800,24.4
31860,24.4
31920,23.4
31980,24.4
32040,24.2
32100,23.6
32160,22.8
32220,24.2
32280,21.6
32340,24.4
32400,24.2
32460,24.6
32520,24.8
32580,24.8
32640,24.4
32700,24.2
32760,24.8
32820,23.8
32880,23.6
32940,24.6
33000,24.6
33060,24.4
33120,23.0
33180,22.4
33240,23.6
33300,24.2
33360,24.2
33420,24.2
33480,24.8
33540,25.0
33600,22.8
33660,23.8
33720,23.6
33780,23.4
33840,23.2
33900,24.2
33960,23.2
34020,23.8
34080,22.2
34140,23.2
34200,22.8
34260,22.2
34320,23.2
34380,23.6
34440,23.0
34500,22.4
34560,23.4
34620,22.0
34680,20.8
34740,22.4
34800,22.2
34860,23.2
34920,21.8
34980,21.8
35040,21.8
35100,22.4
35160,22.8
35220,22.4
35280,22.4
35340,22.6
35400,21.4
35460,23.0
35520,21.4
35580,23.4
35640,22.8
35700,23.6
35760,23.0
35820,23.8
35880,23.6
35940,22.4
36000,24.4
36060,24.0
36120,23.0
36180,23.4
36240,22.4
36300,22.6
36360,23.8
36420,22.4
36480,23.4
36540,23.0
36600,22.4
36660,22.8
36720,22.8
36780,23.4
36840,22.4
36900,22.8
36960,24.0
37020,24.6
37080,22.2
37140,23.4
37200,23.6
37260,24.6
37320,23.6
37380,24.0
37440,22.8
37500,23.8
37560,23.4
37620,21.8
37680,21.6
37740,22.8
37800,22.6
37860,23.4
37920,23.4
37980,22.8
38040,22.6
38100,23.6
38160,23.0
38220,24.0
38280,22.0
38340,23.0
38400,22.8
38460,24.4
38520,23.4
38580,24.4
38640,23.4
38700,23.0
38760,22.4
38820,22.6
38880,22.8
38940,21.4
39000,22.0
39060,22.4
39120,23.6
39180,22.2
39240,22.4
39300,22.8
39360,24.2
39420,24.8
39480,23.0
39540,22.6
39600,24.6
39660,24.0
39720,23.8
39780,23.6
39840,23.0
39900,25.4
39960,24.4
40020,23.2
40080,25.2
40140,22.0
40200,23.8
40260,22.6
40320,23.8
40380,24.6
40440,23.6
40500,23.8
40560,22.8
40620,23.4
40680,22.4
40740,23.4
40800,24.2
40860,22.8
40920,22.8
40980,23.0
41040,22.4
41100,23.6
41160,23.4
41220,24.6
41280,23.6
41340,23.8
41400,23.0
41460,25.4
41520,22.0
41580,23.4
41640,23.6
41700,23.6
41760,24.8
41820,23.6
41880,24.0
41940,23.2
42000,24.8
42060,23.6
42120,23.6
42180,22.8
42240,24.2
42300,22.8
42360,23.6
42420,23.0
42480,24.4
42540,24.8
42600,23.4
42660,22.8
42720,23.8
42780,25.4
42840,23.0
42900,24.2
42960,23.4
43020,23.6
43080,26.0
43140,24.0
43200,23.0
43260,24.4
43320,24.8
43380,25.0
43440,25.8
43500,24.0
43560,23.6
43620,25.2
43680,24.6
43740,24.0
43800,23.8
43860,25.8
43920,24.2
43980,25.4
44040,25.4
44100,26.6
44160,23.8
44220,26.6
44280,24.8
44340,25.4
44400,24.8
44460,25.2
44520,25.4
44580,23.2
44640,23.8
44700,24.8
44760,22.0
44820,26.2
44880,24.0
44940,24.0
45000,23.8
45060,26.0
45120,23.4
45180,24.2
45240,24.8
45300,25.0
45360,24.6
45420,26.0
45480,25.2
45540,25.0
45600,25.6
45660,25.4
45720,25.4
45780,25.4
45840,26.0
45900,25.8
45960,24.6
46020,24.4
46080,25.8
46140,24.8
46200,25.4
46260,23.6
46320,24.6
46380,25.4
46440,24.6
46500,24.4
46560,25.2
46620,25.2
46680,26.2
46740,24.0
46800,23.4
46860,27.0
46920,26.2
46980,25.6
47040,25.0
47100,24.8
47160,24.6
47220,23.6
47280,25.2
47340,24.8
47400,26.4
47460,24.0
47520,24.6
47580,24.6
47640,22.6
47700,24.4
47760,25.2
47820,24.0
47880,25.6
47940,24.0
48000,23.8
48060,25.2
48120,24.6
48180,24.0
48240,24.2
48300,23.6
48360,24.8
48420,25.0
48480,24.4
48540,23.4
48600,24.4
48660,24.2
48720,25.0
48780,25.6
48840,24.2
48900,23.4
48960,25.0
49020,24.4
49080,24.2
49140,24.2
49200,23.2
49260,23.8
49320,24.6
49380,24.0
49440,25.8
49500,25.2
49560,25.2
49620,25.4
49680,24.4
49740,23.4
49800,23.8
49860,23.6
49920,25.2
49980,23.2
50040,24.2
50100,24.0
50160,23.8
50220,23.4
50280,24.2
50340,24.4
50400,25.0
50460,25.6
50520,25.4
50580,25.4
50640,24.0
50700,24.6
50760,24.4
50820,25.2
50880,25.4
50940,24.6
51000,24.4
51060,24.6
51120,23.8
51180,24.0
51240,25.2
51300,24.2
51360,25.4
51420,23.6
51480,23.8
51540,26.6
51600,25.0
51660,24.6
51720,22.6
51780,23.4
51840,24.6
51900,24.0
51960,24.8
52020,24.2
52080,23.8
52140,25.2
52200,24.0
52260,23.6
52320,23.4
52380,25.4
52440,23.8
52500,24.2
52560,24.0
52620,24.2
52680,24.0
52740,25.8
52800,24.0
52860,25.0
52920,24.4
52980,25.4
53040,23.0
53100,24.2
53160,24.6
53220,24.8
53280,24.2
53340,25.2
53400,24.2
53460,23.2
53520,24.4
53580,24.0
53640,26.8
53700,25.2
53760,25.6
53820,24.4
53880,26.2
53940,23.8
54000,26.0
54060,25.8
54120,25.0
54180,23.0
54240,23.8
54300,25.0
54360,24.4
54420,24.8
54480,24.4
54540,23.2
54600,24.8
54660,24.6
54720,22.8
54780,24.8
54840,25.6
54900,23.6
54960,24.4
55020,25.6
55080,25.2
55140,22.4
55200,24.4
55260,23.6
55320,23.8
55380,24.4
55440,24.8
55500,25.2
55560,24.2
55620,24.8
55680,24.2
55740,24.0
55800,23.4
55860,23.0
55920,23.8
55980,23.6
56040,24.8
56100,24.4
56160,22.8
56220,23.8
56280,24.8
56340,24.6
56400,24.0
56460,23.2
56520,23.8
56580,23.4
56640,24.2
56700,24.6
56760,22.8
56820,23.2
56880,23.4
56940,24.2
57000,25.0
57060,25.2
57120,24.0
57180,24.0
57240,24.4
57300,23.2
57360,23.6
57420,24.0
57480,23.0
57540,23.2
57600,24.0
57660,24.0
57720,23.0
57780,23.4
57840,22.8
57900,24.6
57960,25.8
58020,24.2
58080,21.6
58140,23.4
58200,23.4
58260,23.2
58320,24.6
58380,23.6
58440,22.6
58500,23.4
58560,23.4
58620,24.4
58680,23.2
58740,23.4
58800,24.0
58860,25.6
58920,24.4
58980,25.4
59040,22.6
59100,23.2
59160,24.0
59220,24.8
59280,24.0
59340,23.6
59400,25.6
59460,24.8
59520,23.6
59580,24.0
59640,24.6
59700,24.2
59760,23.4
59820,22.6
59880,24.4
59940,24.0
60000,24.4
60060,23.2
60120,24.0
60180,23.2
60240,23.8
60300,24.0
60360,23.0
60420,24.6
60480,24.0
60540,23.0
60600,24.6
60660,23.0
60720,24.0
60780,24.4
60840,24.0
60900,24.0
60960,24.2
61020,24.6
61080,23.8
61140,24.6
61200,23.8
61260,24.0
61320,22.4
61380,24.4
61440,23.8
61500,24.0
61560,24.2
61620,24.2
61680,24.0
61740,24.6
61800,25.0
61860,24.4
61920,21.8
61980,23.0
62040,24.6
62100,23.2
62160,23.8
62220,22.4
62280,24.2
62340,24.2
62400,22.2
62460,24.0
62520,24.2
62580,23.8
62640,23.6
62700,24.2
62760,24.0
62820,24.0
62880,24.2
62940,23.2
63000,24.2
63060,23.6
63120,25.4
63180,24.4
63240,24.4
63300,24.8
63360,23.8
63420,24.2
63480,23.8
63540,22.8
63600,25.4
63660,23.0
63720,24.6
63780,24.8
63840,23.8
63900,23.6
63960,24.2
64020,23.8
64080,23.6
64140,23.8
64200,21.8
64260,23.6
64320,22.4
64380,22.6
64440,22.0
64500,21.4
64560,23.2
64620,21.0
64680,22.2
64740,21.6
64800,22.2
64860,21.2
64920,24.2
64980,24.4
65040,23.4
65100,23.4
65160,23.8
65220,24.2
65280,23.6
65340,24.0
65400,25.0
65460,24.2
65520,24.6
65580,25.0
65640,25.0
65700,23.8
65760,25.4
65820,24.6
65880,23.2
65940,25.4
66000,23.2
66060,24.2
66120,25.2
66180,24.2
66240,24.2
66300,24.6
66360,24.2
66420,24.4
66480,24.2
66540,25.6
66600,24.4
66660,25.6
66720,24.2
66780,23.4
66840,24.6
66900,24.6
66960,25.0
67020,24.2
67080,24.0
67140,24.0
67200,24.6
67260,23.6
67320,24.6
67380,23.8
67440,24.0
67500,24.8
67560,22.6
67620,24.4
67680,24.4
67740,23.8
67800,24.0
67860,24.8
67920,23.6
67980,23.2
68040,22.8
68100,23.0
68160,23.6
68220,24.6
68280,24.6
68340,24.2
68400,24.8
68460,23.6
68520,24.2
68580,24.4
68640,23.8
68700,25.2
68760,24.0
68820,24.2
68880,25.8
68940,23.6
69000,23.6
69060,24.2
69120,24.6
69180,24.8
69240,23.2
69300,23.4
69360,23.2
69420,23.4
69480,23.6
69540,24.0
69600,24.4
69660,25.2
69720,24.4
69780,23.2
69840,23.6
69900,24.4
69960,24.8
70020,24.0
70080,24.4
70140,25.0
70200,24.8
70260,24.0
70320,24.0
70380,23.4
70440,23.6
70500,22.6
70560,23.2
70620,23.4
