#Steps,score
60,0.8
120,0.8
180,1.0
240,0.4
300,0.6
360,0.2
420,1.8
480,0.4
540,0.6
600,1.0
660,0.6
720,1.8
780,0.6
840,0.8
900,0.8
960,0.4
1020,0.8
1080,0.8
1140,2.4
1200,1.0
1260,1.6
1320,0.4
1380,1.6
1440,0.8
1500,1.4
1560,0.6
1620,1.0
1680,0.8
1740,1.2
1800,1.0
1860,1.0
1920,0.6
1980,0.2
2040,1.4
2100,0.4
2160,1.2
2220,1.0
2280,0.8
2340,0.8
2400,1.6
2460,2.4
2520,0.4
2580,1.4
2640,1.4
2700,1.0
2760,0.6
2820,1.0
2880,1.4
2940,1.4
3000,1.0
3060,0.6
3120,1.4
3180,1.2
3240,1.0
3300,1.4
3360,1.2
3420,0.8
3480,1.2
3540,0.8
3600,0.8
3660,1.2
3720,1.0
3780,2.0
3840,0.8
3900,2.0
3960,1.6
4020,1.4
4080,0.8
4140,1.2
4200,3.0
4260,0.6
4320,0.6
4380,0.8
4440,1.8
4500,1.2
4560,1.0
4620,0.2
4680,1.4
4740,1.4
4800,0.8
4860,1.6
4920,1.4
4980,1.2
5040,2.0
5100,1.6
5160,2.8
5220,0.8
5280,1.0
5340,1.2
5400,0.0
5460,1.8
5520,2.0
5580,0.8
5640,0.6
5700,1.4
5760,1.6
5820,1.2
5880,1.2
5940,2.2
6000,1.0
6060,1.2
6120,1.0
6180,1.4
6240,1.8
6300,1.8
6360,0.6
6420,1.2
6480,0.6
6540,1.0
6600,1.2
6660,1.6
6720,1.6
6780,1.2
6840,1.6
6900,0.8
6960,1.6
7020,1.4
7080,1.4
7140,1.0
7200,1.2
7260,0.6
7320,0.8
7380,1.8
7440,1.4
7500,0.8
7560,1.6
7620,1.0
7680,0.6
7740,0.8
7800,1.4
7860,1.0
7920,1.0
7980,0.8
8040,1.2
8100,1.6
8160,0.8
8220,1.2
8280,1.0
8340,1.4
8400,1.6
8460,0.4
8520,0.6
8580,0.6
8640,1.4
8700,0.4
8760,0.2
8820,1.6
