#Steps,score
60,1.4
120,1.0
180,1.8
240,1.2
300,1.2
360,1.2
420,1.2
480,1.6
540,1.4
600,1.8
660,1.6
720,1.4
780,1.0
840,0.6
900,1.6
960,0.8
1020,1.2
1080,1.2
1140,0.4
1200,1.6
1260,1.4
1320,1.8
1380,1.0
1440,1.0
1500,2.0
1560,1.2
1620,1.0
1680,0.8
1740,1.2
1800,0.4
1860,0.8
1920,2.0
1980,2.0
2040,1.0
2100,1.2
2160,1.8
2220,1.8
2280,1.0
2340,1.2
2400,1.0
2460,1.2
2520,1.2
2580,1.0
2640,1.0
2700,1.2
2760,1.6
2820,0.6
2880,1.2
2940,1.6
3000,2.0
3060,1.0
3120,1.0
3180,1.0
3240,2.2
3300,0.4
3360,1.4
3420,0.8
3480,1.0
3540,1.4
3600,1.4
3660,1.0
3720,1.2
3780,1.0
3840,0.8
3900,2.0
3960,1.8
4020,0.8
4080,1.8
4140,1.0
4200,0.2
4260,1.2
4320,1.0
4380,1.0
4440,1.8
4500,0.8
4560,1.4
4620,0.8
4680,1.4
4740,1.0
4800,1.8
4860,1.2
4920,1.0
4980,2.0
5040,2.2
5100,2.0
5160,2.0
5220,1.6
5280,1.0
5340,1.8
5400,1.4
5460,1.2
5520,1.4
5580,1.0
5640,1.4
5700,2.0
5760,1.6
5820,1.2
5880,1.8
5940,1.6
6000,1.6
6060,1.2
6120,1.6
6180,1.6
6240,1.6
6300,0.6
6360,1.4
6420,1.8
6480,2.2
6540,1.8
6600,1.2
6660,2.2
6720,0.6
6780,1.0
6840,1.0
6900,2.0
6960,1.4
7020,2.6
7080,0.8
7140,1.6
7200,2.0
7260,1.8
7320,1.4
7380,1.6
7440,1.8
7500,1.4
7560,1.4
7620,1.2
7680,2.6
7740,1.8
7800,2.8
7860,1.4
7920,1.4
7980,1.4
8040,2.2
8100,1.8
8160,2.4
8220,2.0
8280,2.2
8340,1.2
8400,1.6
8460,1.2
8520,2.2
8580,1.8
8640,1.2
8700,2.0
8760,2.8
8820,1.6
8880,3.2
8940,2.2
9000,1.6
9060,4.0
9120,1.8
9180,1.6
9240,2.2
9300,3.2
9360,2.8
9420,2.4
9480,2.6
9540,3.2
9600,3.2
9660,3.0
9720,3.0
9780,3.4
9840,3.0
9900,3.8
9960,3.6
10020,2.0
10080,2.8
10140,2.8
10200,2.4
10260,2.8
10320,2.2
10380,2.6
10440,2.0
10500,4.0
10560,3.8
10620,3.4
10680,4.2
10740,4.0
10800,5.0
10860,4.2
10920,4.8
10980,6.2
11040,7.2
11100,6.8
11160,10.6
11220,10.8
11280,13.0
11340,16.0
11400,18.6
11460,18.8
11520,20.2
11580,20.6
11640,21.8
11700,22.4
11760,23.4
11820,22.6
11880,22.4
11940,22.4
12000,21.6
12060,22.2
12120,24.4
12180,23.8
12240,22.8
12300,23.8
12360,22.6
12420,23.0
12480,21.6
12540,21.2
12600,22.0
12660,20.8
12720,21.6
12780,21.0
12840,22.0
12900,21.8
12960,21.2
13020,21.8
13080,23.0
13140,22.4
13200,22.6
13260,24.2
13320,23.0
13380,23.0
13440,24.8
13500,25.2
13560,24.6
13620,23.0
13680,26.4
13740,23.4
13800,23.6
13860,23.4
13920,25.0
13980,25.0
14040,25.4
14100,23.6
14160,24.8
14220,24.8
14280,23.8
14340,24.2
14400,25.2
14460,24.8
14520,24.2
14580,25.4
14640,23.6
14700,25.4
14760,24.0
14820,25.2
14880,23.0
14940,22.8
15000,24.0
15060,25.0
15120,25.6
15180,24.0
15240,23.0
15300,24.4
15360,23.8
15420,23.4
15480,23.8
15540,22.4
15600,23.2
15660,22.8
15720,23.8
15780,22.0
15840,23.2
15900,22.2
15960,22.0
16020,21.8
16080,22.2
16140,21.2
16200,22.0
16260,23.4
16320,23.4
16380,23.0
16440,23.2
16500,23.6
16560,22.2
16620,23.8
16680,23.0
16740,23.2
16800,24.4
16860,23.4
16920,24.0
16980,23.2
17040,23.6
17100,23.4
17160,23.2
17220,23.2
17280,23.4
17340,23.8
17400,23.8
17460,23.6
17520,23.2
17580,25.2
17640,23.6
17700,23.6
17760,25.0
17820,24.4
17880,24.0
17940,24.8
18000,23.8
18060,24.4
18120,23.8
18180,24.4
18240,23.8
18300,23.6
18360,23.8
18420,24.0
18480,22.2
18540,23.2
18600,23.0
18660,23.6
18720,23.0
18780,23.4
18840,22.6
18900,24.0
18960,22.6
19020,23.6
19080,24.0
19140,21.8
19200,22.8
19260,23.0
19320,23.0
