#Steps,score
60,1.6
120,2.0
180,1.4
240,0.8
300,1.6
360,2.0
420,0.6
480,1.4
540,1.4
600,0.4
660,1.8
720,0.6
780,1.6
840,1.6
900,1.0
960,1.2
1020,0.2
1080,1.6
1140,1.0
1200,1.4
1260,1.0
1320,1.8
1380,1.2
1440,0.8
1500,1.2
1560,1.0
1620,2.2
1680,0.4
1740,1.2
1800,1.6
1860,1.0
1920,0.6
1980,1.2
2040,1.8
2100,1.8
2160,1.4
2220,1.0
2280,1.4
2340,1.0
2400,1.2
2460,1.2
2520,1.0
2580,0.8
2640,1.0
2700,0.4
2760,1.2
2820,0.8
2880,1.0
2940,1.4
3000,1.0
3060,1.6
3120,1.6
3180,0.8
3240,1.2
3300,0.6
3360,0.8
3420,0.8
3480,1.2
3540,1.6
3600,0.4
3660,1.2
3720,0.4
3780,1.0
3840,1.4
3900,1.0
3960,1.0
4020,0.8
4080,1.2
4140,1.6
4200,0.4
4260,0.4
4320,1.4
4380,1.6
4440,1.6
4500,1.8
4560,1.4
4620,1.6
4680,1.6
4740,2.2
4800,1.6
4860,1.2
4920,1.6
4980,0.4
5040,1.0
5100,0.4
5160,1.2
5220,0.8
5280,1.2
5340,1.2
5400,1.0
5460,1.0
5520,1.2
5580,1.2
5640,0.4
5700,1.2
5760,1.0
5820,0.6
5880,0.6
5940,1.6
6000,1.6
6060,0.8
6120,2.2
6180,0.6
6240,1.0
6300,0.4
6360,1.4
6420,1.0
6480,1.6
6540,1.6
6600,2.0
6660,1.2
6720,0.4
6780,1.4
6840,1.0
6900,0.6
6960,1.8
7020,1.4
7080,1.2
7140,1.0
7200,0.8
7260,1.0
7320,1.2
7380,1.8
7440,2.0
7500,0.6
7560,0.8
7620,0.8
7680,1.8
7740,1.8
7800,0.6
7860,0.8
7920,1.6
7980,1.2
8040,1.6
8100,1.4
8160,1.8
8220,1.8
8280,0.8
8340,1.4
8400,2.2
8460,1.4
8520,1.0
8580,1.6
8640,1.8
8700,1.6
8760,0.8
8820,0.6
8880,0.8
8940,1.4
9000,1.4
9060,1.0
9120,1.4
9180,0.4
9240,1.4
9300,0.8
9360,1.6
9420,2.2
9480,1.0
9540,1.6
9600,2.4
9660,1.4
9720,1.6
9780,1.4
9840,1.6
9900,1.4
9960,1.4
10020,1.8
10080,0.8
10140,1.0
10200,1.4
10260,0.6
10320,1.0
10380,1.2
10440,1.4
10500,1.6
10560,1.2
10620,1.0
10680,1.0
10740,0.6
10800,1.0
10860,1.4
10920,1.6
10980,1.0
11040,1.2
11100,2.6
11160,0.8
11220,1.8
11280,0.8
11340,1.0
11400,0.8
11460,1.2
11520,1.2
11580,1.6
11640,1.6
11700,1.4
11760,2.2
11820,1.0
11880,1.4
11940,2.4
12000,2.0
12060,1.8
12120,1.0
12180,1.2
12240,1.2
12300,1.4
12360,1.0
12420,1.8
12480,1.0
12540,1.0
12600,1.0
12660,1.6
12720,1.8
12780,1.2
12840,0.4
12900,1.2
12960,1.4
13020,1.2
13080,1.4
13140,1.6
13200,1.8
13260,1.0
13320,2.0
13380,2.4
13440,0.8
13500,1.2
13560,0.6
13620,1.6
13680,1.2
13740,1.0
13800,2.0
13860,1.0
13920,1.4
13980,1.2
14040,1.8
14100,0.6
14160,1.2
14220,0.2
14280,1.2
14340,2.0
14400,1.6
14460,2.0
14520,1.2
14580,0.8
14640,1.8
14700,0.8
14760,1.4
14820,2.0
14880,1.2
14940,1.2
15000,1.4
15060,1.2
15120,0.6
15180,1.6
15240,1.4
15300,0.6
15360,1.0
15420,1.4
15480,1.0
15540,2.6
15600,1.4
15660,1.8
15720,3.0
15780,1.2
15840,1.4
15900,1.4
15960,1.6
16020,1.8
16080,1.8
16140,1.6
16200,1.2
16260,2.2
16320,1.6
16380,2.8
16440,1.8
16500,1.8
16560,1.4
16620,1.4
16680,1.0
16740,1.4
16800,1.4
16860,1.6
16920,0.8
16980,1.4
17040,1.2
17100,0.6
17160,1.6
17220,2.6
17280,1.8
17340,1.2
17400,1.6
17460,1.4
17520,0.8
17580,2.0
17640,1.6
17700,1.4
17760,1.6
17820,2.0
17880,1.8
17940,1.2
18000,2.6
18060,2.2
18120,1.4
18180,1.6
18240,1.6
18300,2.6
18360,1.4
18420,1.6
18480,1.6
18540,1.8
18600,0.8
18660,1.2
18720,1.6
18780,1.2
18840,2.2
18900,2.4
18960,1.0
19020,1.8
19080,1.6
19140,1.4
19200,1.4
19260,0.8
19320,1.6
19380,1.2
19440,1.6
19500,2.0
19560,1.4
19620,1.6
19680,1.4
19740,1.8
19800,2.4
19860,1.4
19920,1.6
19980,1.4
20040,2.8
20100,3.2
20160,2.6
20220,2.4
20280,3.2
20340,1.4
20400,1.6
20460,1.8
20520,3.0
20580,1.8
20640,2.0
20700,2.0
20760,2.0
20820,2.6
20880,2.8
20940,1.4
21000,2.4
21060,2.2
21120,2.0
21180,3.0
21240,1.6
21300,1.8
21360,2.0
21420,3.0
21480,2.2
21540,3.4
21600,2.4
21660,3.2
21720,2.8
21780,3.4
21840,2.4
21900,3.4
21960,4.4
22020,5.0
22080,4.4
22140,4.6
22200,7.2
22260,5.8
22320,4.4
22380,5.6
22440,5.4
22500,4.8
22560,4.2
22620,4.8
22680,6.8
22740,8.0
22800,8.8
22860,8.6
22920,10.2
22980,12.2
23040,12.4
23100,15.0
23160,15.6
23220,19.0
23280,19.8
23340,20.2
23400,20.6
23460,21.4
23520,20.6
23580,20.8
23640,21.0
23700,22.4
23760,23.0
23820,22.4
23880,23.6
23940,23.2
24000,22.8
24060,23.6
24120,21.6
24180,21.6
24240,21.4
24300,22.6
24360,22.0
24420,19.6
24480,20.8
24540,20.2
24600,20.4
24660,21.4
24720,21.6
24780,21.6
24840,22.0
24900,23.8
24960,23.8
25020,23.4
25080,23.0
25140,22.4
25200,22.0
25260,23.0
25320,23.8
25380,23.0
25440,23.2
25500,22.6
25560,21.2
25620,22.2
25680,23.0
25740,23.8
25800,24.4
25860,23.2
25920,23.4
25980,23.8
26040,23.2
26100,22.2
26160,23.6
26220,22.2
26280,23.2
26340,20.8
26400,22.2
26460,21.4
26520,21.8
26580,21.8
26640,20.6
26700,21.2
26760,23.8
26820,21.8
26880,24.6
26940,22.6
27000,23.2
27060,23.0
27120,24.0
27180,23.8
27240,25.0
27300,24.2
27360,23.4
27420,22.2
27480,22.8
27540,22.2
27600,24.0
27660,24.0
27720,22.6
27780,24.8
27840,22.6
27900,24.6
27960,23.6
28020,24.8
28080,23.6
28140,24.2
28200,22.6
28260,23.8
28320,23.0
28380,23.2
28440,24.4
28500,24.2
28560,23.0
28620,23.8
28680,23.0
28740,24.0
28800,22.4
28860,22.4
28920,22.2
28980,22.4
29040,23.2
29100,24.2
29160,24.0
29220,22.6
29280,24.4
29340,24.8
29400,24.0
29460,23.8
29520,22.8
29580,24.6
29640,23.4
29700,22.8
29760,23.0
29820,22.4
29880,23.6
29940,24.6
30000,22.6
30060,23.8
30120,23.0
30180,22.8
30240,23.4
30300,23.8
30360,24.2
30420,24.2
30480,25.2
30540,24.6
30600,24.2
30660,23.2
30720,23.8
30780,25.2
30840,24.4
30900,24.4
30960,23.2
31020,23.6
31080,24.4
31140,24.4
31200,22.4
31260,24.4
31320,24.0
31380,24.8
31440,24.6
31500,23.4
31560,23.4
31620,24.8
31680,24.4
31740,24.0
31800,26.4
31860,25.0
31920,23.0
31980,24.0
32040,23.6
32100,24.0
32160,23.2
32220,24.6
32280,25.0
32340,25.8
32400,24.2
32460,24.4
32520,23.8
32580,23.2
32640,24.0
32700,23.8
32760,25.6
32820,22.8
32880,24.4
32940,22.4
33000,24.2
33060,24.2
33120,23.0
33180,23.8
33240,24.0
33300,24.6
33360,23.2
33420,24.8
33480,21.8
33540,23.8
33600,26.0
33660,24.6
33720,23.6
33780,23.4
33840,24.8
33900,24.6
33960,25.4
34020,24.4
34080,23.6
34140,24.8
34200,22.6
34260,24.4
34320,23.6
34380,23.8
34440,24.6
34500,24.2
34560,25.8
34620,23.6
34680,24.2
34740,23.6
34800,24.6
34860,23.8
34920,24.6
34980,25.0
35040,23.6
35100,22.6
35160,24.6
35220,24.8
35280,25.2
35340,23.6
35400,23.8
35460,25.8
35520,24.6
35580,23.2
35640,25.2
35700,23.0
