#Steps,score
60,0.6
120,1.0
180,2.0
240,1.4
300,0.8
360,1.0
420,0.4
480,0.8
540,0.8
600,1.4
660,0.6
720,0.6
780,0.8
840,1.4
900,1.2
960,0.2
1020,0.8
1080,1.4
1140,0.8
1200,1.8
1260,1.0
1320,1.2
1380,1.0
1440,1.4
1500,0.2
1560,0.6
1620,1.0
1680,1.0
1740,0.8
1800,0.8
1860,1.4
1920,0.8
1980,1.0
2040,0.6
2100,1.4
2160,1.8
2220,1.0
2280,1.8
2340,0.6
2400,2.0
2460,0.4
2520,0.8
2580,0.4
2640,0.8
2700,0.6
2760,0.8
2820,1.0
2880,1.0
2940,1.8
3000,0.4
3060,0.6
3120,1.2
3180,2.0
3240,1.2
3300,1.6
3360,2.2
3420,1.4
3480,1.0
3540,0.6
3600,1.0
3660,1.4
3720,1.6
3780,1.2
3840,1.4
3900,0.6
3960,1.0
4020,1.6
4080,2.0
4140,0.2
4200,0.8
4260,1.0
4320,1.6
4380,1.0
4440,0.6
4500,0.6
4560,1.6
4620,2.2
4680,1.2
4740,0.8
4800,1.0
4860,0.8
4920,2.0
4980,2.0
5040,1.0
5100,1.2
5160,0.4
5220,1.4
5280,0.8
5340,1.6
5400,1.6
5460,1.4
5520,1.8
5580,0.8
5640,1.2
5700,0.4
5760,1.2
5820,1.0
5880,1.6
5940,1.4
6000,1.0
6060,1.6
6120,2.0
6180,0.4
6240,1.2
6300,1.0
6360,1.0
6420,1.0
6480,0.6
6540,1.6
6600,0.8
6660,1.2
6720,1.2
6780,1.4
6840,0.8
6900,0.6
6960,2.4
7020,0.6
7080,1.6
7140,0.8
7200,1.6
7260,0.6
7320,1.2
7380,0.6
7440,0.4
7500,1.6
7560,1.2
7620,0.6
7680,0.2
7740,1.2
7800,1.0
7860,0.8
7920,0.8
7980,0.6
8040,1.0
8100,2.0
8160,2.0
8220,0.8
8280,2.0
8340,1.4
8400,0.6
8460,1.2
8520,1.6
8580,1.4
8640,1.6
8700,1.8
8760,1.6
8820,1.2
8880,1.2
8940,1.2
9000,1.4
9060,1.0
9120,1.8
9180,1.2
9240,1.4
9300,1.8
9360,0.8
9420,1.0
9480,1.4
9540,1.2
9600,1.2
9660,1.0
9720,1.8
9780,1.6
9840,2.2
9900,2.6
9960,1.6
10020,1.6
10080,0.8
10140,0.6
10200,1.4
10260,0.6
10320,1.6
10380,1.8
10440,1.0
10500,0.6
10560,1.6
10620,1.2
10680,1.0
10740,1.4
10800,2.0
10860,1.6
10920,1.0
10980,2.4
11040,0.8
11100,1.4
11160,1.4
11220,1.2
11280,1.4
11340,1.6
11400,1.4
11460,1.4
11520,0.6
11580,2.0
11640,1.2
11700,1.6
11760,1.6
11820,1.2
11880,2.2
11940,1.2
12000,1.0
12060,1.6
12120,0.8
12180,1.4
12240,1.0
12300,1.6
12360,2.0
12420,1.8
12480,1.4
12540,1.8
12600,1.4
12660,0.6
12720,1.6
12780,1.2
12840,1.6
12900,2.0
12960,1.4
13020,1.0
13080,2.4
13140,0.6
13200,0.6
13260,1.2
13320,1.2
13380,2.2
13440,1.8
13500,1.0
13560,1.6
13620,0.4
13680,2.2
13740,1.8
13800,1.4
13860,1.6
13920,2.0
13980,1.2
14040,0.6
14100,1.4
14160,0.8
14220,1.0
14280,0.8
14340,2.0
14400,2.0
14460,1.8
14520,1.2
14580,1.6
14640,1.0
14700,1.6
14760,1.4
14820,1.4
14880,1.0
14940,2.8
15000,1.0
15060,1.0
15120,1.0
15180,1.4
15240,1.6
15300,1.4
15360,1.2
15420,0.6
15480,2.2
15540,2.4
15600,1.4
15660,1.8
15720,1.4
15780,1.6
15840,0.8
15900,1.6
15960,1.2
16020,2.4
16080,1.2
16140,0.8
16200,0.6
16260,1.4
16320,1.6
16380,1.2
16440,1.8
16500,1.2
16560,0.8
16620,1.4
16680,0.4
16740,1.4
16800,2.0
16860,1.4
16920,0.4
16980,1.6
17040,1.0
17100,1.6
17160,1.0
17220,1.2
17280,1.2
17340,1.6
17400,1.0
17460,1.8
17520,2.0
17580,1.4
17640,1.6
17700,1.8
17760,0.8
17820,2.0
17880,1.6
17940,1.2
18000,0.8
18060,1.4
18120,2.4
18180,2.0
18240,1.0
18300,2.2
18360,1.6
18420,0.6
18480,1.2
18540,1.6
18600,2.2
18660,1.4
18720,1.6
18780,1.8
18840,1.6
18900,1.0
18960,0.4
19020,1.4
19080,0.8
19140,1.6
19200,2.4
19260,1.4
19320,1.8
19380,2.6
19440,1.2
19500,1.4
19560,1.6
19620,1.2
19680,1.8
19740,3.2
19800,1.4
19860,1.8
19920,1.8
19980,1.6
20040,1.2
20100,1.6
20160,1.6
20220,1.8
20280,0.8
20340,1.4
20400,1.4
20460,2.6
20520,1.8
20580,2.0
20640,1.2
20700,0.8
20760,0.8
20820,1.8
20880,1.4
20940,1.6
21000,1.4
21060,1.8
21120,1.6
21180,1.6
21240,1.6
21300,1.0
21360,1.8
21420,1.4
21480,1.2
21540,1.4
21600,2.0
21660,1.6
21720,1.4
21780,1.8
21840,2.0
21900,2.4
21960,1.4
22020,1.8
22080,1.8
22140,2.0
22200,0.8
22260,2.0
22320,1.4
22380,1.6
22440,2.2
22500,1.2
22560,1.4
22620,2.6
22680,1.4
22740,1.2
22800,1.8
22860,1.2
22920,1.2
22980,2.4
23040,0.6
23100,1.0
23160,1.8
23220,1.6
23280,1.8
23340,2.8
23400,2.6
23460,1.4
23520,2.4
23580,2.4
23640,2.0
23700,2.2
23760,2.0
23820,0.8
23880,1.8
23940,1.0
24000,2.2
24060,2.4
24120,1.8
24180,2.0
24240,2.2
24300,0.8
24360,1.8
24420,2.4
24480,1.8
24540,2.0
