#Steps,score
60,1.2
120,1.6
180,1.2
240,0.8
300,2.2
360,0.8
420,0.8
480,0.8
540,1.2
600,0.8
660,1.0
720,0.2
780,0.8
840,1.0
900,0.8
960,1.4
1020,1.6
1080,1.6
1140,1.8
1200,1.0
1260,0.8
1320,1.2
1380,1.8
1440,1.0
1500,1.8
1560,0.0
1620,1.0
1680,1.0
1740,0.8
1800,1.0
1860,0.6
1920,1.6
1980,1.8
2040,0.6
2100,1.2
2160,1.4
2220,1.6
2280,1.2
2340,1.8
2400,1.0
2460,1.0
2520,0.8
2580,1.0
2640,0.6
2700,0.6
2760,1.0
2820,0.8
2880,1.6
2940,1.8
3000,1.2
3060,1.2
3120,1.2
3180,1.4
3240,1.0
3300,0.6
3360,1.2
3420,2.0
3480,1.2
3540,1.4
3600,1.4
3660,1.0
3720,1.2
3780,1.0
3840,1.0
3900,1.4
3960,1.0
4020,1.8
4080,1.8
4140,0.8
4200,1.2
4260,1.4
4320,1.4
4380,1.2
4440,1.2
4500,1.2
4560,3.0
4620,0.8
4680,1.4
4740,1.4
4800,1.4
4860,1.2
4920,1.2
4980,1.2
5040,1.4
5100,2.2
5160,1.4
5220,1.8
5280,1.2
5340,1.6
5400,1.8
5460,2.0
5520,2.0
5580,1.8
5640,2.4
5700,0.8
5760,1.0
5820,1.6
5880,1.0
5940,2.4
6000,0.8
6060,1.6
6120,1.0
6180,2.0
6240,2.0
6300,1.8
6360,0.8
6420,2.0
6480,1.0
6540,2.2
6600,2.0
6660,2.4
6720,1.8
6780,2.6
6840,0.6
6900,2.0
6960,2.2
7020,2.6
7080,1.2
7140,2.2
7200,2.6
7260,1.4
7320,1.8
7380,2.0
7440,2.0
7500,3.8
7560,3.4
7620,2.6
7680,3.6
7740,3.2
7800,2.2
7860,2.6
7920,2.8
7980,2.6
8040,3.8
8100,5.2
8160,5.2
8220,4.0
8280,5.8
8340,6.4
8400,8.8
8460,11.0
8520,14.6
8580,16.6
8640,18.8
8700,20.8
8760,20.4
8820,20.0
8880,22.0
8940,20.6
9000,19.8
9060,21.0
9120,22.2
9180,21.8
9240,22.0
9300,22.8
9360,22.6
9420,23.8
9480,24.0
9540,22.8
9600,23.8
9660,23.4
9720,22.0
9780,23.2
9840,23.8
9900,22.8
9960,23.2
10020,23.6
10080,22.4
10140,23.4
10200,21.8
10260,22.6
10320,23.2
10380,23.2
10440,24.0
10500,24.0
10560,24.4
10620,23.4
10680,24.2
10740,22.6
10800,24.4
10860,24.2
10920,22.8
10980,24.2
11040,23.6
11100,24.4
11160,23.8
11220,23.2
11280,24.2
11340,23.4
11400,23.4
11460,23.2
11520,24.0
11580,22.0
11640,23.8
11700,22.6
11760,23.2
11820,23.2
11880,23.0
11940,23.2
12000,24.4
12060,24.0
12120,24.0
12180,24.4
12240,23.8
12300,23.6
12360,24.2
12420,23.8
12480,23.2
12540,23.0
12600,22.0
12660,23.0
12720,23.2
12780,24.0
12840,23.0
12900,22.8
12960,23.2
13020,23.6
13080,24.0
13140,22.8
13200,24.2
13260,23.0
13320,22.6
13380,24.2
13440,23.0
13500,24.6
13560,22.6
13620,24.8
13680,23.6
13740,23.4
13800,25.6
13860,23.2
13920,24.2
13980,23.6
14040,24.4
14100,24.8
14160,23.0
14220,22.8
14280,22.6
14340,24.4
14400,23.2
14460,23.8
14520,23.0
14580,22.8
14640,24.2
14700,25.4
14760,23.2
14820,22.4
14880,23.6
14940,24.0
15000,25.0
15060,23.8
15120,23.6
15180,23.8
15240,24.4
15300,24.4
15360,25.2
15420,23.2
15480,25.2
15540,24.0
15600,23.0
15660,24.2
15720,25.2
15780,23.2
15840,24.6
15900,24.4
15960,24.0
16020,26.2
16080,24.4
16140,24.8
16200,24.4
16260,23.6
16320,25.0
16380,25.2
16440,24.8
16500,23.2
16560,23.0
16620,23.8
16680,24.0
16740,24.2
16800,24.4
16860,22.2
16920,24.6
16980,24.2
17040,25.2
17100,23.0
17160,24.4
17220,24.8
17280,25.0
17340,24.2
17400,24.2
17460,22.2
17520,26.0
17580,24.6
17640,24.6
17700,23.6
17760,23.8
17820,24.8
17880,22.6
17940,24.6
18000,23.6
18060,25.4
18120,24.6
18180,24.8
18240,24.4
18300,23.8
18360,25.4
18420,23.6
18480,25.4
18540,23.8
18600,24.2
18660,26.0
18720,25.0
18780,24.8
18840,24.8
18900,24.4
18960,24.0
19020,25.2
19080,25.8
19140,25.0
19200,24.6
19260,24.6
19320,24.4
19380,25.0
19440,24.6
19500,25.0
19560,25.8
19620,23.0
19680,24.0
19740,24.0
19800,23.4
19860,24.6
19920,25.2
19980,24.0
20040,25.6
20100,24.2
20160,23.0
20220,24.0
20280,25.2
20340,23.0
20400,23.0
20460,25.0
20520,23.8
20580,24.0
20640,24.2
20700,25.8
20760,24.8
20820,24.4
20880,25.4
20940,25.4
21000,25.2
21060,22.8
21120,26.6
21180,24.0
21240,23.6
21300,23.6
21360,24.6
21420,23.4
21480,24.6
21540,24.4
21600,25.4
21660,24.6
21720,24.4
21780,22.8
21840,25.2
21900,25.2
21960,24.6
22020,23.8
22080,24.6
22140,24.8
22200,23.8
22260,23.6
22320,25.2
22380,25.4
22440,25.8
22500,24.2
