#Steps,score
60,0.8
120,0.4
180,1.0
240,0.2
300,0.6
360,1.0
420,0.8
480,1.2
540,1.4
600,1.2
660,0.2
720,1.4
780,1.2
840,0.6
900,2.2
960,0.6
1020,1.4
1080,1.4
1140,0.8
1200,1.0
1260,0.6
1320,2.0
1380,0.6
1440,1.0
1500,1.4
1560,1.2
1620,1.8
1680,1.6
1740,1.0
1800,1.0
1860,1.2
1920,2.0
1980,2.2
2040,0.6
2100,1.6
2160,1.4
2220,0.8
2280,1.0
2340,1.8
2400,2.0
2460,1.0
2520,0.4
2580,1.6
2640,1.0
2700,0.8
2760,1.2
2820,1.0
2880,1.0
2940,1.0
3000,2.0
3060,1.6
3120,1.2
3180,1.4
3240,1.0
3300,1.6
3360,1.6
3420,1.6
3480,0.6
3540,1.6
3600,1.0
3660,2.0
3720,1.8
3780,2.2
3840,2.4
3900,0.8
3960,1.8
4020,1.8
4080,1.4
4140,2.0
4200,1.0
4260,0.8
4320,1.8
4380,1.0
4440,1.0
4500,2.0
4560,1.4
4620,2.2
4680,1.4
4740,1.0
4800,0.8
4860,0.8
4920,2.4
4980,1.0
5040,2.0
5100,2.0
5160,1.6
5220,0.8
5280,1.4
5340,2.8
5400,1.4
5460,1.2
5520,2.2
5580,1.6
5640,1.4
5700,2.0
5760,0.8
5820,3.4
5880,3.0
5940,1.8
6000,3.0
6060,1.2
6120,1.4
6180,1.2
6240,1.8
6300,1.6
6360,2.2
6420,1.6
6480,2.0
6540,1.6
6600,2.0
6660,1.2
6720,2.4
6780,1.8
6840,1.2
6900,3.2
6960,2.6
7020,2.4
7080,2.0
7140,1.6
7200,1.4
7260,2.6
7320,1.8
7380,1.6
7440,1.4
7500,3.4
7560,1.2
7620,2.4
7680,2.2
7740,2.4
7800,1.6
7860,1.0
7920,1.8
7980,1.6
8040,1.6
8100,1.8
8160,2.4
8220,4.2
8280,3.0
8340,2.2
8400,1.6
8460,3.6
8520,3.2
8580,3.0
8640,3.2
8700,3.4
8760,2.6
8820,2.0
8880,4.4
8940,1.4
9000,3.8
9060,3.2
9120,2.4
9180,2.8
9240,3.6
9300,3.4
9360,2.6
9420,2.4
9480,3.8
9540,3.4
9600,2.4
9660,3.8
9720,2.8
9780,3.6
9840,5.0
9900,4.2
9960,3.2
10020,5.2
10080,5.0
10140,4.4
10200,5.8
10260,5.4
10320,6.2
10380,5.6
10440,4.8
10500,6.0
10560,5.6
10620,6.2
10680,8.0
10740,7.6
10800,8.4
10860,8.6
10920,11.0
10980,11.0
11040,13.0
11100,12.8
11160,14.0
11220,15.0
11280,16.2
11340,18.6
11400,19.0
11460,18.0
11520,18.2
11580,17.4
11640,18.4
11700,19.0
11760,19.2
11820,18.8
11880,20.8
11940,21.2
12000,22.2
12060,21.4
12120,21.4
12180,21.4
12240,22.2
12300,22.0
12360,21.6
12420,21.2
12480,22.0
12540,22.0
12600,21.4
12660,20.0
12720,21.4
12780,21.2
12840,21.6
12900,22.8
12960,20.2
13020,21.4
13080,21.0
13140,21.0
13200,21.2
13260,21.4
13320,23.4
13380,22.4
13440,21.6
13500,22.2
13560,23.8
13620,23.4
13680,23.0
13740,22.0
13800,23.4
13860,23.0
13920,21.6
13980,22.0
14040,21.8
14100,22.8
14160,23.4
14220,22.4
14280,22.4
14340,23.4
14400,23.8
14460,24.8
14520,23.2
14580,22.2
14640,21.8
14700,22.6
14760,21.8
14820,23.0
14880,21.4
14940,22.8
15000,24.4
15060,23.4
15120,21.0
15180,22.2
15240,22.6
15300,23.4
15360,24.2
15420,22.6
15480,23.6
15540,22.8
15600,23.2
15660,22.6
15720,22.6
15780,23.0
15840,22.6
15900,23.4
15960,23.2
16020,25.0
16080,23.0
16140,24.4
16200,23.6
16260,22.6
16320,23.8
16380,24.6
16440,24.4
16500,23.8
16560,24.0
16620,22.6
16680,25.0
16740,24.2
16800,24.0
16860,22.4
16920,25.6
16980,23.6
17040,24.8
17100,23.4
17160,24.0
17220,23.0
17280,23.4
17340,23.2
17400,24.2
17460,24.8
17520,24.8
17580,24.0
17640,23.2
17700,25.6
17760,24.2
17820,24.8
17880,23.8
17940,23.8
18000,24.0
18060,24.8
18120,23.4
18180,25.0
18240,23.2
18300,24.4
18360,22.8
18420,25.8
18480,24.0
18540,25.2
18600,22.8
18660,23.6
18720,23.8
18780,23.0
18840,24.2
18900,24.8
18960,24.0
19020,23.0
19080,24.6
19140,23.8
19200,22.0
19260,24.4
19320,23.2
19380,23.4
19440,26.2
19500,22.8
19560,24.4
19620,22.2
19680,22.6
19740,24.0
19800,22.2
19860,24.0
19920,23.8
19980,25.2
20040,23.4
20100,23.6
20160,22.0
20220,22.6
20280,23.4
20340,24.8
20400,24.0
20460,23.8
20520,24.0
20580,25.6
20640,24.4
20700,24.0
20760,26.2
20820,25.8
20880,24.8
20940,26.0
21000,24.6
21060,23.8
21120,23.4
21180,25.6
21240,23.6
21300,23.2
21360,23.8
21420,23.2
21480,23.2
21540,23.6
21600,23.8
21660,22.8
21720,22.4
21780,26.0
21840,23.6
21900,23.2
21960,23.4
22020,24.4
22080,22.8
22140,23.8
22200,24.2
22260,23.4
22320,23.2
22380,23.8
22440,23.4
22500,23.8
22560,24.4
22620,22.4
22680,22.4
22740,22.4
22800,23.6
22860,23.0
22920,21.0
22980,24.2
23040,23.6
23100,21.2
23160,23.4
23220,24.0
23280,24.0
23340,24.2
23400,23.2
23460,24.2
23520,24.8
23580,25.0
23640,25.6
23700,25.2
23760,25.4
23820,23.0
23880,24.4
23940,24.0
24000,23.4
24060,24.0
24120,23.6
24180,24.6
24240,24.8
24300,24.2
24360,24.0
24420,24.4
24480,27.2
24540,23.6
24600,23.8
24660,23.2
24720,24.2
24780,24.4
24840,23.4
24900,25.0
24960,25.2
25020,23.4
25080,24.2
25140,25.0
25200,24.0
25260,22.4
25320,24.4
25380,23.2
25440,24.2
25500,24.4
25560,23.0
25620,24.2
25680,24.8
25740,23.0
25800,24.0
25860,24.0
25920,24.0
25980,23.4
26040,24.4
26100,25.6
26160,25.6
26220,23.4
26280,25.2
26340,23.8
26400,25.2
26460,23.6
26520,24.2
26580,23.6
26640,24.4
26700,25.4
26760,24.6
26820,25.4
26880,24.2
26940,23.0
27000,22.8
27060,23.6
27120,23.0
27180,25.2
27240,25.6
27300,24.6
27360,24.6
27420,25.0
27480,23.0
27540,24.4
27600,24.2
27660,23.4
27720,22.4
27780,24.4
27840,22.8
27900,23.6
27960,24.2
28020,24.2
28080,23.4
28140,23.0
28200,22.8
28260,23.8
28320,24.0
28380,23.0
28440,23.4
28500,23.6
28560,23.4
28620,23.8
28680,23.6
28740,20.4
28800,21.4
28860,23.6
28920,23.2
28980,22.2
29040,22.2
29100,22.6
29160,24.2
29220,22.4
29280,23.8
29340,24.4
29400,23.0
29460,24.4
29520,23.4
29580,23.6
29640,24.2
29700,23.0
29760,23.0
29820,23.8
29880,21.8
29940,24.2
30000,23.0
30060,23.6
30120,22.8
30180,23.2
30240,23.4
30300,23.2
30360,23.6
30420,23.0
30480,24.6
30540,25.2
30600,22.6
30660,24.2
30720,23.6
30780,23.2
30840,23.4
30900,23.0
30960,23.0
31020,23.4
31080,23.6
31140,24.2
31200,22.4
31260,23.0
31320,22.6
31380,22.2
31440,23.8
31500,23.8
31560,22.0
31620,23.4
31680,22.4
31740,23.6
31800,23.2
31860,23.2
31920,23.8
31980,22.8
32040,23.8
32100,23.2
32160,21.6
32220,21.8
32280,23.4
32340,21.0
32400,23.6
32460,23.2
32520,21.8
32580,21.2
32640,22.8
32700,22.8
32760,24.2
32820,21.2
32880,22.4
32940,24.2
33000,22.4
33060,24.0
33120,22.8
33180,23.2
33240,24.0
33300,23.4
33360,22.4
33420,24.2
33480,23.0
33540,23.8
33600,23.0
33660,23.2
33720,24.8
33780,24.0
33840,23.4
33900,23.6
33960,25.2
34020,25.2
34080,24.2
34140,24.2
34200,23.8
34260,24.8
34320,24.0
34380,24.6
34440,24.6
34500,22.4
34560,22.6
34620,23.8
34680,22.0
34740,25.6
34800,23.2
34860,23.4
34920,23.4
34980,24.6
35040,24.2
35100,23.6
35160,24.8
35220,23.2
35280,22.4
35340,23.6
35400,22.4
35460,23.6
35520,23.8
35580,24.0
35640,24.2
35700,22.6
35760,24.0
35820,23.8
35880,22.0
35940,22.8
36000,23.0
36060,21.2
36120,22.2
36180,23.8
36240,22.8
36300,23.2
36360,23.4
36420,25.0
36480,23.0
36540,24.4
36600,22.6
36660,22.4
36720,23.4
36780,24.4
36840,24.2
36900,23.6
36960,22.4
37020,23.4
37080,22.8
37140,23.2
37200,24.6
37260,23.0
37320,23.8
37380,24.2
37440,23.4
37500,23.6
37560,24.4
37620,24.0
37680,24.8
37740,24.6
37800,24.6
37860,24.8
37920,24.6
37980,24.4
38040,24.4
38100,24.2
38160,25.2
38220,23.8
38280,24.2
38340,22.8
38400,23.2
38460,23.8
38520,24.4
38580,24.2
38640,22.0
38700,22.0
38760,22.8
38820,24.4
38880,23.2
38940,24.6
39000,23.6
39060,24.8
39120,23.0
39180,23.0
39240,23.2
39300,23.0
39360,23.4
39420,22.0
39480,22.6
39540,23.6
39600,25.0
39660,23.8
39720,24.0
39780,25.0
39840,24.0
39900,23.0
39960,22.6
40020,23.6
40080,23.2
40140,23.4
40200,22.6
40260,22.0
40320,22.6
40380,21.8
40440,23.0
40500,23.2
40560,21.8
40620,23.8
40680,22.8
40740,24.8
40800,23.6
40860,21.6
40920,24.0
40980,23.0
41040,23.6
41100,24.2
41160,22.8
41220,23.8
41280,23.4
41340,22.6
41400,24.0
41460,24.4
41520,24.2
41580,23.0
41640,23.6
41700,24.0
41760,22.2
41820,23.8
41880,24.0
41940,23.8
42000,24.2
42060,25.4
42120,23.2
42180,25.4
42240,24.8
42300,24.0
42360,24.8
42420,24.4
42480,23.6
42540,23.6
42600,24.0
42660,24.4
42720,23.4
42780,25.0
42840,25.8
42900,24.6
42960,23.6
43020,24.2
43080,24.2
43140,25.0
43200,23.6
43260,24.6
43320,24.2
43380,23.8
43440,24.6
43500,24.4
43560,24.2
43620,23.6
43680,23.2
43740,23.0
43800,23.8
43860,23.4
43920,24.8
43980,25.6
44040,24.6
44100,23.8
44160,24.4
44220,23.4
44280,23.6
44340,24.0
44400,23.0
44460,23.0
44520,24.2
44580,25.0
44640,23.8
44700,23.4
44760,24.4
44820,24.0
44880,24.0
44940,24.0
45000,23.4
