#Steps,score
60,0.6
120,1.8
180,0.6
240,1.2
300,1.2
360,1.4
420,0.4
480,1.0
540,1.0
600,0.8
660,0.2
720,0.8
780,1.2
840,2.0
900,1.4
960,1.4
1020,1.4
1080,1.0
1140,1.0
1200,0.6
1260,0.8
1320,1.2
1380,1.4
1440,1.4
1500,0.2
1560,0.4
1620,1.4
1680,0.8
1740,0.6
1800,1.4
1860,0.6
1920,1.8
1980,1.2
2040,1.2
2100,1.2
2160,1.4
2220,0.8
2280,1.6
2340,1.4
2400,1.0
2460,0.6
2520,1.0
2580,0.8
2640,1.4
2700,0.6
2760,1.0
2820,1.4
2880,1.0
2940,1.4
3000,2.4
3060,0.2
3120,1.2
3180,0.6
3240,1.0
3300,1.8
3360,1.8
3420,1.0
3480,0.8
3540,0.6
3600,1.6
3660,1.0
3720,1.4
3780,0.8
3840,2.0
3900,1.0
3960,2.2
4020,0.4
4080,1.6
4140,0.8
4200,1.4
4260,1.0
4320,0.6
4380,0.2
4440,0.6
4500,1.4
4560,2.2
4620,0.8
4680,2.0
4740,1.8
4800,1.2
4860,1.2
4920,1.2
4980,1.4
5040,0.8
5100,1.4
5160,1.6
5220,1.2
5280,1.8
5340,0.8
5400,1.0
5460,1.4
5520,2.0
5580,1.2
5640,2.2
5700,1.4
5760,1.8
5820,0.8
5880,0.8
5940,1.2
6000,1.4
6060,1.2
6120,1.8
6180,1.2
6240,1.4
6300,0.4
6360,1.0
6420,0.8
6480,1.4
6540,1.0
6600,0.8
6660,1.6
6720,0.8
6780,0.4
6840,2.0
6900,2.0
6960,0.8
7020,1.2
7080,1.0
7140,0.8
7200,1.4
7260,1.4
7320,1.4
7380,1.4
7440,0.8
7500,2.0
7560,1.8
7620,1.0
7680,1.0
7740,1.4
7800,1.2
7860,2.0
7920,2.2
7980,1.0
8040,0.6
8100,1.2
8160,1.0
8220,1.8
8280,1.8
8340,1.6
8400,1.6
8460,1.0
8520,1.6
8580,1.6
8640,0.6
8700,1.8
8760,0.6
8820,1.2
8880,1.2
8940,1.8
9000,1.4
9060,0.8
9120,1.4
9180,1.6
9240,1.4
9300,1.0
9360,1.2
9420,0.8
9480,1.4
9540,1.2
9600,0.8
9660,1.8
9720,1.2
9780,2.2
9840,1.6
9900,1.2
9960,0.6
10020,2.2
10080,3.0
10140,1.6
10200,1.8
10260,1.4
10320,1.6
10380,1.8
10440,2.0
10500,1.0
10560,1.4
10620,2.0
10680,1.2
10740,1.4
10800,1.0
10860,0.8
10920,1.4
10980,1.0
11040,1.4
11100,1.0
11160,1.8
11220,1.0
11280,1.0
11340,2.0
11400,2.2
11460,2.4
11520,1.2
11580,1.8
11640,1.6
11700,0.8
11760,1.8
11820,2.0
11880,1.6
11940,1.8
12000,1.0
12060,1.8
12120,2.0
12180,1.2
12240,1.8
12300,2.0
12360,0.8
12420,1.4
12480,2.2
12540,1.2
12600,2.0
12660,1.8
12720,1.2
12780,1.0
12840,1.8
12900,1.2
12960,1.6
13020,2.0
13080,1.4
13140,1.4
13200,1.4
13260,1.8
13320,1.0
13380,1.6
13440,1.2
13500,2.6
13560,1.8
13620,1.0
13680,1.6
13740,1.4
13800,0.4
13860,2.6
13920,1.8
13980,2.2
14040,2.0
14100,1.0
14160,1.8
14220,2.6
14280,2.2
14340,1.8
14400,1.4
14460,1.6
14520,1.6
14580,1.8
14640,1.4
14700,0.8
14760,1.2
14820,0.8
14880,2.4
14940,2.0
15000,0.8
15060,1.4
15120,1.8
15180,1.6
15240,1.2
15300,2.0
15360,2.0
15420,2.2
15480,1.8
15540,1.6
15600,1.4
15660,1.8
15720,2.2
15780,1.0
15840,2.6
15900,1.6
15960,1.6
16020,1.2
16080,2.2
16140,1.6
16200,2.6
16260,1.0
16320,1.6
16380,2.4
16440,1.8
16500,2.6
16560,1.6
16620,1.8
16680,1.4
16740,1.4
16800,2.2
16860,1.6
16920,1.2
16980,1.6
17040,2.6
17100,1.6
17160,2.4
17220,2.4
17280,1.4
17340,1.8
17400,1.4
17460,1.4
17520,3.0
17580,2.4
17640,2.4
17700,1.4
17760,2.0
17820,1.8
