#Steps,score
600,0.8
1200,0.6
1800,1.4
2400,1.2
3000,1.6
3600,2.8
4200,1.4
4800,2.2
5400,1.4
6000,2.6
6600,3.0
7200,8.4
7800,23.6
8400,20.6
9000,23.6
9600,26.0
10200,26.2
10800,24.2
11400,26.6
12000,25.2
12600,25.8
13200,25.6
13800,25.0
14400,25.6
15000,26.6
15600,26.2
16200,23.0
16800,24.0
17400,24.2
18000,25.6
18600,23.2
19200,25.4
19800,25.4
20400,25.8
21000,25.0
21600,26.0
22200,25.6
22800,25.4
23400,25.0
24000,25.0
24600,26.8
25200,25.0
25800,25.6
26400,26.0
27000,25.2
27600,25.8
28200,24.2
28800,26.2
29400,26.0
30000,24.6
30600,24.8
31200,26.2
31800,25.6
32400,26.6
33000,23.4
33600,26.6
34200,25.4
34800,26.4
35400,26.0
36000,26.2
36600,25.6
37200,25.2
37800,26.4
38400,26.2
39000,24.8
39600,24.6
40200,24.4
40800,24.6
41400,24.4
42000,23.8
42600,24.6
43200,25.2
43800,24.8
44400,25.4
45000,27.0
45600,25.6
46200,25.4
46800,25.2
47400,26.0
48000,25.2
48600,26.2
49200,24.8
49800,24.6
50400,26.2
51000,26.2
51600,25.6
52200,26.8
52800,26.2
53400,26.6
54000,25.2
54600,25.4
55200,26.2
55800,27.0
56400,24.4
57000,26.6
57600,26.2
58200,25.4
58800,25.0
59400,19.8
60000,25.8
