#Steps,score
600,0.6
1200,1.2
1800,1.6
2400,1.6
3000,1.0
3600,1.4
4200,2.6
4800,1.8
5400,2.2
6000,1.2
6600,1.6
7200,1.0
7800,3.4
8400,3.8
9000,3.8
9600,3.6
10200,13.0
10800,23.8
11400,2.4
12000,1.6
12600,1.4
13200,0.8
13800,1.6
14400,16.4
15000,9.8
15600,12.6
16200,22.0
16800,24.6
17400,20.4
18000,21.0
18600,13.4
19200,18.8
19800,16.2
20400,21.8
21000,20.8
21600,16.4
22200,15.6
22800,14.4
23400,22.4
24000,19.0
24600,14.2
25200,14.4
25800,21.8
26400,16.8
27000,21.0
27600,17.2
28200,19.6
28800,19.8
29400,21.2
30000,20.2
30600,18.8
31200,22.0
31800,23.6
32400,18.8
33000,22.6
33600,22.4
34200,21.6
34800,20.8
35400,21.8
36000,20.8
36600,18.2
37200,19.8
37800,15.2
38400,20.2
39000,16.6
39600,20.0
40200,19.2
40800,18.0
41400,21.6
42000,21.6
42600,19.8
43200,21.6
43800,16.8
44400,21.0
45000,20.0
45600,19.8
46200,24.8
46800,21.4
47400,17.8
48000,22.2
48600,21.6
49200,23.0
49800,19.4
50400,22.2
51000,23.4
51600,22.0
52200,23.8
52800,23.4
53400,21.8
54000,20.8
54600,20.0
55200,21.6
55800,20.8
56400,20.8
57000,20.4
57600,23.0
58200,19.0
58800,23.2
59400,21.2
60000,21.6
60600,24.0
61200,22.4
61800,22.8
62400,23.2
63000,20.6
63600,19.0
64200,23.0
64800,21.6
65400,24.0
66000,22.2
66600,23.8
67200,22.8
67800,22.2
68400,23.6
69000,22.0
69600,20.6
70200,21.6
70800,23.0
71400,23.6
72000,24.6
72600,26.0
73200,22.0
73800,23.0
74400,20.0
75000,21.6
75600,21.6
76200,23.2
76800,23.2
77400,22.8
78000,21.8
78600,22.0
79200,24.2
79800,22.6
80400,22.8
81000,23.4
81600,24.6
82200,23.6
82800,22.4
83400,23.2
84000,21.8
84600,21.0
85200,22.2
85800,23.2
86400,24.0
87000,23.0
87600,24.6
88200,21.8
88800,23.8
89400,25.4
90000,23.4
90600,25.2
91200,24.6
91800,22.4
92400,23.2
93000,23.8
93600,23.8
94200,24.0
94800,23.8
95400,23.0
96000,23.0
96600,23.4
97200,24.2
97800,23.6
98400,25.2
99000,25.6
99600,22.6
100200,23.8
100800,24.6
101400,25.2
102000,23.2
102600,23.8
103200,24.6
103800,23.6
104400,25.6
105000,23.8
105600,24.4
106200,24.6
106800,24.4
107400,26.0
108000,26.2
108600,25.2
109200,25.4
109800,26.8
110400,24.4
111000,24.8
111600,24.4
112200,25.4
112800,25.8
113400,26.2
114000,24.6
114600,24.2
115200,24.4
115800,25.0
116400,25.2
117000,25.2
117600,25.2
118200,23.0
118800,24.8
119400,24.2
120000,26.8
