#Steps,score
60,1.2
120,0.8
180,0.4
240,0.8
300,1.4
360,0.8
420,0.6
480,1.6
540,1.2
600,1.2
660,1.6
720,1.0
780,1.6
840,0.8
900,0.6
960,1.0
1020,0.4
1080,1.8
1140,2.4
1200,0.8
1260,1.2
1320,0.6
1380,0.6
1440,0.6
1500,0.8
1560,1.2
1620,1.6
1680,0.6
1740,1.8
1800,1.4
1860,1.4
1920,1.0
1980,1.6
2040,1.4
2100,2.4
2160,1.6
2220,0.4
2280,1.0
2340,1.8
2400,0.8
2460,0.4
2520,1.0
2580,1.2
2640,1.6
2700,1.0
2760,1.2
2820,0.8
2880,2.2
2940,0.6
3000,1.2
3060,1.4
3120,0.6
3180,0.4
3240,1.2
3300,1.2
3360,0.4
3420,1.0
3480,1.2
3540,1.8
3600,1.6
3660,1.0
3720,3.0
3780,1.0
3840,1.2
3900,0.6
3960,1.6
4020,1.8
4080,1.0
4140,1.0
4200,1.6
4260,0.6
4320,1.2
4380,0.6
4440,1.8
4500,1.8
4560,0.6
4620,2.0
4680,1.6
4740,1.2
4800,1.8
4860,1.8
4920,1.2
4980,1.4
5040,2.0
5100,1.2
5160,1.2
5220,1.2
5280,1.4
5340,1.2
5400,2.0
5460,1.4
5520,1.4
5580,1.4
5640,2.4
5700,0.6
5760,1.6
5820,1.8
5880,1.0
5940,1.8
6000,1.2
6060,1.6
6120,2.0
6180,2.2
6240,1.6
6300,2.4
6360,1.8
6420,3.0
6480,1.6
6540,1.6
6600,2.2
6660,1.6
6720,1.8
6780,2.2
6840,1.6
6900,1.0
6960,0.6
7020,1.0
7080,1.4
7140,1.6
7200,0.8
7260,1.8
7320,1.4
7380,3.6
7440,1.8
7500,1.8
7560,1.8
7620,2.0
7680,2.0
7740,1.0
7800,2.2
7860,2.8
7920,2.8
7980,1.6
8040,2.8
8100,2.0
8160,2.2
8220,1.6
8280,1.8
8340,2.0
8400,1.6
8460,2.6
8520,2.2
8580,3.0
8640,3.0
8700,2.2
8760,4.0
8820,4.8
8880,2.8
8940,4.2
9000,3.6
9060,4.0
9120,5.6
9180,6.2
9240,6.6
9300,7.0
9360,9.6
9420,12.4
9480,15.4
9540,19.8
9600,20.0
9660,20.4
9720,20.8
9780,22.0
9840,21.8
9900,20.8
9960,20.8
10020,17.0
10080,21.0
