#Steps,score
60,1.4
120,1.2
180,1.6
240,1.6
300,1.2
360,1.0
420,1.6
480,1.2
540,0.8
600,0.8
660,1.4
720,1.8
780,1.6
840,1.8
900,0.4
960,1.0
1020,1.2
1080,1.4
1140,0.8
1200,1.2
1260,2.0
1320,1.4
1380,0.6
1440,1.2
1500,1.8
1560,1.0
1620,1.0
1680,0.2
1740,0.8
1800,0.6
1860,1.0
1920,0.8
1980,1.0
2040,0.4
2100,1.0
2160,0.6
2220,0.6
2280,1.4
2340,1.0
2400,0.8
2460,1.0
2520,1.4
2580,1.8
2640,1.8
2700,1.4
2760,1.2
2820,1.2
2880,1.6
2940,0.4
3000,1.6
3060,1.4
3120,0.8
3180,0.4
3240,1.0
3300,0.8
3360,1.0
3420,1.4
3480,1.2
3540,1.0
3600,1.0
3660,2.2
3720,1.2
3780,1.4
3840,1.0
3900,1.2
3960,1.2
4020,1.4
4080,2.2
4140,2.2
4200,1.8
4260,1.6
4320,1.4
4380,1.4
4440,1.0
4500,1.2
4560,1.0
4620,0.8
4680,0.8
4740,0.8
4800,1.2
4860,1.2
4920,1.0
4980,1.2
5040,1.0
5100,1.0
5160,1.4
5220,1.4
5280,0.4
5340,0.8
5400,1.6
5460,1.2
5520,1.4
5580,0.2
5640,1.0
5700,1.6
5760,0.4
5820,0.8
5880,2.0
5940,1.0
6000,1.8
6060,2.0
6120,1.2
6180,1.8
6240,1.0
6300,1.2
6360,1.8
6420,1.0
6480,1.2
6540,1.2
6600,2.0
6660,1.2
6720,1.0
6780,2.4
6840,1.0
6900,0.8
6960,2.0
7020,0.8
7080,1.4
7140,1.2
7200,1.6
7260,0.8
7320,1.2
7380,1.6
7440,1.2
7500,1.6
7560,1.2
7620,1.2
7680,1.0
7740,1.0
7800,1.4
7860,1.8
7920,0.4
7980,1.0
8040,0.8
8100,0.6
8160,1.0
8220,1.8
8280,1.6
8340,1.4
8400,2.0
8460,0.6
8520,1.2
8580,0.4
8640,0.6
8700,1.8
8760,0.6
8820,1.4
8880,1.6
8940,1.2
9000,0.8
9060,0.6
9120,1.4
9180,0.0
9240,1.6
9300,2.0
9360,1.2
9420,1.0
9480,1.2
9540,2.2
9600,0.8
9660,1.8
9720,1.4
9780,0.4
9840,0.6
9900,1.0
9960,1.8
10020,1.4
10080,1.4
10140,1.4
10200,1.2
10260,2.0
10320,0.8
10380,2.8
10440,1.6
10500,1.4
10560,1.0
10620,1.2
10680,2.6
10740,1.2
10800,3.2
10860,0.4
10920,1.0
10980,2.4
11040,1.8
11100,2.0
11160,2.6
11220,1.2
11280,1.4
11340,0.6
11400,1.0
11460,1.2
11520,2.2
11580,0.6
11640,1.8
11700,1.0
11760,1.8
11820,1.0
11880,0.8
11940,1.6
12000,1.4
12060,2.4
12120,1.2
12180,1.6
12240,2.6
12300,2.4
12360,1.0
12420,2.6
12480,2.4
12540,2.6
12600,1.8
12660,1.2
12720,2.2
12780,2.4
12840,1.6
12900,1.8
12960,2.2
13020,1.2
13080,2.8
13140,1.4
13200,1.6
13260,1.6
13320,2.0
13380,1.8
13440,1.6
13500,2.0
13560,1.0
13620,1.0
13680,0.8
13740,2.2
13800,2.6
13860,1.8
13920,2.4
13980,1.2
14040,1.2
14100,2.8
14160,0.6
14220,1.8
14280,1.8
14340,0.2
14400,2.0
14460,2.0
14520,2.8
14580,1.4
14640,2.2
14700,2.6
14760,1.2
14820,1.6
14880,1.4
14940,2.4
15000,3.2
15060,3.2
15120,2.2
15180,1.6
15240,4.2
15300,2.2
15360,2.8
15420,3.2
15480,1.6
15540,2.4
15600,2.0
15660,2.0
15720,1.6
15780,1.8
15840,2.0
15900,1.2
15960,1.8
16020,1.8
16080,4.0
16140,3.0
16200,2.8
16260,2.6
16320,2.2
16380,3.0
16440,2.6
16500,3.2
16560,3.0
16620,1.2
16680,2.6
16740,3.2
16800,5.2
16860,4.0
16920,2.8
16980,3.2
17040,4.0
17100,4.6
17160,4.8
17220,4.6
17280,4.0
17340,3.6
17400,5.0
17460,5.2
17520,4.6
17580,5.2
17640,4.4
17700,5.0
17760,6.2
17820,5.0
17880,5.0
17940,6.8
18000,6.6
18060,7.8
18120,11.4
18180,11.0
18240,13.2
18300,16.4
18360,18.2
18420,20.0
18480,20.8
18540,20.4
18600,22.6
18660,22.2
18720,22.8
18780,21.4
18840,21.6
18900,19.6
18960,19.4
19020,18.6
19080,20.2
19140,19.0
19200,18.6
19260,18.8
19320,18.4
19380,18.8
19440,20.8
19500,21.2
19560,21.0
19620,21.6
19680,21.4
19740,22.2
19800,20.4
19860,21.0
19920,22.4
19980,21.6
20040,23.4
20100,23.0
20160,22.4
20220,22.2
20280,23.0
20340,23.0
20400,23.0
20460,22.6
20520,23.8
20580,23.2
20640,23.4
20700,22.0
20760,23.6
20820,21.6
20880,23.0
20940,22.0
21000,22.0
21060,23.2
21120,23.8
21180,22.8
21240,23.6
21300,22.0
21360,23.8
21420,22.6
21480,23.2
21540,22.4
21600,22.4
21660,22.4
21720,21.4
21780,23.4
21840,22.8
21900,21.8
21960,22.2
22020,21.4
22080,21.8
22140,22.4
22200,23.4
22260,22.8
22320,21.4
22380,23.8
22440,22.4
22500,23.0
22560,22.4
22620,23.6
22680,22.8
22740,24.6
22800,21.6
22860,23.0
22920,25.0
22980,23.0
23040,24.4
23100,25.0
23160,23.6
23220,24.0
23280,25.8
23340,23.4
23400,24.6
23460,23.6
23520,24.2
23580,23.4
23640,23.6
23700,24.4
23760,22.2
23820,24.4
23880,24.6
23940,24.2
24000,25.0
24060,23.8
24120,24.2
24180,23.6
24240,24.2
24300,24.2
24360,23.6
24420,24.2
24480,24.4
24540,24.2
24600,23.8
24660,24.0
24720,24.6
24780,24.0
24840,24.6
24900,24.6
24960,23.2
25020,24.0
25080,24.2
25140,23.8
25200,23.6
25260,23.0
25320,24.2
25380,25.2
25440,24.8
25500,24.4
25560,24.2
25620,24.0
25680,23.6
25740,23.6
25800,24.2
25860,24.2
25920,24.8
25980,24.4
26040,24.0
26100,24.0
26160,25.6
26220,23.8
26280,25.6
26340,25.0
26400,23.2
26460,26.2
26520,22.0
26580,24.4
26640,23.4
26700,23.6
26760,24.4
26820,24.2
26880,24.6
26940,23.6
27000,25.0
27060,23.2
27120,23.8
27180,24.8
27240,24.0
27300,24.6
27360,22.8
27420,23.2
27480,24.8
27540,23.2
27600,23.8
27660,22.6
27720,23.0
27780,24.8
27840,24.6
27900,23.6
27960,23.4
28020,24.8
28080,24.6
28140,24.6
28200,23.8
28260,24.2
28320,24.0
28380,23.2
28440,22.6
28500,23.2
28560,24.4
28620,23.2
28680,23.4
28740,23.0
28800,22.8
28860,24.2
28920,23.4
28980,24.6
29040,22.0
29100,23.6
29160,22.4
29220,23.2
29280,23.2
29340,24.0
29400,23.4
29460,23.4
29520,24.6
29580,23.6
29640,24.0
29700,22.8
29760,22.0
29820,24.8
29880,25.0
29940,25.6
30000,25.2
30060,23.8
30120,25.0
30180,23.6
30240,21.6
