#Steps,score
60,0.6
120,1.4
180,1.0
240,0.6
300,1.8
360,1.0
420,0.6
480,0.8
540,1.4
600,1.4
660,1.6
720,0.2
780,1.2
840,1.6
900,0.6
960,1.0
1020,2.6
1080,1.0
1140,1.8
1200,0.8
1260,1.0
1320,1.2
1380,0.8
1440,0.8
1500,1.4
1560,1.0
1620,0.8
1680,1.0
1740,1.2
1800,2.4
1860,1.0
1920,1.4
1980,1.0
2040,1.4
2100,0.4
2160,1.4
2220,0.6
2280,1.0
2340,0.6
2400,1.6
2460,0.8
2520,1.0
2580,1.8
2640,2.0
2700,0.8
2760,1.0
2820,1.0
2880,0.6
2940,1.4
3000,1.2
3060,0.6
3120,0.8
3180,1.2
3240,2.2
3300,1.8
3360,1.2
3420,1.4
3480,1.6
3540,1.0
3600,1.0
3660,1.2
3720,1.2
3780,1.4
3840,0.4
3900,1.4
3960,0.8
4020,1.2
4080,1.0
4140,1.8
4200,1.2
4260,0.8
4320,0.8
4380,0.6
4440,1.0
4500,1.6
4560,0.4
4620,1.2
4680,0.4
4740,1.4
4800,0.4
4860,1.8
4920,0.6
4980,1.4
5040,0.8
5100,0.4
5160,0.8
5220,1.0
5280,1.8
5340,0.8
5400,1.6
5460,1.4
5520,1.4
5580,0.6
5640,0.2
5700,1.2
5760,0.4
5820,2.0
5880,0.4
5940,1.6
6000,1.0
6060,1.0
6120,0.2
6180,1.8
6240,1.6
6300,1.8
6360,0.8
6420,0.8
6480,1.2
6540,1.6
6600,0.8
6660,0.6
6720,1.0
6780,1.6
6840,1.4
6900,0.8
6960,1.0
7020,0.8
7080,1.8
7140,2.6
7200,0.8
7260,0.6
7320,1.0
7380,1.2
7440,0.6
7500,0.8
7560,1.6
7620,1.0
7680,0.6
7740,1.4
7800,1.6
7860,1.2
7920,1.2
7980,0.6
8040,0.6
8100,0.4
8160,1.2
8220,0.8
8280,1.0
8340,0.8
8400,1.4
8460,0.6
8520,1.0
8580,1.2
8640,0.6
8700,0.4
8760,0.6
8820,0.6
8880,1.2
8940,1.6
9000,1.0
9060,1.0
9120,1.4
9180,0.6
9240,2.0
9300,1.4
9360,1.2
9420,1.2
9480,1.2
9540,1.6
9600,2.4
9660,2.0
9720,1.4
9780,0.4
9840,1.2
9900,1.6
9960,0.4
10020,1.0
10080,1.8
10140,2.2
10200,1.0
10260,1.6
10320,1.6
10380,1.0
10440,0.8
10500,0.6
10560,1.4
10620,1.0
10680,1.0
10740,1.2
10800,1.2
10860,1.6
10920,1.2
10980,1.2
11040,0.8
11100,0.4
11160,0.8
11220,1.4
11280,1.6
11340,1.8
11400,0.4
11460,1.2
11520,0.8
11580,2.4
11640,0.8
11700,0.8
11760,0.4
11820,1.6
11880,1.8
11940,1.4
12000,0.8
12060,0.8
12120,1.0
12180,0.4
12240,1.0
12300,1.8
12360,1.2
12420,0.6
12480,1.2
12540,0.6
12600,1.2
12660,1.0
12720,1.4
12780,1.4
12840,1.4
12900,1.0
12960,1.2
13020,1.0
13080,1.0
13140,2.0
13200,0.6
13260,2.0
13320,1.0
13380,1.2
13440,1.6
13500,0.4
13560,1.6
13620,0.8
13680,1.6
13740,1.4
13800,0.8
13860,0.8
13920,1.4
13980,0.6
14040,1.0
14100,2.0
14160,0.6
14220,1.4
14280,1.4
14340,0.8
14400,0.8
14460,1.8
14520,2.4
14580,0.4
14640,1.8
14700,1.0
14760,1.0
14820,1.6
14880,0.8
14940,0.8
15000,1.2
15060,1.2
15120,0.8
15180,1.4
15240,2.2
15300,0.8
15360,1.6
15420,0.8
15480,1.4
15540,2.2
15600,1.2
15660,1.2
15720,2.2
15780,1.8
15840,0.6
15900,0.6
15960,1.0
16020,1.0
16080,0.8
16140,0.6
16200,0.8
16260,0.8
16320,1.4
