#Steps,score
60,0.8
120,1.0
180,0.4
240,0.6
300,1.2
360,1.0
420,1.0
480,1.8
540,1.0
600,1.0
660,1.4
720,0.6
780,1.4
840,1.0
900,0.8
960,1.0
1020,1.6
1080,0.8
1140,1.0
1200,0.6
1260,0.8
1320,1.4
1380,1.4
1440,1.2
1500,1.0
1560,1.2
1620,0.6
1680,1.0
1740,1.4
1800,1.4
1860,2.2
1920,1.4
1980,0.6
2040,2.6
2100,1.2
2160,1.8
2220,0.8
2280,1.0
2340,1.0
2400,0.8
2460,1.0
2520,0.8
2580,1.6
2640,1.8
2700,1.6
2760,2.8
2820,1.0
2880,0.6
2940,1.8
3000,1.4
3060,2.6
3120,2.4
3180,1.2
3240,1.8
3300,2.2
3360,1.2
3420,1.0
3480,1.2
3540,1.0
3600,1.4
3660,1.6
3720,2.2
3780,1.4
3840,1.2
3900,1.2
3960,1.0
4020,1.8
4080,1.0
4140,1.0
4200,1.8
4260,2.0
4320,1.8
4380,1.8
4440,1.0
4500,3.0
4560,1.2
4620,1.6
4680,1.2
4740,1.6
4800,1.0
4860,2.2
4920,1.6
4980,2.4
5040,2.0
5100,1.2
5160,2.4
5220,2.4
5280,1.6
5340,1.6
5400,2.6
5460,2.6
5520,1.4
5580,1.4
5640,1.6
5700,2.4
5760,3.2
5820,2.0
5880,2.0
5940,2.8
6000,2.4
6060,2.2
6120,3.8
6180,2.2
6240,2.6
6300,3.2
6360,2.0
6420,3.0
6480,2.4
6540,2.2
6600,4.6
6660,3.4
6720,4.8
6780,4.6
6840,5.8
6900,6.0
6960,6.4
7020,7.4
7080,6.4
7140,6.4
7200,6.8
7260,7.6
7320,7.6
7380,9.8
7440,10.4
7500,13.2
7560,18.0
7620,19.4
7680,21.6
7740,20.8
7800,18.2
7860,18.8
7920,18.0
7980,17.6
8040,19.0
8100,21.2
8160,19.4
8220,21.0
8280,22.6
8340,20.6
8400,22.0
8460,21.0
8520,22.6
8580,21.0
8640,22.2
8700,21.0
8760,22.6
8820,23.2
8880,22.4
8940,23.0
9000,22.8
9060,21.6
9120,22.6
9180,23.2
9240,21.8
9300,22.4
9360,22.6
9420,23.8
9480,22.6
9540,22.8
9600,23.0
9660,22.6
9720,24.8
9780,23.0
9840,23.2
9900,23.0
9960,21.4
10020,23.2
10080,22.2
10140,23.0
10200,24.6
10260,23.8
10320,23.0
10380,23.0
10440,24.6
10500,25.6
10560,24.6
10620,23.6
10680,24.8
10740,24.0
10800,23.2
10860,23.6
10920,24.4
10980,23.4
11040,23.4
11100,24.4
11160,24.8
11220,24.6
11280,22.6
11340,24.2
11400,23.4
11460,23.4
11520,23.0
11580,24.2
11640,22.8
11700,22.6
11760,21.8
11820,24.0
11880,23.6
11940,23.8
12000,23.2
12060,23.4
12120,22.8
12180,23.6
12240,23.2
12300,24.0
12360,23.6
12420,23.6
12480,24.8
12540,23.0
12600,23.2
12660,24.0
12720,23.2
12780,23.8
12840,23.6
12900,24.8
12960,22.8
13020,23.8
13080,25.0
13140,23.6
13200,23.8
13260,24.4
13320,24.4
13380,24.0
13440,24.0
13500,23.4
13560,23.0
13620,25.0
13680,22.4
13740,23.6
13800,22.8
13860,22.6
13920,23.6
13980,23.4
14040,25.0
14100,23.6
14160,22.6
14220,24.4
14280,23.0
14340,24.8
14400,24.8
14460,24.0
14520,23.4
14580,24.4
14640,23.2
14700,22.4
14760,24.4
14820,23.8
14880,23.8
14940,23.6
15000,21.8
15060,23.0
15120,23.8
15180,24.0
15240,22.8
15300,25.2
15360,23.4
15420,23.8
15480,22.6
15540,22.0
15600,22.4
15660,22.2
15720,23.0
15780,25.0
15840,23.0
15900,23.8
15960,24.0
16020,23.6
16080,24.8
16140,23.4
16200,22.4
16260,25.0
16320,23.2
16380,25.0
16440,25.2
16500,24.0
16560,23.2
16620,24.4
16680,24.6
16740,24.8
16800,23.8
16860,23.2
16920,24.4
16980,24.8
17040,24.4
17100,24.6
17160,25.2
17220,25.2
17280,23.6
17340,24.0
17400,23.8
17460,24.0
17520,24.0
17580,23.0
17640,22.2
17700,23.8
17760,24.4
17820,24.8
17880,24.4
17940,23.8
18000,22.8
18060,22.8
18120,24.2
18180,23.6
18240,24.0
18300,23.4
18360,24.8
18420,23.0
18480,22.4
18540,23.8
18600,23.4
18660,23.0
18720,24.4
18780,23.2
18840,24.0
18900,23.4
18960,23.2
19020,24.2
19080,23.4
19140,23.8
19200,23.0
19260,23.2
19320,22.8
19380,24.0
19440,24.6
19500,25.8
19560,24.4
19620,23.2
19680,23.8
19740,25.2
19800,22.6
19860,22.4
19920,24.6
19980,23.2
20040,24.8
20100,22.6
20160,23.8
20220,23.8
20280,23.8
20340,22.2
20400,23.6
20460,23.8
20520,24.6
20580,24.2
20640,23.0
20700,23.6
20760,24.6
20820,23.2
20880,23.2
20940,24.8
21000,23.0
21060,23.0
21120,23.6
21180,24.0
21240,25.4
21300,23.0
21360,23.4
21420,24.6
21480,24.6
21540,23.4
21600,21.6
21660,24.6
21720,24.4
21780,24.8
21840,24.6
21900,23.8
21960,25.2
22020,24.4
22080,24.6
22140,22.8
22200,24.0
22260,24.0
22320,23.6
22380,24.0
22440,22.6
22500,23.2
