#Steps,score
60,1.0
120,1.2
180,1.6
240,1.0
300,0.2
360,0.8
420,1.0
480,0.6
540,1.2
600,1.2
660,0.8
720,1.6
780,1.2
840,1.2
900,0.4
960,1.4
1020,1.4
1080,1.4
1140,0.6
1200,1.2
1260,0.6
1320,1.0
1380,0.6
1440,0.4
1500,1.4
1560,0.4
1620,1.0
1680,2.2
1740,1.0
1800,0.8
1860,1.2
1920,0.4
1980,1.0
2040,1.6
2100,0.6
2160,1.2
2220,1.2
2280,0.8
2340,1.8
2400,1.2
2460,0.8
2520,1.2
2580,1.4
2640,0.8
2700,1.0
2760,1.8
2820,2.0
2880,0.8
2940,1.6
3000,2.2
3060,1.8
3120,1.4
3180,0.8
3240,1.6
3300,0.8
3360,1.2
3420,0.4
3480,0.8
3540,1.6
3600,1.6
3660,0.8
3720,1.0
3780,1.6
3840,2.6
3900,0.8
3960,1.2
4020,0.6
4080,2.6
4140,1.2
4200,1.2
4260,2.0
4320,1.2
4380,1.0
4440,0.4
4500,1.2
4560,0.6
4620,1.2
4680,1.6
4740,0.4
4800,1.0
4860,1.0
4920,1.2
4980,1.4
5040,0.8
5100,1.4
5160,2.2
5220,1.2
5280,1.8
5340,1.8
5400,1.2
5460,1.8
5520,1.0
5580,1.2
5640,1.2
5700,1.2
5760,0.8
5820,1.4
5880,1.0
5940,1.0
6000,0.6
6060,1.4
6120,0.8
6180,0.6
6240,1.4
6300,0.8
6360,1.4
6420,1.6
6480,1.2
6540,0.4
6600,0.8
6660,1.8
6720,1.2
6780,0.8
6840,1.6
6900,1.4
6960,0.8
7020,2.0
7080,1.8
7140,1.2
7200,1.2
7260,0.8
7320,0.8
7380,1.8
7440,1.6
7500,1.4
7560,0.4
7620,1.0
7680,0.8
7740,1.4
7800,0.8
7860,1.4
7920,1.0
7980,1.8
8040,1.0
8100,1.2
8160,0.8
8220,0.8
8280,1.4
8340,0.8
8400,1.2
8460,1.8
8520,1.2
8580,1.2
8640,1.8
8700,1.6
8760,1.6
8820,1.2
8880,1.8
8940,0.4
9000,1.0
9060,1.6
9120,1.6
9180,1.0
9240,1.2
9300,1.2
9360,1.8
9420,1.2
9480,1.6
9540,1.2
9600,1.8
9660,1.2
9720,0.8
9780,1.2
9840,2.2
9900,1.8
9960,1.6
10020,1.4
10080,1.0
10140,1.2
10200,0.8
10260,1.0
10320,1.8
10380,0.8
10440,1.8
10500,1.0
10560,2.0
10620,0.4
10680,1.2
10740,2.0
10800,0.8
10860,1.6
10920,1.8
10980,1.6
11040,1.6
11100,1.8
11160,1.0
11220,1.6
11280,1.0
11340,1.4
11400,1.2
11460,0.6
11520,1.0
11580,0.4
11640,1.0
11700,1.4
11760,1.6
11820,1.0
11880,0.8
11940,1.0
12000,0.6
12060,1.8
12120,1.2
12180,1.2
12240,1.4
12300,1.8
12360,1.6
12420,1.8
12480,2.0
12540,0.6
12600,2.2
12660,1.2
12720,0.8
12780,0.8
12840,1.2
12900,1.2
12960,1.4
13020,1.2
13080,2.4
13140,1.2
13200,1.4
13260,2.0
13320,1.4
13380,1.6
13440,2.0
13500,1.4
13560,2.2
13620,1.2
13680,1.6
13740,1.6
13800,0.8
13860,2.4
13920,0.8
13980,1.6
14040,1.8
14100,2.0
14160,2.4
14220,0.8
14280,2.6
14340,1.6
14400,2.2
14460,0.6
14520,1.4
14580,1.2
14640,1.4
14700,1.6
14760,2.4
14820,0.6
14880,1.6
14940,1.8
15000,1.4
15060,2.0
15120,1.8
15180,1.2
15240,1.8
15300,1.8
15360,1.0
15420,1.4
15480,1.4
15540,1.4
15600,1.4
15660,0.6
15720,1.2
15780,0.4
15840,0.6
15900,2.2
15960,1.6
16020,1.2
16080,1.6
16140,1.2
16200,1.6
16260,2.2
16320,1.6
16380,0.8
16440,2.0
16500,0.8
16560,0.6
16620,1.6
16680,1.6
16740,0.8
16800,1.0
16860,2.2
16920,1.8
16980,1.0
17040,2.2
17100,1.4
17160,0.6
17220,1.4
17280,0.4
17340,1.4
17400,1.4
17460,1.0
17520,1.2
17580,1.6
17640,1.2
17700,2.6
17760,2.0
17820,2.6
17880,1.0
17940,1.6
18000,1.4
18060,2.4
18120,0.2
18180,1.6
18240,1.2
18300,2.4
18360,1.0
18420,0.8
18480,1.0
18540,1.0
18600,1.8
18660,1.2
18720,1.4
18780,1.6
18840,0.6
18900,1.8
18960,1.4
19020,1.6
19080,1.2
19140,2.0
19200,2.2
19260,1.2
19320,1.6
19380,2.2
19440,1.6
19500,1.8
19560,1.8
19620,1.2
19680,0.6
19740,0.8
19800,0.4
19860,1.8
19920,1.8
19980,1.2
20040,2.2
20100,0.8
20160,1.8
20220,1.2
20280,1.2
20340,0.8
20400,1.4
20460,2.2
20520,1.2
20580,2.0
20640,2.0
20700,1.4
20760,0.6
20820,1.4
20880,1.0
20940,1.8
21000,1.4
21060,1.2
21120,1.2
21180,0.4
21240,2.8
21300,1.8
21360,2.2
21420,1.6
21480,1.6
21540,1.6
21600,1.8
21660,1.6
21720,0.8
21780,3.0
21840,1.0
21900,1.2
21960,0.8
22020,2.8
22080,1.2
22140,1.6
22200,1.0
22260,2.0
22320,1.8
22380,1.6
22440,2.0
22500,1.2
22560,2.0
22620,1.4
22680,1.2
22740,2.0
22800,1.4
22860,0.8
22920,2.6
22980,0.4
23040,1.8
23100,2.0
23160,1.2
23220,1.4
23280,1.4
23340,1.6
23400,2.2
23460,0.8
23520,1.8
23580,2.4
23640,1.4
23700,0.8
23760,0.6
23820,1.0
23880,1.2
23940,1.4
24000,1.8
24060,2.0
24120,1.0
24180,0.8
24240,1.4
24300,0.8
24360,2.0
24420,2.4
24480,1.6
24540,1.4
24600,1.6
24660,0.8
24720,2.6
24780,2.0
24840,1.4
24900,2.6
24960,0.8
25020,3.0
25080,0.8
25140,1.6
25200,1.2
25260,1.0
25320,1.0
25380,1.0
25440,1.4
25500,2.4
25560,1.4
25620,1.4
25680,2.0
25740,1.8
25800,1.4
25860,2.2
25920,1.0
25980,1.6
26040,1.6
26100,0.8
26160,2.2
26220,0.8
26280,1.0
26340,0.8
26400,2.2
26460,2.2
26520,1.8
26580,2.2
26640,1.8
26700,1.6
26760,1.2
26820,1.0
26880,0.8
26940,1.2
27000,1.6
27060,2.0
27120,2.0
27180,1.2
27240,1.2
27300,1.2
27360,2.4
27420,0.8
27480,1.0
27540,1.6
27600,1.8
27660,1.0
27720,1.8
27780,1.8
27840,1.2
27900,1.4
27960,1.8
28020,3.4
28080,1.4
28140,2.0
28200,1.4
28260,1.4
28320,2.6
28380,0.4
28440,2.2
28500,1.6
28560,0.8
28620,1.0
28680,1.0
28740,1.4
28800,2.2
28860,0.6
28920,2.4
28980,2.4
29040,1.2
29100,1.2
29160,0.8
29220,1.6
29280,1.4
29340,1.6
29400,1.6
29460,1.2
29520,1.0
29580,2.0
29640,1.2
29700,1.0
29760,0.8
29820,2.0
29880,1.6
29940,1.4
30000,0.6
30060,1.0
30120,1.4
30180,2.0
30240,1.0
30300,1.8
30360,1.4
30420,1.0
30480,0.8
30540,0.8
30600,1.8
30660,0.8
30720,1.6
30780,2.2
30840,1.8
30900,2.4
30960,1.0
31020,1.8
31080,1.6
31140,2.6
31200,1.6
31260,2.6
31320,1.6
31380,2.0
31440,1.0
31500,2.2
31560,1.2
31620,1.8
31680,0.8
31740,1.6
31800,2.0
31860,0.6
31920,1.8
31980,1.8
32040,1.0
32100,1.8
32160,0.6
32220,1.8
32280,1.0
32340,0.8
32400,2.0
32460,1.8
32520,0.8
32580,1.6
32640,1.4
32700,1.2
32760,1.4
32820,1.0
32880,2.0
32940,0.4
33000,0.8
33060,2.0
33120,2.4
33180,1.6
33240,2.2
33300,2.0
33360,1.2
33420,1.2
33480,1.6
33540,1.2
33600,1.6
33660,2.0
33720,0.6
33780,1.8
33840,1.0
33900,1.6
33960,2.4
34020,2.2
34080,1.6
34140,1.0
34200,1.4
34260,1.4
34320,1.2
34380,2.0
34440,1.2
34500,2.4
34560,1.2
34620,1.8
34680,1.8
34740,1.8
34800,0.8
34860,1.4
34920,1.2
34980,1.0
35040,1.6
35100,1.6
35160,1.6
35220,1.0
35280,1.2
35340,2.2
35400,1.6
35460,1.0
35520,2.6
35580,1.8
35640,2.0
35700,1.6
35760,2.0
35820,1.4
35880,1.4
35940,1.6
36000,1.4
36060,2.0
36120,1.2
36180,2.4
36240,1.4
36300,2.0
36360,1.8
36420,1.4
36480,0.6
36540,1.0
36600,1.4
36660,0.8
36720,2.0
36780,1.8
36840,1.4
36900,1.8
36960,1.8
37020,1.6
37080,0.8
37140,2.0
37200,2.0
37260,2.8
37320,2.6
37380,1.2
37440,1.8
37500,1.6
37560,1.8
37620,1.2
37680,2.0
37740,1.2
37800,1.2
37860,1.6
37920,1.0
37980,1.2
38040,1.2
38100,1.2
38160,2.0
38220,2.2
38280,0.8
38340,2.0
38400,1.8
38460,1.8
38520,1.4
38580,2.2
38640,2.2
38700,2.0
38760,0.8
38820,0.6
38880,1.8
38940,1.4
39000,1.6
39060,2.2
39120,2.0
39180,2.2
39240,2.4
39300,2.2
39360,1.8
39420,1.6
39480,1.6
39540,2.2
39600,2.6
39660,2.8
39720,2.8
39780,2.0
39840,3.0
39900,0.8
39960,1.2
40020,1.6
40080,2.0
40140,2.0
40200,2.4
40260,1.8
40320,2.4
40380,1.8
40440,1.8
40500,2.2
40560,1.6
40620,2.2
40680,1.8
40740,2.4
40800,2.0
40860,3.2
40920,2.6
40980,2.2
41040,3.2
41100,2.6
41160,2.4
41220,3.6
41280,3.4
41340,2.0
41400,2.6
41460,2.4
41520,2.6
41580,2.8
41640,2.6
41700,3.0
41760,3.4
41820,3.6
41880,3.2
41940,3.4
42000,4.6
42060,3.8
42120,4.2
42180,5.0
42240,4.2
42300,5.4
42360,5.6
42420,6.2
42480,7.2
42540,8.8
42600,9.0
42660,9.2
42720,10.2
42780,10.2
42840,9.4
42900,9.2
42960,9.6
43020,7.8
43080,10.2
43140,9.0
43200,7.2
43260,6.2
43320,7.6
43380,8.0
43440,7.0
43500,8.2
43560,7.8
43620,8.6
43680,9.2
43740,12.8
43800,13.6
43860,13.0
43920,14.2
43980,14.2
44040,14.0
44100,15.0
44160,16.2
44220,14.6
44280,16.6
44340,16.6
44400,17.4
44460,17.6
44520,17.4
44580,18.8
44640,19.6
44700,16.8
44760,14.4
44820,18.4
44880,19.6
44940,19.0
45000,18.4
45060,17.8
45120,19.2
45180,15.8
45240,14.0
45300,16.8
45360,18.0
45420,14.2
45480,16.8
45540,15.2
45600,17.8
45660,16.6
45720,14.4
45780,13.8
45840,14.2
45900,16.4
45960,11.8
46020,16.0
46080,11.0
46140,13.2
46200,12.8
46260,14.2
46320,14.8
46380,15.2
46440,14.6
46500,15.0
46560,17.4
46620,17.8
46680,16.8
46740,19.6
46800,19.4
46860,16.4
46920,18.4
46980,22.0
47040,18.6
47100,19.0
47160,21.0
47220,19.2
47280,21.4
47340,21.0
47400,18.4
47460,20.2
47520,22.2
47580,20.4
47640,19.2
47700,21.4
47760,20.8
47820,23.2
47880,21.4
47940,22.8
48000,22.2
48060,21.8
48120,21.8
48180,22.6
48240,23.0
48300,22.0
48360,23.8
48420,22.8
48480,22.6
48540,25.0
48600,22.2
48660,23.0
48720,23.6
48780,23.2
48840,23.4
48900,22.6
48960,23.6
49020,23.6
49080,24.6
49140,23.8
49200,23.0
49260,24.8
49320,23.4
49380,23.4
49440,23.8
49500,22.4
49560,22.0
49620,23.6
49680,22.8
49740,22.8
49800,22.2
49860,23.8
49920,23.8
49980,22.8
50040,22.4
50100,23.6
50160,23.4
50220,24.6
50280,22.8
50340,23.2
50400,23.2
50460,23.0
50520,25.2
50580,22.0
50640,23.6
50700,22.8
50760,24.0
50820,22.8
50880,23.6
50940,24.2
51000,23.2
51060,22.2
51120,24.0
51180,23.2
51240,23.6
51300,23.4
51360,23.8
51420,23.6
51480,24.0
51540,23.4
51600,24.2
51660,24.2
51720,23.0
51780,22.2
51840,22.8
