#Steps,score
60,1.8
120,0.2
180,1.0
240,0.8
300,0.2
360,1.4
420,1.8
480,1.2
540,1.4
600,0.4
660,0.6
720,1.0
780,0.6
840,0.2
900,0.8
960,0.6
1020,1.0
1080,0.8
1140,1.4
1200,0.8
1260,0.6
1320,1.0
1380,1.2
1440,1.2
1500,0.8
1560,1.0
1620,1.0
1680,1.0
1740,1.2
1800,1.6
1860,1.2
1920,2.0
1980,0.8
2040,1.0
2100,1.8
2160,0.8
2220,1.2
2280,1.4
2340,2.0
2400,0.8
2460,0.8
2520,2.0
2580,2.0
2640,1.0
2700,1.0
2760,2.0
2820,1.6
2880,1.8
2940,1.2
3000,0.8
3060,1.0
3120,0.8
3180,1.8
3240,0.6
3300,1.2
3360,1.4
3420,2.6
3480,1.0
3540,0.8
3600,0.6
3660,1.0
3720,1.2
3780,0.8
3840,1.4
3900,1.4
3960,1.2
4020,1.8
4080,1.0
4140,1.2
4200,1.4
4260,0.6
4320,1.4
4380,1.4
4440,2.0
4500,0.6
4560,0.8
4620,1.6
4680,1.4
4740,1.2
4800,1.4
4860,1.0
4920,1.4
4980,2.2
5040,1.0
5100,1.0
5160,1.0
5220,1.8
5280,1.2
5340,2.0
5400,1.0
5460,1.8
5520,1.2
5580,1.8
5640,0.6
5700,1.8
5760,0.6
5820,0.6
5880,1.0
5940,1.4
6000,1.0
6060,0.8
6120,0.8
6180,2.4
6240,1.6
6300,0.6
6360,1.0
6420,1.4
6480,1.0
6540,1.8
6600,1.8
6660,1.2
6720,0.8
6780,1.0
6840,1.2
6900,1.6
6960,1.4
7020,1.2
7080,1.8
7140,1.6
7200,1.6
7260,1.4
7320,2.4
7380,1.4
7440,0.8
7500,2.2
7560,1.4
7620,1.4
7680,1.6
7740,1.8
7800,1.6
7860,2.0
7920,2.6
7980,1.6
8040,2.6
8100,2.0
8160,1.0
8220,2.8
8280,0.8
8340,1.2
8400,1.4
8460,1.2
8520,1.0
8580,1.8
8640,0.6
8700,2.4
8760,1.4
8820,1.6
8880,2.0
8940,1.8
9000,1.0
9060,2.4
9120,1.2
9180,2.2
9240,2.6
9300,2.2
9360,1.8
9420,1.4
9480,1.6
9540,1.6
9600,1.0
9660,1.8
9720,2.8
9780,1.8
9840,2.6
9900,0.4
9960,1.4
10020,1.4
10080,1.6
10140,1.6
10200,1.2
10260,2.2
10320,2.6
10380,2.2
10440,3.0
10500,1.8
10560,1.4
10620,2.4
10680,3.0
10740,4.0
10800,2.6
10860,2.8
10920,3.2
10980,3.6
11040,3.2
11100,2.2
11160,2.6
11220,4.8
11280,2.6
11340,3.4
11400,2.8
11460,3.4
11520,3.8
11580,3.6
11640,3.8
11700,2.8
11760,4.8
11820,3.6
11880,5.6
11940,5.8
12000,6.2
12060,7.8
12120,8.8
12180,12.6
12240,14.8
12300,18.0
12360,21.4
12420,21.8
12480,21.4
12540,22.6
12600,21.8
12660,22.0
12720,21.8
12780,22.0
12840,23.6
12900,23.4
12960,24.4
13020,24.0
13080,22.0
13140,21.0
13200,18.6
13260,19.4
13320,19.0
13380,18.0
13440,16.8
13500,18.4
13560,17.4
13620,18.6
13680,20.2
13740,22.4
13800,21.4
13860,23.8
13920,23.4
13980,23.0
14040,23.4
14100,23.6
14160,22.4
14220,21.4
14280,22.0
14340,21.2
14400,22.0
14460,22.4
14520,21.6
14580,21.8
14640,22.8
14700,23.6
14760,23.6
14820,22.8
14880,23.2
14940,21.2
15000,23.2
15060,22.2
15120,22.0
15180,23.6
15240,22.4
15300,22.8
15360,23.6
15420,22.8
15480,22.6
15540,23.2
15600,22.4
15660,21.6
15720,22.4
15780,23.8
15840,23.4
15900,23.6
15960,22.8
16020,22.4
16080,22.8
16140,22.8
16200,22.4
16260,21.6
16320,21.2
16380,22.2
16440,22.2
16500,24.2
16560,22.2
16620,22.2
16680,22.8
16740,20.4
16800,24.2
16860,22.0
16920,25.0
16980,24.4
17040,25.0
17100,25.6
17160,25.2
17220,24.4
17280,24.6
17340,23.6
17400,24.4
17460,24.2
17520,23.6
17580,24.0
17640,24.0
17700,24.2
17760,23.8
17820,24.6
17880,23.6
17940,23.4
18000,24.0
18060,24.4
18120,24.8
18180,23.2
18240,24.8
18300,25.2
18360,24.4
18420,24.0
18480,25.0
18540,25.2
18600,24.4
18660,22.6
18720,24.8
18780,23.2
18840,24.8
18900,23.4
18960,22.4
19020,22.0
19080,22.0
19140,22.2
19200,23.0
19260,23.0
19320,23.6
19380,23.2
19440,21.6
19500,22.0
19560,24.0
19620,24.4
19680,23.6
19740,23.6
19800,23.6
19860,23.0
19920,22.6
19980,23.2
20040,23.0
20100,23.0
20160,23.6
20220,22.0
20280,23.8
20340,23.8
20400,23.6
20460,23.6
20520,22.6
20580,22.8
20640,23.8
20700,23.2
20760,23.0
20820,23.2
20880,22.0
20940,23.2
21000,24.0
21060,23.6
21120,22.8
21180,21.8
21240,23.2
21300,23.4
21360,21.6
21420,21.4
21480,24.2
21540,23.8
21600,22.6
21660,21.6
21720,23.4
21780,22.8
21840,22.0
21900,22.8
21960,24.0
22020,23.0
22080,22.0
22140,22.8
22200,21.6
22260,23.6
22320,20.8
22380,22.0
22440,23.6
22500,23.0
22560,22.6
22620,22.8
22680,23.4
22740,23.0
22800,22.0
22860,23.8
22920,23.0
22980,22.8
23040,23.2
23100,23.4
23160,23.4
23220,23.0
23280,22.0
23340,22.6
23400,22.2
23460,22.4
23520,22.2
23580,22.0
23640,22.2
23700,22.8
23760,22.4
23820,23.8
23880,23.6
23940,23.8
24000,23.4
24060,22.2
24120,24.4
24180,24.4
24240,22.8
24300,25.8
24360,23.2
24420,23.4
24480,22.6
24540,22.6
24600,23.4
24660,25.4
24720,23.8
24780,23.0
24840,22.6
24900,22.6
24960,23.8
25020,23.0
25080,23.6
25140,22.2
25200,24.0
25260,23.4
25320,22.8
25380,24.4
25440,22.0
25500,24.0
25560,22.8
25620,23.2
25680,23.8
25740,24.6
25800,22.2
25860,23.2
25920,23.0
25980,22.0
26040,21.6
26100,24.6
26160,22.4
26220,23.0
26280,21.6
26340,23.0
26400,22.6
26460,22.0
26520,22.4
26580,22.4
26640,22.8
26700,23.4
26760,23.6
26820,23.4
26880,23.2
26940,24.6
27000,22.6
27060,24.6
27120,23.0
27180,25.2
27240,24.0
27300,24.6
27360,24.4
27420,23.8
27480,23.6
27540,23.8
27600,23.4
27660,23.8
27720,21.8
27780,23.6
27840,23.6
27900,23.4
27960,23.8
28020,23.0
28080,23.4
28140,22.2
28200,24.8
28260,23.4
28320,23.2
28380,22.4
28440,24.2
28500,24.2
28560,22.0
28620,23.8
28680,23.8
28740,24.4
28800,23.2
28860,22.2
28920,22.8
28980,23.8
29040,23.4
29100,24.0
29160,24.0
29220,23.2
29280,22.6
29340,24.0
29400,25.4
29460,23.2
29520,23.4
29580,23.4
29640,23.0
29700,24.8
29760,23.2
29820,21.8
29880,22.6
29940,22.6
30000,22.8
30060,22.6
30120,22.4
30180,23.8
30240,21.4
30300,23.8
30360,23.4
30420,22.4
30480,22.8
30540,22.4
30600,22.6
30660,24.6
30720,23.4
30780,23.8
30840,23.2
30900,22.4
30960,23.2
31020,24.6
31080,23.8
31140,24.6
31200,23.6
31260,24.0
31320,24.2
31380,25.4
31440,26.2
31500,24.6
31560,23.6
31620,24.4
31680,24.0
31740,24.0
31800,23.0
31860,23.6
31920,24.6
31980,25.0
32040,24.6
32100,24.0
32160,24.4
32220,23.4
32280,23.0
32340,23.4
32400,23.2
32460,23.4
32520,23.4
32580,23.2
32640,23.2
32700,24.4
32760,23.8
32820,24.0
32880,24.2
32940,23.8
33000,24.6
33060,23.2
33120,23.2
33180,22.0
33240,24.0
33300,22.6
33360,22.8
33420,23.4
33480,22.4
33540,23.0
33600,23.4
33660,25.0
33720,24.2
33780,24.6
33840,24.0
33900,24.4
33960,23.6
34020,24.4
34080,24.2
34140,24.6
34200,23.6
34260,23.8
34320,23.2
34380,23.2
34440,23.4
34500,24.6
34560,23.6
34620,24.2
34680,24.8
34740,23.4
34800,23.4
34860,23.8
34920,24.2
34980,22.4
35040,23.4
35100,22.2
35160,22.6
35220,22.8
35280,24.4
35340,24.4
35400,23.2
35460,23.8
35520,23.8
35580,23.6
35640,23.2
35700,23.8
35760,23.2
35820,22.2
35880,24.2
35940,23.4
36000,23.4
36060,24.0
36120,23.4
36180,22.8
36240,23.6
36300,23.0
36360,22.2
36420,24.4
36480,23.6
36540,23.2
36600,23.4
36660,23.2
36720,22.8
36780,24.8
36840,23.0
36900,23.8
36960,22.8
37020,24.2
37080,22.0
37140,24.4
37200,24.0
37260,23.2
37320,23.6
37380,24.6
37440,24.4
37500,24.2
37560,24.0
37620,23.8
37680,24.8
37740,25.0
37800,24.0
37860,24.2
37920,24.4
37980,23.6
38040,23.4
38100,23.8
38160,24.0
38220,23.0
38280,25.4
38340,25.2
38400,25.0
38460,24.0
38520,24.8
38580,24.6
38640,23.8
38700,24.4
38760,24.0
38820,25.0
38880,25.0
38940,24.4
39000,25.6
39060,23.4
39120,23.0
39180,25.4
39240,23.8
39300,23.8
39360,24.6
39420,24.2
39480,24.2
39540,23.6
39600,24.8
39660,25.4
39720,23.8
39780,25.0
39840,23.8
39900,22.6
39960,22.2
40020,22.2
40080,24.4
40140,22.2
40200,23.0
40260,24.4
40320,24.2
40380,24.2
40440,24.2
40500,24.0
40560,23.6
40620,24.2
40680,24.2
40740,23.4
40800,23.6
40860,23.0
40920,23.4
40980,24.2
41040,26.0
41100,23.8
41160,23.6
41220,24.8
41280,25.2
41340,23.0
41400,23.6
41460,25.4
41520,24.4
41580,24.8
41640,24.8
41700,24.2
41760,25.0
41820,24.0
41880,25.6
41940,24.0
42000,25.4
42060,24.0
42120,26.2
42180,24.4
42240,24.4
42300,25.4
42360,25.4
42420,25.0
42480,24.8
42540,24.4
42600,26.0
42660,23.8
42720,26.0
42780,25.6
42840,26.0
42900,25.2
42960,24.8
43020,26.2
43080,24.0
43140,24.8
43200,24.0
43260,25.6
43320,23.2
43380,23.6
43440,24.4
43500,25.6
43560,24.8
43620,24.8
43680,22.4
43740,23.6
43800,23.8
43860,26.6
43920,25.0
43980,22.8
44040,24.4
44100,25.0
44160,24.4
44220,23.0
44280,23.4
44340,23.0
44400,24.6
44460,23.4
44520,23.0
44580,23.6
44640,23.4
44700,23.6
44760,23.8
44820,24.8
44880,22.8
44940,23.2
45000,23.0
