#Steps,score
60,0.2
120,0.8
180,1.4
240,2.0
300,0.6
360,2.0
420,1.0
480,0.8
540,1.8
600,1.8
660,1.2
720,0.2
780,1.8
840,0.8
900,0.2
960,1.4
1020,0.8
1080,1.2
1140,1.8
1200,1.2
1260,0.4
1320,1.0
1380,1.2
1440,1.2
1500,1.2
1560,1.0
1620,2.2
1680,1.0
1740,1.4
1800,1.0
1860,2.6
1920,1.6
1980,1.4
2040,1.6
2100,2.0
2160,0.8
2220,1.4
2280,1.0
2340,1.4
2400,1.0
2460,0.8
2520,1.4
2580,1.4
2640,1.0
2700,1.2
2760,1.0
2820,1.8
2880,1.2
2940,1.6
3000,2.8
3060,0.8
3120,0.6
3180,1.0
3240,1.4
3300,0.8
3360,0.6
3420,1.2
3480,2.0
3540,1.4
3600,1.0
3660,1.4
3720,1.6
3780,1.2
3840,0.8
3900,2.0
3960,0.8
4020,1.0
4080,1.0
4140,1.8
4200,1.4
4260,1.0
4320,0.6
4380,1.4
4440,1.4
4500,1.4
4560,1.2
4620,0.6
4680,1.6
4740,1.4
4800,1.2
4860,1.2
4920,1.0
4980,1.8
5040,1.0
5100,0.4
5160,1.0
5220,1.8
5280,0.6
5340,1.6
5400,1.4
5460,0.6
5520,0.8
5580,1.4
5640,0.8
5700,1.0
5760,0.8
5820,0.8
5880,1.0
5940,0.8
6000,1.0
6060,2.0
6120,2.2
6180,2.0
6240,1.0
6300,1.4
6360,0.8
6420,1.6
6480,1.0
6540,1.6
6600,1.4
6660,1.2
6720,1.2
6780,1.0
6840,2.2
6900,2.2
6960,2.2
7020,1.4
7080,1.8
7140,1.0
7200,2.2
7260,1.8
7320,0.8
7380,1.6
7440,1.6
7500,1.6
7560,1.4
7620,1.2
7680,0.4
7740,1.6
7800,1.4
7860,1.6
7920,1.8
7980,2.0
8040,2.2
8100,1.2
8160,2.6
8220,1.2
8280,1.6
8340,1.2
8400,1.4
8460,1.8
8520,0.6
8580,1.4
8640,1.0
8700,1.8
8760,1.6
8820,1.6
8880,2.0
8940,2.2
9000,1.4
9060,1.8
9120,2.0
9180,0.8
9240,1.4
9300,2.0
9360,1.2
9420,2.2
9480,2.6
9540,1.2
9600,1.8
9660,2.0
9720,2.2
9780,1.2
9840,1.4
9900,1.8
9960,2.0
10020,1.6
10080,2.2
10140,1.6
10200,1.8
10260,2.4
10320,2.0
10380,0.8
10440,1.8
10500,1.4
10560,1.6
10620,0.8
10680,2.4
10740,2.0
10800,1.0
10860,0.8
10920,1.2
10980,2.2
11040,1.4
11100,2.2
11160,2.6
11220,2.4
11280,0.8
11340,2.0
11400,3.2
11460,2.4
11520,1.6
11580,1.0
11640,1.4
11700,2.8
11760,2.0
11820,1.2
11880,2.0
11940,1.6
12000,2.0
12060,1.4
12120,2.4
12180,2.8
12240,1.2
12300,2.0
12360,2.6
