#Steps,score
600,0.6
1200,1.0
1800,2.0
2400,1.2
3000,1.6
3600,2.8
4200,11.4
4800,25.4
5400,22.2
6000,24.2
6600,24.6
7200,25.4
7800,26.6
8400,24.0
9000,25.0
9600,24.8
10200,25.8
10800,25.0
11400,24.6
12000,26.0
12600,25.2
13200,23.6
13800,22.8
14400,20.8
15000,21.0
15600,25.0
16200,23.0
16800,23.6
17400,26.2
18000,25.8
18600,24.4
19200,26.2
19800,25.0
20400,23.2
21000,24.0
21600,23.0
22200,25.0
22800,25.8
23400,26.0
24000,23.6
24600,25.6
25200,26.2
25800,26.0
26400,27.6
27000,24.8
27600,24.6
28200,25.6
28800,26.0
29400,25.2
30000,25.4
30600,24.2
31200,24.0
31800,23.8
32400,23.2
33000,24.0
33600,23.6
34200,24.6
34800,25.6
35400,25.8
36000,26.2
36600,23.8
37200,24.2
37800,25.8
38400,25.4
39000,25.8
39600,26.4
40200,25.4
40800,26.2
41400,25.8
42000,25.8
42600,26.6
43200,24.6
43800,24.8
44400,26.0
45000,24.6
45600,25.8
46200,24.2
46800,25.8
47400,24.6
48000,24.0
48600,26.2
49200,26.8
49800,26.0
50400,26.0
51000,24.6
51600,25.4
52200,25.8
52800,26.4
53400,26.2
54000,24.6
54600,26.0
55200,25.2
55800,25.2
56400,26.0
57000,24.0
57600,26.2
58200,23.2
58800,25.4
59400,24.8
60000,24.4
