#Steps,score
60,1.0
120,0.8
180,2.4
240,1.4
300,0.6
360,2.0
420,1.0
480,1.2
540,1.6
600,0.6
660,1.4
720,0.8
780,1.4
840,0.8
900,1.4
960,0.2
1020,0.6
1080,1.4
1140,1.4
1200,0.4
1260,1.4
1320,1.2
1380,1.2
1440,0.8
1500,2.0
1560,1.4
1620,0.8
1680,1.6
1740,0.8
1800,0.8
1860,0.4
1920,0.8
1980,1.8
2040,0.8
2100,1.4
2160,1.2
2220,1.4
2280,0.2
2340,2.2
2400,0.8
2460,1.2
2520,1.8
2580,0.6
2640,1.2
2700,0.8
2760,1.2
2820,1.2
2880,1.0
2940,1.0
3000,0.6
3060,1.0
3120,0.6
3180,0.8
3240,0.8
3300,2.0
3360,0.8
3420,1.2
3480,2.0
3540,0.8
3600,1.4
3660,0.6
3720,0.8
3780,1.8
3840,2.0
3900,1.6
3960,0.4
4020,1.2
4080,1.4
4140,1.4
4200,1.6
4260,1.2
4320,1.2
4380,0.8
4440,1.6
4500,1.4
4560,0.6
4620,0.6
4680,1.4
4740,1.0
4800,0.4
4860,1.0
4920,0.4
4980,0.4
5040,0.2
5100,1.6
5160,0.8
5220,0.8
5280,1.2
5340,1.6
5400,1.2
5460,1.4
5520,1.4
5580,1.4
5640,1.4
5700,1.0
5760,0.8
5820,1.0
5880,0.8
5940,1.2
6000,0.4
6060,0.8
6120,1.0
6180,0.8
6240,2.0
6300,1.0
6360,1.4
6420,0.4
6480,1.4
6540,0.4
6600,1.4
6660,1.4
6720,0.8
6780,1.6
6840,0.8
6900,1.6
6960,2.4
7020,1.6
7080,0.6
7140,2.2
7200,0.6
7260,1.2
7320,1.4
7380,1.4
7440,2.2
7500,0.6
7560,1.0
7620,0.8
7680,1.2
7740,1.4
7800,1.2
7860,1.2
7920,1.4
7980,1.2
8040,0.6
8100,1.8
8160,1.8
8220,1.0
8280,0.2
8340,1.2
8400,0.6
8460,1.4
8520,1.4
8580,1.6
8640,1.8
8700,1.0
8760,1.4
8820,1.4
8880,1.0
8940,2.8
9000,1.6
9060,1.4
9120,1.0
9180,1.0
9240,1.2
9300,1.2
9360,0.2
9420,0.6
9480,1.4
9540,1.6
9600,1.2
9660,1.8
9720,1.4
9780,1.4
9840,0.6
9900,1.2
9960,1.0
10020,1.4
10080,1.0
10140,0.8
10200,1.6
10260,1.0
10320,0.6
10380,1.6
10440,2.0
10500,0.2
10560,1.0
10620,1.8
10680,1.2
10740,0.8
10800,0.6
10860,0.8
10920,0.8
10980,0.6
11040,2.0
11100,1.4
11160,0.6
11220,1.2
11280,1.4
11340,1.2
11400,1.0
11460,0.8
11520,1.6
11580,2.4
11640,1.4
11700,1.6
11760,2.0
11820,1.2
11880,1.0
11940,1.2
12000,1.2
12060,1.0
12120,1.0
12180,0.8
12240,1.2
12300,0.2
12360,1.0
12420,0.6
12480,1.4
12540,0.8
12600,1.4
12660,1.2
12720,1.6
12780,1.0
12840,1.2
12900,0.8
12960,2.2
13020,1.2
13080,1.6
13140,0.8
13200,1.0
13260,0.8
13320,0.8
13380,1.0
13440,0.6
13500,1.2
13560,1.2
13620,1.2
13680,2.4
13740,1.4
13800,1.4
13860,0.6
13920,1.4
13980,1.4
14040,1.8
14100,0.8
14160,1.0
14220,1.4
14280,1.4
14340,1.8
14400,0.8
14460,1.4
14520,1.8
14580,2.0
14640,1.2
14700,1.2
14760,1.0
14820,1.4
14880,1.4
14940,1.6
15000,1.2
15060,0.8
15120,1.2
15180,1.0
15240,1.0
15300,0.8
15360,1.8
15420,1.8
15480,1.2
15540,1.2
15600,1.8
15660,1.0
15720,1.2
15780,1.6
15840,1.4
15900,0.2
15960,0.8
16020,0.6
16080,1.6
16140,0.6
16200,1.4
16260,0.8
16320,1.4
16380,1.0
16440,1.2
16500,1.6
16560,0.8
16620,1.2
16680,0.8
16740,0.6
16800,0.8
16860,1.6
16920,1.4
16980,0.8
17040,1.6
17100,1.0
17160,1.0
17220,1.2
17280,2.0
17340,0.2
17400,1.6
17460,1.2
17520,0.8
17580,1.0
17640,1.0
17700,1.6
17760,1.6
17820,1.8
17880,1.0
17940,0.4
18000,1.4
18060,1.8
18120,1.2
18180,1.0
18240,1.0
18300,0.8
18360,0.8
18420,0.8
18480,0.6
18540,1.4
18600,2.0
18660,1.2
18720,0.6
18780,2.6
18840,2.0
18900,1.6
18960,2.0
19020,1.2
19080,1.4
19140,1.0
19200,1.6
19260,1.6
19320,0.6
19380,1.0
19440,1.0
19500,1.4
19560,1.8
19620,1.2
19680,1.2
19740,1.2
19800,0.8
19860,1.2
19920,1.2
19980,1.0
20040,1.0
20100,0.6
20160,1.8
20220,1.0
20280,0.6
20340,0.8
20400,0.4
