#Steps,score
60,0.8
120,1.2
180,0.8
240,0.6
300,0.8
360,0.6
420,1.2
480,1.6
540,0.8
600,1.6
660,1.4
720,1.4
780,1.2
840,0.6
900,2.2
960,1.0
1020,1.4
1080,1.4
1140,1.4
1200,0.8
1260,1.2
1320,1.0
1380,1.2
1440,0.4
1500,1.4
1560,1.2
1620,1.6
1680,1.2
1740,1.0
1800,0.6
1860,1.4
1920,0.8
1980,1.2
2040,0.8
2100,1.0
2160,2.2
2220,0.8
2280,0.6
2340,0.4
2400,1.0
2460,0.8
2520,1.8
2580,0.8
2640,0.4
2700,2.0
2760,0.6
2820,1.0
2880,1.0
2940,1.0
3000,2.0
3060,1.2
3120,1.8
3180,0.8
3240,0.8
3300,0.6
3360,0.6
3420,1.0
3480,1.4
3540,0.6
3600,1.4
3660,0.8
3720,1.2
3780,1.4
3840,1.0
3900,1.6
3960,0.8
4020,1.2
4080,0.4
4140,1.0
4200,1.0
4260,1.0
4320,0.8
4380,0.6
4440,1.2
4500,1.4
4560,1.6
4620,1.6
4680,0.6
4740,1.2
4800,1.8
4860,1.2
4920,0.6
4980,1.0
5040,1.8
5100,1.0
5160,1.2
5220,0.8
5280,0.6
5340,0.8
5400,0.8
5460,0.6
5520,0.8
5580,1.2
5640,1.6
5700,2.0
5760,0.6
5820,1.8
5880,0.6
5940,1.0
6000,1.4
6060,1.6
6120,0.8
6180,1.6
6240,0.6
6300,2.0
6360,2.0
6420,0.6
6480,1.4
6540,1.8
6600,1.6
6660,0.8
6720,1.0
6780,0.8
6840,0.8
6900,2.2
6960,1.2
7020,0.8
7080,1.4
7140,1.0
7200,0.6
7260,0.6
7320,1.6
7380,0.6
7440,2.2
7500,1.0
7560,0.6
7620,0.8
7680,1.2
7740,1.2
7800,1.4
7860,1.0
7920,1.2
7980,0.8
8040,2.4
8100,1.6
8160,1.2
8220,1.4
8280,0.6
8340,1.4
8400,0.2
8460,2.2
8520,1.2
8580,1.0
8640,0.4
8700,1.0
8760,1.4
8820,0.8
8880,0.4
8940,0.8
9000,0.6
9060,0.6
9120,0.6
9180,1.2
9240,1.0
9300,1.8
9360,0.6
9420,0.8
9480,1.4
9540,1.0
9600,1.6
9660,0.2
9720,1.2
9780,1.0
9840,1.2
9900,1.0
9960,0.8
10020,1.2
10080,0.6
10140,1.4
10200,0.4
10260,1.2
10320,1.2
10380,0.8
10440,1.0
10500,0.6
10560,0.8
10620,1.2
10680,1.4
10740,1.2
10800,1.0
10860,1.0
10920,1.0
10980,1.0
11040,0.8
11100,2.2
11160,1.4
11220,1.0
11280,1.0
11340,1.2
11400,1.2
11460,1.2
11520,1.8
11580,1.6
11640,1.6
11700,0.2
11760,1.6
11820,0.8
11880,2.2
11940,1.0
12000,1.6
12060,1.0
12120,2.0
12180,1.0
12240,1.0
12300,1.2
12360,1.8
12420,0.6
12480,0.4
12540,0.6
12600,1.2
12660,1.6
12720,0.6
12780,2.2
12840,1.8
12900,1.0
12960,0.6
13020,0.6
13080,0.8
13140,0.8
13200,0.4
13260,1.4
13320,1.4
13380,0.4
13440,1.0
13500,0.8
13560,1.6
13620,0.8
13680,0.4
13740,1.6
13800,1.8
13860,2.2
13920,1.0
13980,0.8
14040,0.6
14100,1.2
14160,1.0
14220,1.6
14280,0.4
14340,1.2
14400,2.2
14460,1.0
14520,1.4
14580,1.4
14640,2.6
14700,1.2
14760,1.4
14820,1.0
14880,1.4
14940,1.8
15000,1.4
15060,1.4
15120,0.8
15180,1.2
15240,0.6
15300,0.4
15360,1.2
15420,0.8
15480,1.4
15540,1.0
15600,1.2
15660,0.6
15720,0.8
15780,1.0
15840,1.0
15900,1.0
15960,1.6
16020,0.4
16080,0.4
16140,1.6
16200,1.0
16260,1.2
16320,2.0
16380,1.2
16440,0.8
16500,2.2
