#Steps,score
600,1.0
1200,1.2
1800,1.8
2400,1.4
3000,0.6
3600,0.8
4200,1.0
4800,0.4
5400,0.0
6000,0.0
6600,0.6
7200,0.0
7800,0.0
8400,0.2
9000,0.2
9600,0.2
10200,0.0
10800,0.2
11400,0.2
12000,0.4
12600,0.0
13200,0.2
13800,0.2
14400,0.0
15000,0.2
15600,0.0
16200,0.2
16800,0.0
17400,0.2
18000,0.0
18600,0.2
19200,0.0
19800,0.2
20400,0.0
21000,0.0
21600,0.0
22200,0.0
22800,0.0
23400,0.0
24000,0.0
24600,0.0
25200,0.2
25800,0.0
26400,0.0
27000,0.0
27600,0.2
28200,0.0
28800,0.2
29400,0.0
30000,0.0
30600,0.0
31200,0.0
