#Steps,score
60,1.2
120,1.2
180,1.2
240,1.0
300,1.2
360,1.2
420,1.0
480,1.0
540,0.2
600,1.0
660,1.2
720,1.0
780,0.6
840,0.8
900,0.6
960,1.0
1020,0.8
1080,0.8
1140,1.6
1200,1.0
1260,1.0
1320,1.2
1380,1.0
1440,1.2
1500,0.6
1560,0.6
1620,1.0
1680,0.2
1740,1.4
1800,1.6
1860,1.0
1920,0.6
1980,1.6
2040,1.6
2100,1.4
2160,1.2
2220,2.0
2280,1.0
2340,0.4
2400,0.2
2460,1.6
2520,1.2
2580,0.6
2640,1.0
2700,1.4
2760,1.8
2820,1.4
2880,1.0
2940,2.0
3000,1.2
3060,1.4
3120,1.2
3180,1.4
3240,1.2
3300,2.2
3360,2.0
3420,1.0
3480,0.6
3540,1.2
3600,2.0
3660,1.4
3720,0.6
3780,2.6
3840,1.8
3900,1.4
3960,1.2
4020,1.2
4080,1.4
4140,1.8
4200,1.6
4260,0.8
4320,1.0
4380,1.6
4440,1.2
4500,1.0
4560,1.6
4620,1.6
4680,1.6
4740,1.2
4800,1.6
4860,1.6
4920,0.6
4980,1.2
5040,0.8
5100,1.6
5160,1.2
5220,1.6
5280,1.4
5340,3.4
5400,1.6
5460,1.8
5520,1.4
5580,1.6
5640,1.4
5700,1.0
5760,1.8
5820,1.4
5880,1.4
5940,2.2
6000,2.4
6060,2.4
6120,1.8
6180,1.6
6240,1.4
6300,1.6
6360,2.2
6420,0.8
6480,2.8
6540,1.6
6600,1.0
6660,2.4
6720,1.6
6780,1.2
6840,3.0
6900,1.0
6960,2.2
7020,2.8
7080,3.2
7140,1.4
7200,3.2
7260,1.2
7320,1.4
7380,1.2
7440,1.6
7500,2.2
7560,0.8
7620,2.2
7680,1.6
7740,3.2
7800,1.0
7860,2.8
7920,1.0
7980,2.0
8040,3.4
8100,3.0
8160,2.2
8220,2.6
8280,2.8
8340,1.6
8400,3.2
8460,3.0
8520,2.0
8580,4.0
8640,1.4
8700,1.8
8760,1.2
8820,2.0
8880,2.0
8940,2.4
9000,2.2
9060,3.2
9120,2.4
9180,2.6
9240,2.2
9300,1.8
9360,2.6
9420,2.0
9480,2.2
9540,2.6
9600,3.8
9660,1.6
9720,1.2
9780,2.8
9840,1.8
9900,3.8
9960,3.0
10020,3.6
10080,3.8
10140,2.4
10200,2.6
10260,4.0
10320,3.6
10380,4.6
10440,4.0
10500,4.4
10560,5.0
10620,5.6
10680,6.0
10740,7.0
10800,7.4
10860,9.2
10920,7.2
10980,7.6
11040,10.6
11100,10.4
11160,13.0
11220,16.2
11280,15.4
11340,19.2
11400,19.4
11460,22.8
11520,21.4
11580,21.4
11640,20.4
11700,20.4
11760,20.0
11820,21.4
11880,20.6
11940,22.6
12000,23.4
12060,22.2
12120,23.0
12180,23.8
12240,21.8
12300,21.2
12360,21.2
12420,21.4
12480,21.0
12540,19.2
12600,21.0
12660,21.2
12720,21.0
12780,22.4
12840,20.2
12900,21.2
12960,22.6
13020,21.4
13080,23.4
13140,23.6
13200,23.0
13260,23.6
13320,23.0
13380,23.8
13440,23.6
13500,23.2
13560,22.8
13620,22.2
13680,23.6
13740,24.8
13800,24.0
13860,25.4
13920,23.2
13980,23.8
14040,23.0
14100,23.6
14160,23.8
14220,23.6
14280,25.6
14340,23.8
14400,23.2
14460,23.4
14520,23.2
14580,25.2
14640,22.6
14700,23.6
14760,25.0
14820,24.6
14880,24.2
14940,23.0
15000,21.8
15060,23.8
15120,21.8
15180,22.0
15240,22.6
15300,22.4
15360,21.8
15420,25.4
15480,24.0
15540,24.2
15600,24.2
15660,23.6
15720,23.6
15780,24.0
15840,23.0
15900,23.2
15960,22.6
16020,24.0
16080,25.0
16140,24.2
16200,24.0
16260,23.2
16320,23.2
16380,24.8
16440,25.6
16500,25.8
16560,23.4
16620,24.8
16680,23.8
16740,23.2
16800,24.4
16860,22.6
16920,23.4
16980,24.8
17040,23.6
17100,24.2
17160,22.2
17220,24.0
17280,25.4
17340,24.0
17400,24.6
17460,23.6
17520,24.2
17580,24.8
17640,22.6
17700,23.6
17760,23.0
17820,23.6
17880,23.6
17940,24.0
18000,24.8
18060,24.0
18120,24.4
18180,24.0
18240,23.6
18300,24.2
18360,23.8
18420,23.2
18480,24.6
18540,22.2
18600,23.6
18660,24.8
18720,25.0
18780,25.6
18840,23.0
18900,24.0
18960,24.4
19020,25.8
19080,23.4
19140,25.4
19200,24.0
19260,23.6
19320,23.8
19380,23.4
19440,23.8
19500,24.6
19560,24.6
19620,24.2
19680,24.0
19740,23.8
19800,24.4
19860,22.8
19920,23.6
19980,23.0
20040,25.2
20100,23.4
20160,24.0
20220,23.6
20280,24.6
20340,23.0
20400,23.8
20460,24.8
20520,24.6
20580,25.2
20640,23.6
20700,22.6
20760,23.8
20820,23.0
20880,23.6
20940,24.0
21000,24.8
21060,22.6
21120,24.0
21180,24.0
21240,24.0
21300,22.6
21360,22.2
21420,24.2
21480,25.2
21540,23.6
21600,23.0
21660,23.6
21720,25.4
21780,23.2
21840,24.6
21900,23.4
21960,24.0
22020,24.4
22080,24.6
22140,24.0
22200,23.4
22260,22.8
22320,24.2
22380,24.2
22440,23.2
22500,24.8
22560,23.8
22620,24.6
22680,23.6
22740,23.0
22800,24.0
22860,24.6
22920,23.8
22980,24.2
23040,23.8
23100,23.2
23160,24.2
23220,25.2
23280,25.6
23340,23.8
23400,23.6
23460,25.2
23520,24.8
23580,25.0
23640,23.0
23700,24.0
23760,24.6
23820,23.2
23880,23.6
23940,24.2
24000,24.6
24060,23.6
24120,25.0
24180,23.8
24240,22.6
24300,23.6
24360,23.8
24420,23.8
24480,23.2
24540,22.8
24600,22.8
24660,22.4
24720,22.6
24780,23.8
24840,23.6
24900,24.6
24960,22.2
25020,22.8
25080,23.6
25140,23.4
25200,21.6
25260,22.8
25320,24.4
25380,22.2
25440,23.6
25500,24.0
25560,23.6
25620,23.6
25680,25.0
25740,23.2
25800,24.0
25860,24.4
25920,25.2
25980,24.6
26040,24.6
26100,23.8
26160,25.8
26220,24.0
26280,23.6
26340,23.4
26400,25.8
26460,24.6
26520,24.2
26580,24.0
26640,23.6
26700,24.2
26760,24.4
26820,25.0
26880,26.6
26940,24.4
27000,24.0
27060,25.2
27120,22.8
27180,24.6
27240,24.2
27300,25.4
27360,25.0
27420,25.8
27480,25.8
27540,26.0
27600,24.4
27660,24.0
27720,24.6
27780,25.4
27840,23.8
27900,24.2
27960,23.2
28020,24.8
28080,24.8
28140,22.8
28200,24.2
28260,25.0
28320,24.2
28380,23.6
28440,24.0
28500,23.2
28560,21.8
28620,25.2
28680,24.2
28740,23.0
28800,23.2
28860,23.4
28920,23.4
28980,24.6
29040,23.2
29100,23.2
29160,24.2
29220,25.0
29280,25.2
29340,23.4
29400,25.4
29460,25.2
29520,24.0
29580,24.2
29640,25.2
29700,23.4
29760,25.6
29820,22.6
29880,24.6
29940,25.4
30000,23.4
30060,23.8
30120,24.2
30180,24.6
30240,25.0
30300,23.8
30360,26.4
30420,23.6
30480,25.0
30540,23.4
30600,23.0
30660,23.2
30720,24.4
30780,23.2
30840,23.8
30900,24.0
30960,24.6
31020,23.6
31080,23.8
31140,24.2
31200,24.2
31260,24.6
31320,24.4
31380,25.4
31440,23.2
31500,24.4
31560,25.0
31620,25.8
31680,25.2
31740,25.2
31800,25.2
31860,24.4
31920,25.2
31980,24.0
32040,23.6
32100,23.6
32160,23.4
32220,25.0
32280,26.0
32340,24.6
32400,25.8
32460,24.0
32520,24.0
32580,24.2
32640,24.4
32700,24.2
32760,23.4
32820,23.6
32880,23.6
32940,23.8
33000,24.6
33060,25.0
33120,23.2
33180,22.6
33240,24.6
33300,23.2
33360,22.8
33420,21.8
33480,24.0
33540,25.0
33600,22.4
