#Steps,score
60,0.6
120,1.4
180,1.0
240,1.8
300,2.0
360,1.0
420,1.2
480,1.0
540,1.2
600,1.4
660,1.8
720,1.2
780,0.8
840,1.0
900,1.6
960,0.4
1020,1.0
1080,1.6
1140,1.0
1200,1.2
1260,1.6
1320,1.4
1380,0.8
1440,1.6
1500,1.4
1560,1.6
1620,0.6
1680,1.4
1740,1.0
1800,0.4
1860,2.6
1920,1.2
1980,1.4
2040,1.2
2100,1.0
2160,1.2
2220,0.2
2280,1.6
2340,0.4
2400,1.6
2460,1.4
2520,1.6
2580,2.0
2640,1.0
2700,1.8
2760,0.8
2820,1.2
2880,1.4
2940,0.8
3000,2.0
3060,1.2
3120,2.2
3180,1.6
3240,2.0
3300,0.6
3360,2.2
3420,2.4
3480,1.4
3540,2.0
3600,2.2
3660,0.8
3720,1.4
3780,1.8
3840,1.6
3900,3.0
3960,1.2
4020,1.4
4080,2.0
4140,1.2
4200,1.4
4260,2.0
4320,1.4
4380,2.2
4440,1.4
4500,3.0
4560,3.4
4620,2.0
4680,1.0
4740,2.4
4800,3.0
4860,2.0
4920,1.4
4980,2.6
5040,2.2
5100,2.2
5160,2.2
5220,2.8
5280,3.0
5340,2.0
5400,2.8
5460,2.6
5520,4.0
5580,3.2
5640,3.2
5700,3.4
5760,5.2
5820,5.4
5880,3.0
5940,3.4
6000,1.8
6060,4.0
6120,5.4
6180,5.6
6240,4.2
6300,5.6
6360,5.2
6420,4.8
6480,5.4
6540,4.8
6600,6.8
6660,7.4
6720,8.2
6780,12.2
6840,15.8
6900,18.6
6960,19.2
7020,20.6
7080,20.6
7140,21.0
7200,20.2
7260,22.0
7320,23.0
7380,22.0
7440,22.4
7500,23.6
7560,22.6
7620,22.6
7680,23.8
7740,23.8
7800,22.8
7860,23.4
7920,24.2
7980,21.8
8040,23.0
8100,22.6
8160,21.2
8220,22.6
8280,23.4
8340,23.2
8400,23.2
8460,20.8
8520,23.4
8580,23.8
8640,22.4
8700,22.4
8760,23.2
8820,22.8
8880,23.4
8940,23.8
9000,23.4
9060,23.8
9120,22.2
9180,22.2
9240,21.8
9300,22.0
9360,21.6
9420,21.4
9480,22.6
9540,23.4
9600,21.6
9660,22.4
9720,22.4
9780,20.8
9840,23.6
9900,22.8
9960,22.0
10020,22.8
10080,21.6
10140,23.0
10200,21.6
10260,20.0
10320,21.0
10380,22.4
10440,22.2
10500,22.4
10560,23.2
10620,21.4
10680,22.8
10740,23.6
10800,22.6
10860,22.0
10920,23.8
10980,23.4
11040,22.0
11100,22.6
11160,24.0
11220,21.6
11280,23.6
11340,22.2
11400,23.6
11460,22.0
11520,22.8
11580,22.6
11640,24.8
11700,24.4
11760,23.4
11820,24.0
11880,24.8
11940,24.2
12000,23.2
12060,24.0
12120,23.0
12180,24.0
12240,22.0
12300,22.6
12360,21.4
12420,23.4
12480,23.0
12540,24.8
12600,22.2
12660,22.4
12720,22.0
12780,21.4
12840,22.2
12900,22.4
12960,21.4
13020,20.4
13080,21.6
13140,21.2
13200,22.2
13260,22.6
13320,22.2
13380,21.2
13440,23.2
13500,23.4
13560,22.8
13620,24.2
13680,24.8
13740,24.4
13800,23.8
13860,22.8
13920,24.0
13980,25.0
14040,23.4
14100,24.2
14160,23.4
14220,23.0
14280,23.0
14340,23.0
14400,23.2
14460,23.0
14520,23.2
14580,22.2
14640,24.6
14700,22.4
14760,23.8
14820,24.2
14880,24.0
14940,23.4
15000,22.6
15060,22.6
15120,23.6
15180,24.8
15240,23.8
15300,21.0
15360,21.4
15420,23.6
15480,23.2
15540,23.4
15600,24.6
15660,24.2
15720,23.8
15780,24.6
15840,23.8
15900,21.6
15960,22.4
16020,23.0
16080,24.2
16140,23.6
16200,24.6
16260,21.8
16320,23.8
16380,23.4
16440,24.2
16500,23.4
16560,24.8
16620,22.4
16680,23.8
16740,22.8
16800,23.8
16860,23.6
16920,23.0
16980,23.8
17040,23.4
17100,25.0
17160,24.0
17220,23.2
17280,24.4
17340,22.8
17400,24.6
17460,23.4
17520,23.4
17580,23.8
17640,24.2
17700,26.2
17760,23.8
17820,24.2
17880,24.2
17940,24.8
18000,25.0
18060,22.8
18120,24.2
18180,25.2
18240,24.6
18300,23.4
18360,23.4
18420,23.4
18480,23.8
18540,23.2
18600,25.4
18660,25.8
18720,22.8
18780,24.8
18840,24.4
18900,24.0
18960,24.2
19020,23.2
19080,23.0
19140,22.8
19200,25.2
19260,24.6
19320,23.0
19380,22.6
19440,22.0
19500,21.8
19560,22.6
19620,21.6
19680,22.4
19740,23.2
19800,24.2
19860,21.6
19920,23.4
19980,23.4
20040,22.6
20100,22.0
20160,23.6
20220,23.0
20280,24.2
20340,23.4
20400,23.2
20460,24.2
20520,24.2
20580,24.4
20640,25.2
20700,23.8
20760,23.2
20820,24.8
20880,23.8
20940,23.4
21000,23.4
21060,23.0
21120,23.4
21180,24.0
21240,23.8
21300,22.2
21360,24.2
21420,23.6
21480,24.0
21540,24.4
21600,23.2
21660,24.8
21720,23.6
21780,23.2
21840,23.0
21900,23.4
21960,23.6
22020,23.8
22080,24.0
22140,23.0
22200,23.4
22260,22.6
22320,22.4
22380,22.4
22440,22.4
22500,23.4
