#Steps,score
60,1.6
120,2.2
180,0.0
240,0.8
300,0.8
360,2.4
420,1.6
480,1.2
540,0.8
600,1.6
660,1.4
720,0.8
780,1.0
840,1.2
900,0.8
960,1.4
1020,1.2
1080,0.8
1140,1.0
1200,0.8
1260,1.0
1320,1.8
1380,1.2
1440,2.2
1500,0.6
1560,1.2
1620,1.6
1680,1.4
1740,1.0
1800,1.8
1860,1.6
1920,1.2
1980,0.2
2040,1.6
2100,0.8
2160,0.8
2220,0.6
2280,1.8
2340,1.0
2400,1.0
2460,1.6
2520,1.0
2580,1.0
2640,1.4
2700,1.8
2760,1.4
2820,1.2
2880,0.6
2940,1.0
3000,0.8
3060,0.8
3120,0.2
3180,1.6
3240,1.0
3300,1.2
3360,1.0
3420,1.8
3480,1.2
3540,0.8
3600,1.4
3660,1.2
3720,1.4
3780,1.0
3840,1.2
3900,1.0
3960,0.4
4020,1.2
4080,0.4
4140,1.2
4200,1.0
4260,1.2
4320,2.2
4380,0.4
4440,0.8
4500,1.0
4560,1.4
4620,1.2
4680,1.2
4740,0.8
4800,1.2
4860,0.8
4920,1.6
4980,0.8
5040,1.6
5100,1.0
5160,2.2
5220,0.8
5280,0.4
5340,1.4
5400,1.2
5460,1.2
5520,1.6
5580,1.0
5640,1.6
5700,0.6
5760,0.6
5820,1.4
5880,1.2
5940,2.0
6000,1.6
6060,2.0
6120,1.2
6180,1.2
6240,0.4
6300,1.2
6360,1.2
6420,0.8
6480,0.8
6540,2.0
6600,0.6
6660,1.4
6720,1.4
6780,0.4
6840,1.2
6900,1.4
6960,2.0
7020,1.2
7080,1.0
7140,0.8
7200,0.6
7260,0.6
7320,0.2
7380,0.6
7440,1.4
7500,1.8
7560,1.6
7620,0.6
7680,0.6
7740,1.2
7800,2.0
7860,1.8
7920,1.2
7980,1.0
8040,1.4
8100,1.6
8160,1.4
8220,1.2
8280,1.6
8340,1.6
8400,2.2
8460,2.2
8520,1.2
8580,0.4
8640,1.0
8700,0.6
8760,1.4
8820,1.0
8880,2.0
