#Steps,score
60,0.6
120,1.2
180,1.6
240,1.2
300,0.2
360,1.0
420,1.6
480,2.0
540,0.8
600,0.6
660,1.2
720,1.2
780,0.6
840,2.2
900,1.4
960,0.4
1020,1.2
1080,1.4
1140,1.6
1200,1.4
1260,2.6
1320,0.2
1380,1.0
1440,1.8
1500,1.0
1560,1.8
1620,0.4
1680,0.6
1740,1.2
1800,1.2
1860,2.6
1920,2.0
1980,1.2
2040,1.2
2100,1.8
2160,0.8
2220,1.0
2280,2.0
2340,1.4
2400,1.0
2460,1.2
2520,1.6
2580,1.6
2640,1.4
2700,2.2
2760,0.8
2820,1.0
2880,0.4
2940,0.8
3000,2.4
3060,0.4
3120,1.2
3180,2.0
3240,1.2
3300,1.8
3360,0.6
3420,1.2
3480,0.2
3540,1.2
3600,0.8
3660,1.8
3720,2.0
3780,2.0
3840,2.4
3900,1.2
3960,0.4
4020,1.0
4080,1.8
4140,1.4
4200,0.8
4260,0.8
4320,0.8
4380,0.4
4440,1.2
4500,1.0
4560,0.6
4620,1.4
4680,0.8
4740,1.2
4800,0.6
4860,0.6
4920,1.4
4980,0.4
5040,1.2
5100,2.0
5160,1.0
5220,2.0
5280,1.2
5340,0.8
5400,1.0
5460,1.4
5520,1.2
5580,1.6
5640,1.0
5700,0.4
5760,1.6
5820,1.2
5880,1.8
5940,0.8
6000,0.4
6060,1.6
6120,1.2
6180,1.2
6240,1.6
6300,1.0
6360,1.2
6420,1.6
6480,1.4
6540,0.6
6600,1.2
6660,0.8
6720,0.6
6780,1.0
6840,1.8
6900,2.2
6960,2.0
7020,1.2
7080,1.4
7140,1.2
7200,0.6
7260,0.6
7320,1.2
7380,1.8
7440,1.0
7500,0.4
7560,1.0
7620,1.4
7680,0.8
7740,0.6
7800,1.6
7860,0.0
7920,1.2
7980,1.2
8040,1.0
8100,1.2
8160,1.0
8220,2.2
8280,1.4
8340,1.2
8400,1.8
8460,1.8
8520,1.4
8580,1.0
8640,1.0
8700,2.0
8760,0.8
8820,1.0
8880,2.0
8940,1.4
9000,1.8
9060,1.2
9120,0.4
9180,1.2
9240,1.8
9300,1.8
9360,1.4
9420,2.2
9480,0.6
9540,1.6
9600,2.0
9660,0.8
9720,1.0
9780,1.8
9840,1.2
9900,1.6
9960,2.2
10020,1.6
10080,1.2
10140,1.6
10200,1.2
10260,1.6
10320,1.6
10380,1.2
10440,1.4
10500,1.4
10560,0.8
10620,2.6
10680,2.4
10740,1.2
10800,0.6
10860,1.8
10920,0.8
10980,1.4
11040,1.8
11100,1.0
11160,2.0
11220,1.6
11280,1.0
11340,1.6
11400,0.8
11460,1.4
11520,1.0
11580,1.6
11640,1.8
11700,1.4
11760,1.8
11820,2.0
11880,2.6
11940,2.2
12000,2.0
12060,2.0
12120,2.2
12180,2.0
12240,2.4
12300,2.0
12360,2.6
12420,1.0
12480,1.0
12540,1.4
12600,1.4
12660,1.6
12720,2.0
12780,2.4
12840,2.6
12900,1.8
12960,1.0
13020,1.0
13080,2.8
13140,1.6
13200,2.8
13260,0.8
13320,2.2
13380,1.6
13440,1.2
13500,1.4
13560,1.4
13620,2.0
13680,1.8
13740,1.6
13800,1.8
13860,2.6
13920,3.2
13980,2.2
14040,2.0
14100,2.2
14160,2.6
14220,2.6
14280,2.0
14340,0.6
14400,2.0
14460,2.4
14520,1.4
14580,2.0
14640,2.4
14700,2.4
14760,3.0
14820,2.4
14880,2.2
14940,0.8
15000,2.2
15060,2.4
15120,1.6
15180,3.0
15240,2.8
15300,2.8
15360,2.4
15420,2.8
15480,2.0
15540,3.2
15600,3.0
15660,5.0
15720,3.0
15780,2.4
15840,4.6
15900,2.8
15960,3.2
