#Steps,score
60,1.0
120,1.2
180,0.2
240,2.2
300,1.4
360,1.2
420,1.2
480,0.4
540,0.2
600,0.8
660,0.4
720,1.6
780,1.4
840,0.6
900,1.2
960,1.4
1020,0.4
1080,1.0
1140,1.2
1200,0.8
1260,2.0
1320,0.6
1380,1.4
1440,1.4
1500,1.2
1560,1.0
1620,1.8
1680,1.0
1740,1.4
1800,1.4
1860,1.2
1920,0.8
1980,1.0
2040,1.4
2100,1.8
2160,1.4
2220,0.8
2280,1.4
2340,1.0
2400,1.2
2460,1.0
2520,1.4
2580,1.0
2640,0.8
2700,0.8
2760,1.0
2820,1.0
2880,2.6
2940,1.4
3000,1.4
3060,1.0
3120,1.6
3180,1.0
3240,0.8
3300,1.4
3360,2.2
3420,1.8
3480,1.6
3540,1.2
3600,1.4
3660,1.2
3720,0.8
3780,0.4
3840,1.0
3900,1.6
3960,1.0
4020,1.6
4080,2.2
4140,1.6
4200,1.6
4260,1.2
4320,2.2
4380,1.0
4440,1.6
4500,0.6
4560,1.4
4620,1.0
4680,1.4
4740,1.4
4800,1.4
4860,1.8
4920,1.0
4980,1.0
5040,1.8
5100,1.6
5160,1.6
5220,2.2
5280,2.0
5340,1.4
5400,1.2
5460,1.0
5520,0.6
5580,1.6
5640,0.6
5700,2.2
5760,0.8
5820,2.0
5880,0.6
5940,1.4
6000,2.0
6060,1.4
6120,2.0
6180,2.4
6240,1.6
6300,1.6
6360,2.4
6420,1.8
6480,1.0
6540,2.0
6600,2.0
6660,0.8
6720,1.2
6780,2.0
6840,1.8
6900,3.0
6960,1.8
7020,0.6
7080,1.8
7140,3.0
7200,1.8
7260,1.8
7320,1.8
7380,2.2
7440,2.4
7500,1.4
7560,2.2
7620,2.8
7680,1.2
7740,1.2
7800,1.0
7860,2.0
7920,2.0
7980,1.8
8040,3.2
8100,1.8
8160,2.6
8220,2.6
8280,3.0
8340,1.0
8400,2.6
8460,3.0
8520,2.2
8580,2.8
8640,3.2
8700,3.2
8760,2.4
8820,3.0
8880,3.4
8940,2.8
9000,1.6
9060,3.8
9120,3.0
9180,3.0
9240,4.2
9300,4.2
9360,3.6
9420,6.2
9480,7.0
9540,6.6
9600,6.0
9660,8.4
9720,6.8
9780,8.4
9840,9.4
9900,8.8
9960,9.6
10020,10.4
10080,13.2
10140,14.0
10200,14.2
10260,16.0
10320,16.2
10380,18.8
10440,19.0
10500,19.4
10560,19.2
10620,21.8
10680,20.0
10740,20.8
10800,21.8
10860,22.2
10920,21.6
10980,21.8
11040,22.2
11100,22.4
11160,23.2
11220,22.6
11280,22.0
11340,22.0
11400,24.2
11460,22.6
11520,22.0
11580,24.8
11640,24.2
11700,23.0
11760,23.8
11820,23.0
11880,24.0
11940,24.6
12000,22.2
12060,25.4
12120,22.6
12180,23.4
12240,24.8
12300,23.4
12360,23.2
12420,24.0
12480,23.2
12540,24.0
12600,23.8
12660,23.4
12720,24.0
12780,22.6
12840,23.2
12900,24.2
12960,24.6
13020,23.4
13080,23.6
13140,22.2
13200,24.6
13260,23.2
13320,22.4
13380,23.4
13440,22.8
13500,24.2
13560,23.2
13620,22.8
13680,22.8
13740,22.2
13800,22.6
13860,23.4
13920,22.4
13980,22.2
14040,22.8
14100,23.6
14160,22.0
14220,22.8
14280,22.8
14340,22.2
14400,21.8
14460,22.2
14520,21.8
14580,21.8
14640,21.0
14700,23.0
14760,21.6
14820,22.2
14880,21.4
14940,24.4
15000,22.8
15060,23.2
15120,24.4
15180,22.6
15240,23.0
15300,24.8
15360,23.6
15420,22.6
15480,22.0
15540,22.4
15600,23.6
15660,23.2
15720,23.6
15780,24.6
15840,24.0
15900,23.4
15960,23.8
16020,23.4
16080,22.6
16140,24.0
16200,22.8
16260,23.2
16320,24.0
16380,23.4
16440,22.4
16500,22.8
16560,24.6
16620,23.6
16680,24.0
16740,22.6
16800,22.8
16860,22.0
16920,23.4
16980,21.8
17040,24.2
17100,24.4
17160,23.6
17220,25.4
17280,24.4
17340,24.6
17400,24.2
17460,23.8
17520,23.8
17580,23.2
17640,23.4
17700,24.6
17760,23.6
17820,23.8
17880,23.8
17940,23.6
18000,22.8
18060,23.8
18120,22.8
18180,23.6
18240,22.0
18300,23.4
18360,23.4
18420,23.6
18480,23.2
18540,24.6
18600,23.8
18660,24.6
18720,23.2
18780,20.4
18840,20.2
18900,21.2
18960,20.8
19020,22.4
19080,18.6
19140,20.6
19200,20.2
19260,20.6
19320,21.4
19380,20.6
19440,20.8
19500,21.2
19560,21.8
19620,21.6
19680,23.2
19740,24.2
19800,23.0
19860,25.0
19920,23.8
19980,22.0
20040,23.8
20100,22.6
20160,25.0
20220,24.0
20280,24.0
20340,22.4
20400,23.4
20460,25.6
20520,23.6
20580,23.8
20640,24.6
20700,24.2
20760,24.6
20820,24.0
20880,23.8
20940,24.6
21000,22.2
21060,23.8
21120,22.6
21180,21.8
21240,23.2
21300,22.8
21360,22.4
21420,23.4
21480,22.0
21540,22.6
21600,23.4
21660,23.4
21720,22.4
21780,23.0
21840,22.2
21900,22.6
21960,21.8
22020,22.2
22080,22.0
22140,23.4
22200,22.6
22260,23.0
22320,23.6
22380,24.0
22440,23.4
22500,24.6
22560,24.0
22620,25.0
22680,24.2
22740,23.4
22800,24.2
22860,25.4
22920,23.2
22980,24.8
23040,23.8
23100,23.6
23160,24.0
23220,23.4
23280,24.6
23340,23.4
23400,24.4
23460,22.6
23520,25.0
23580,24.6
23640,22.4
23700,22.2
23760,22.2
23820,23.0
23880,23.8
23940,24.0
24000,24.2
24060,24.4
24120,22.6
24180,24.4
24240,23.4
24300,24.8
24360,23.4
24420,24.0
24480,24.0
24540,24.6
24600,22.6
24660,23.0
24720,23.4
24780,24.8
24840,22.6
24900,23.2
24960,24.6
25020,25.0
25080,22.6
25140,24.4
25200,22.6
25260,23.8
25320,24.0
25380,22.8
25440,24.4
25500,23.0
25560,24.2
25620,23.8
25680,24.4
25740,25.4
25800,25.2
25860,24.4
25920,24.4
25980,24.2
26040,24.6
26100,25.2
26160,24.6
26220,23.6
26280,22.4
26340,24.6
26400,23.4
26460,24.2
26520,24.0
26580,24.2
26640,24.6
26700,21.8
26760,25.2
26820,23.4
26880,23.4
26940,24.6
27000,23.4
27060,23.6
27120,23.6
27180,23.6
27240,23.4
27300,22.4
27360,23.2
27420,22.8
27480,22.2
27540,23.0
27600,23.4
27660,23.2
27720,23.2
27780,23.6
27840,23.2
27900,23.0
27960,22.8
28020,21.6
28080,23.4
28140,23.6
28200,24.0
28260,24.6
28320,21.6
28380,21.8
28440,23.2
28500,22.6
28560,23.6
28620,23.0
28680,23.0
28740,22.0
28800,23.0
28860,22.6
28920,22.4
28980,22.8
29040,23.8
29100,22.4
29160,23.4
29220,24.2
29280,23.4
29340,23.4
29400,25.0
29460,24.0
29520,24.2
29580,24.4
29640,25.0
29700,24.0
29760,23.6
29820,23.2
29880,24.2
29940,24.8
30000,22.8
30060,22.6
30120,23.6
30180,25.0
30240,23.6
30300,23.6
30360,24.2
30420,23.8
30480,24.4
30540,23.8
30600,23.8
30660,23.6
30720,24.0
30780,22.8
30840,24.2
30900,23.6
30960,23.4
31020,24.0
31080,25.2
31140,23.4
31200,24.6
31260,23.8
31320,23.6
31380,23.4
31440,25.0
31500,25.0
31560,24.4
31620,23.6
31680,24.0
31740,24.0
31800,23.8
31860,23.4
31920,24.2
31980,24.2
32040,23.0
32100,22.8
32160,24.0
32220,23.0
32280,24.6
32340,23.6
32400,24.2
32460,23.4
32520,22.0
32580,24.0
32640,23.2
32700,24.6
32760,23.2
32820,25.4
32880,24.0
32940,23.6
33000,24.2
33060,25.8
33120,24.0
33180,23.8
33240,23.8
33300,25.6
33360,25.2
33420,22.4
33480,24.8
33540,24.4
33600,23.6
33660,24.8
33720,23.2
33780,24.4
33840,22.8
33900,24.8
33960,25.0
34020,23.2
34080,22.6
34140,23.2
34200,23.0
34260,23.6
34320,23.2
34380,23.2
34440,24.2
34500,23.6
34560,25.0
34620,22.0
34680,22.8
34740,24.4
34800,23.2
34860,23.2
34920,23.4
34980,23.6
35040,22.0
35100,23.4
35160,22.4
35220,22.6
35280,21.8
35340,22.2
35400,22.6
35460,22.6
35520,23.0
35580,23.4
35640,23.6
35700,22.4
35760,22.4
35820,23.8
35880,23.6
35940,24.0
36000,23.6
36060,22.8
36120,23.2
36180,24.6
36240,24.2
36300,24.2
36360,24.8
36420,24.6
36480,25.0
36540,24.6
36600,23.6
36660,24.0
36720,25.0
36780,23.6
36840,22.8
36900,24.4
36960,22.2
37020,21.8
37080,22.8
37140,23.8
37200,23.2
37260,24.8
37320,23.0
37380,24.4
37440,21.8
37500,23.8
37560,23.4
37620,23.0
37680,23.8
37740,23.0
37800,23.2
37860,23.4
37920,24.6
37980,24.2
38040,23.8
38100,24.0
38160,23.2
38220,23.8
38280,24.0
38340,23.4
38400,24.6
38460,23.8
38520,24.4
38580,22.8
38640,22.8
38700,23.6
38760,24.4
38820,23.8
38880,25.2
38940,24.6
39000,24.0
39060,25.0
39120,26.0
39180,24.6
39240,24.6
39300,24.0
39360,24.2
39420,23.0
39480,24.2
39540,24.0
39600,24.8
39660,24.6
39720,24.2
39780,25.0
39840,24.8
39900,22.4
39960,24.0
40020,25.0
40080,23.2
40140,25.0
40200,23.2
40260,22.8
40320,25.2
40380,24.6
40440,23.0
40500,23.6
40560,25.6
40620,24.6
40680,23.4
40740,25.2
40800,22.6
40860,23.8
40920,23.8
40980,23.4
41040,24.4
41100,26.2
41160,24.4
41220,25.4
41280,24.4
41340,23.8
41400,24.4
41460,23.4
41520,23.2
41580,23.4
41640,24.8
41700,24.2
41760,23.2
41820,23.4
41880,24.0
41940,23.6
42000,24.8
42060,25.0
42120,25.4
42180,23.8
42240,24.6
42300,25.4
42360,25.4
42420,24.0
42480,24.6
42540,25.0
42600,25.8
42660,23.0
42720,25.6
42780,23.0
42840,23.0
42900,24.2
42960,24.0
43020,25.2
43080,24.6
43140,23.8
43200,24.4
43260,22.8
43320,25.8
43380,25.8
43440,24.8
43500,23.4
43560,23.4
43620,24.2
43680,24.6
43740,24.8
43800,24.0
43860,23.4
43920,23.8
43980,24.2
44040,23.2
44100,25.4
44160,25.0
44220,25.4
44280,23.0
44340,25.0
44400,23.0
44460,25.4
44520,23.0
44580,23.0
44640,25.2
44700,23.8
44760,24.0
44820,23.2
44880,24.2
44940,23.2
45000,24.2
