#Steps,score
60,2.0
120,1.0
180,2.4
240,0.8
300,1.4
360,0.2
420,1.6
480,1.0
540,1.4
600,1.2
660,0.6
720,0.8
780,0.4
840,1.0
900,1.2
960,1.6
1020,1.0
1080,1.6
1140,1.2
1200,1.4
1260,1.6
1320,1.8
1380,0.8
1440,1.6
1500,0.8
1560,1.8
1620,0.6
1680,0.8
1740,2.0
1800,0.6
1860,1.0
1920,1.4
1980,1.2
2040,1.0
2100,1.8
2160,0.6
2220,2.2
2280,0.4
2340,1.4
2400,1.0
2460,1.6
2520,0.4
2580,1.0
2640,1.4
2700,0.8
2760,0.6
2820,1.4
2880,1.2
2940,2.2
3000,1.6
3060,1.2
3120,1.0
3180,1.4
3240,0.6
3300,1.0
3360,1.4
3420,1.2
3480,1.2
3540,1.6
3600,1.4
3660,2.0
3720,1.2
3780,2.8
3840,1.4
3900,1.0
3960,1.0
4020,0.8
4080,1.0
4140,1.4
4200,0.2
4260,2.0
4320,0.8
4380,0.4
4440,2.4
4500,0.6
4560,0.8
4620,1.4
4680,1.0
4740,0.6
4800,1.0
4860,1.6
4920,1.2
4980,1.4
5040,1.8
5100,1.0
5160,2.0
5220,1.2
5280,1.8
5340,1.2
5400,1.8
5460,2.8
5520,2.2
5580,2.6
5640,1.4
5700,1.6
5760,1.6
5820,2.0
5880,1.2
5940,2.4
6000,1.6
6060,1.0
6120,2.4
6180,2.8
6240,2.6
6300,2.2
6360,2.0
6420,1.2
6480,1.6
6540,2.0
6600,2.6
6660,2.8
6720,2.0
6780,3.0
6840,4.0
6900,3.2
6960,3.8
7020,1.8
7080,3.4
7140,2.2
7200,2.8
7260,3.4
7320,3.8
7380,4.4
7440,5.0
7500,5.2
7560,4.8
7620,6.6
7680,5.8
7740,6.0
7800,8.6
7860,7.8
7920,7.0
7980,8.2
8040,9.4
8100,10.6
8160,14.6
8220,15.6
8280,18.8
8340,20.8
8400,21.6
8460,22.2
8520,20.6
8580,22.8
8640,23.0
8700,21.6
8760,22.4
8820,21.8
8880,22.8
8940,23.2
9000,21.8
9060,25.2
9120,21.8
9180,23.0
9240,24.2
9300,24.2
9360,24.0
9420,22.6
9480,22.4
9540,22.2
9600,23.8
9660,23.0
9720,23.2
9780,22.6
9840,25.2
9900,24.2
9960,23.4
10020,24.6
10080,25.2
10140,24.2
10200,23.2
10260,24.6
10320,24.2
10380,23.8
10440,22.8
10500,21.8
10560,23.8
10620,24.2
10680,24.8
10740,23.6
10800,22.8
10860,23.4
10920,22.2
10980,24.4
11040,25.2
11100,23.0
11160,23.4
11220,24.4
11280,24.8
11340,24.8
11400,23.6
11460,24.2
11520,23.8
11580,24.8
11640,24.4
11700,23.2
11760,23.2
11820,24.4
11880,22.8
11940,24.8
12000,24.0
12060,26.2
12120,25.0
12180,24.0
12240,24.0
12300,22.8
12360,23.6
12420,24.0
12480,23.4
12540,24.2
12600,25.0
12660,23.4
12720,24.2
12780,23.8
12840,24.8
12900,24.4
12960,22.2
13020,23.2
13080,23.6
13140,25.8
13200,23.6
13260,24.8
13320,24.6
13380,24.8
13440,22.6
13500,25.6
13560,24.0
13620,24.0
13680,24.0
13740,24.8
13800,24.8
13860,22.8
13920,24.0
13980,23.6
14040,24.6
14100,24.8
14160,23.0
14220,23.8
14280,24.6
14340,24.4
14400,24.4
14460,25.8
14520,23.8
14580,24.2
14640,25.0
14700,24.4
14760,23.8
14820,23.2
14880,23.6
14940,24.6
15000,24.4
15060,23.4
15120,23.6
15180,24.4
15240,24.6
15300,24.2
15360,24.6
15420,24.4
15480,24.8
15540,23.6
15600,23.8
15660,24.2
15720,24.0
15780,25.0
15840,24.0
15900,24.6
15960,22.8
16020,25.4
16080,24.4
16140,24.2
16200,24.6
16260,23.2
16320,24.0
16380,24.4
16440,24.6
16500,23.8
16560,24.4
16620,23.8
16680,23.6
16740,23.2
16800,25.4
16860,24.4
16920,23.6
16980,25.0
17040,25.4
17100,23.4
17160,23.8
17220,22.6
17280,22.4
17340,24.2
17400,24.0
17460,23.6
17520,23.4
17580,24.0
17640,23.4
17700,23.8
17760,23.8
17820,23.4
17880,23.0
17940,23.2
18000,22.8
18060,23.8
18120,25.4
18180,24.0
18240,23.6
18300,24.6
18360,24.2
18420,23.6
18480,23.0
18540,24.4
18600,25.0
18660,24.0
18720,23.4
18780,23.4
18840,22.8
18900,24.4
18960,25.2
19020,24.0
19080,23.8
19140,24.6
19200,23.2
19260,23.2
19320,23.8
19380,24.4
19440,24.4
19500,24.4
19560,24.8
19620,22.6
19680,24.2
19740,23.8
19800,23.8
19860,23.4
19920,24.6
19980,23.4
20040,23.0
20100,24.8
20160,23.4
20220,24.4
20280,24.8
20340,23.6
20400,24.4
20460,23.4
20520,24.6
20580,24.0
20640,24.2
20700,24.8
20760,24.6
20820,25.2
20880,24.8
20940,23.4
21000,23.6
21060,23.2
21120,24.4
21180,23.2
21240,24.0
21300,23.6
21360,24.4
21420,23.4
21480,23.8
21540,22.8
21600,23.8
21660,24.6
21720,23.4
21780,22.6
21840,25.8
21900,23.2
21960,23.8
22020,24.0
22080,25.8
22140,24.2
22200,23.4
22260,25.0
22320,23.8
22380,22.6
22440,23.0
22500,23.6
