#Steps,score
600,0.4
1200,0.0
1800,0.0
2400,0.0
3000,0.0
3600,0.0
4200,0.0
4800,0.0
5400,0.0
6000,0.0
6600,0.0
7200,0.0
7800,0.0
8400,0.0
9000,0.0
9600,0.0
10200,0.0
10800,0.0
11400,0.0
12000,0.0
12600,0.0
13200,0.0
13800,0.0
14400,0.0
15000,0.0
15600,0.0
16200,0.0
16800,0.0
17400,0.0
18000,0.0
18600,0.0
19200,0.0
19800,0.0
20400,0.0
21000,0.0
21600,0.0
22200,0.0
22800,0.0
23400,0.0
24000,0.0
24600,0.0
25200,0.0
25800,0.0
26400,0.0
27000,0.0
27600,0.0
28200,0.0
28800,0.0
29400,0.0
30000,0.0
30600,0.0
31200,0.0
31800,0.0
32400,0.0
33000,0.0
33600,0.0
34200,0.0
34800,0.0
35400,0.0
36000,0.0
36600,0.0
37200,0.0
37800,0.0
38400,0.0
39000,0.0
39600,0.0
40200,0.0
40800,0.0
41400,0.0
42000,0.0
42600,0.0
43200,0.0
43800,0.0
44400,0.0
45000,0.0
45600,0.0
46200,0.0
46800,0.0
47400,0.0
48000,0.0
48600,0.0
49200,0.0
49800,0.0
50400,0.0
51000,0.0
51600,0.0
52200,0.0
52800,0.0
53400,0.0
54000,0.0
54600,0.0
55200,0.0
55800,0.0
56400,0.0
57000,0.0
57600,0.0
58200,0.0
58800,0.0
59400,0.0
60000,0.0
