#Steps,score
60,0.6
120,1.0
180,0.4
240,1.0
300,1.0
360,0.8
420,1.2
480,1.2
540,2.4
600,0.8
660,0.8
720,1.6
780,0.4
840,1.0
900,1.2
960,1.2
1020,1.6
1080,1.0
1140,1.2
1200,0.8
1260,0.6
1320,2.2
1380,1.0
1440,1.2
1500,0.2
1560,1.8
1620,1.6
1680,0.4
1740,1.6
1800,1.2
1860,1.0
1920,1.0
1980,1.8
2040,0.6
2100,1.0
2160,1.2
2220,0.8
2280,1.2
2340,0.4
2400,0.4
2460,1.4
2520,1.4
2580,1.2
2640,1.0
2700,2.0
2760,1.6
2820,1.8
2880,1.6
2940,1.2
3000,2.4
3060,1.4
3120,0.8
3180,1.6
3240,1.2
3300,1.0
3360,1.2
3420,0.4
3480,1.6
3540,1.8
3600,0.8
3660,0.8
3720,1.0
3780,1.2
3840,1.8
3900,1.4
3960,1.4
4020,0.8
4080,1.0
4140,0.4
4200,2.2
4260,1.2
4320,1.2
4380,1.6
4440,1.2
4500,0.6
4560,1.4
4620,0.4
4680,0.6
4740,1.4
4800,2.4
4860,0.4
4920,0.6
4980,1.8
5040,1.6
5100,1.2
5160,0.6
5220,1.2
5280,1.0
5340,0.4
5400,1.2
5460,1.2
5520,0.8
5580,0.2
5640,1.0
5700,0.8
5760,0.6
5820,1.8
5880,1.4
5940,0.8
6000,0.6
6060,1.2
6120,1.8
6180,1.2
6240,1.2
6300,1.4
6360,2.2
6420,1.6
6480,1.6
6540,1.0
6600,1.6
6660,1.6
6720,1.2
6780,2.0
6840,1.4
6900,1.0
6960,0.2
7020,1.4
7080,1.6
7140,1.0
7200,0.8
7260,0.8
7320,1.4
7380,1.8
7440,1.4
7500,1.8
7560,1.0
7620,0.4
7680,1.0
7740,1.0
7800,1.0
7860,1.0
7920,1.8
7980,2.0
8040,1.0
8100,1.4
8160,1.4
8220,1.0
8280,0.8
8340,1.4
8400,1.4
8460,1.0
8520,0.6
8580,0.8
8640,1.2
8700,1.8
8760,1.0
8820,0.8
8880,1.2
8940,0.4
9000,1.0
9060,0.6
9120,1.4
9180,0.6
9240,2.0
9300,0.8
9360,0.8
9420,0.6
9480,2.0
9540,0.8
9600,0.6
9660,0.2
9720,1.4
9780,0.6
9840,1.4
9900,0.8
9960,1.0
10020,0.2
10080,2.2
10140,0.8
10200,0.6
10260,1.4
10320,1.2
10380,1.8
10440,0.6
10500,1.0
10560,0.6
10620,0.8
10680,1.2
10740,0.6
10800,1.2
10860,1.8
10920,0.8
10980,1.0
11040,1.8
11100,1.4
11160,1.4
11220,2.0
11280,1.6
11340,0.8
11400,2.0
11460,1.2
11520,1.0
11580,2.2
11640,2.0
11700,0.8
11760,1.0
11820,1.8
11880,1.4
11940,0.6
12000,0.4
12060,1.4
12120,0.8
12180,1.2
12240,0.6
12300,2.2
12360,0.2
12420,1.0
12480,1.0
12540,1.6
12600,1.0
12660,1.6
12720,2.0
12780,1.4
12840,2.4
12900,0.4
12960,0.8
13020,1.0
13080,1.6
13140,1.4
13200,1.8
13260,1.0
13320,2.2
13380,1.4
13440,1.4
13500,2.6
13560,1.8
13620,0.8
13680,0.8
13740,0.8
13800,1.0
13860,1.4
13920,1.6
13980,0.4
14040,0.4
14100,1.0
14160,1.2
14220,1.2
14280,1.8
14340,1.0
14400,0.6
14460,1.0
14520,1.0
14580,0.8
14640,0.4
14700,1.4
14760,1.2
14820,1.6
14880,1.4
14940,1.0
15000,0.8
15060,1.8
15120,0.4
15180,0.8
15240,0.4
15300,1.0
15360,0.6
15420,1.2
15480,0.6
15540,1.4
15600,1.4
15660,0.8
15720,1.0
15780,1.4
15840,1.6
15900,0.6
15960,1.2
16020,1.2
16080,1.2
16140,1.4
16200,0.6
16260,1.8
16320,0.4
16380,1.2
16440,1.2
16500,0.8
16560,1.8
16620,1.2
16680,1.6
16740,0.8
16800,2.0
16860,1.0
16920,1.0
16980,1.2
17040,0.8
17100,1.6
17160,0.6
17220,0.6
17280,2.0
17340,1.0
17400,1.6
17460,1.0
17520,2.0
17580,1.8
17640,0.4
17700,1.0
17760,2.0
17820,1.2
17880,0.6
17940,1.4
18000,1.0
18060,1.2
18120,1.4
18180,1.6
18240,1.2
18300,1.6
18360,1.0
18420,1.0
18480,1.4
18540,1.6
18600,1.4
18660,1.8
18720,1.0
18780,1.2
18840,2.2
18900,1.6
18960,1.0
19020,1.2
19080,1.2
19140,2.2
19200,0.4
19260,2.0
19320,1.6
19380,1.0
19440,0.8
19500,1.2
19560,1.8
19620,1.4
19680,0.2
19740,1.4
19800,1.0
19860,0.8
19920,0.8
19980,0.2
20040,1.6
20100,1.4
20160,2.0
20220,1.6
20280,1.0
20340,2.0
20400,0.6
20460,0.6
20520,2.0
20580,2.0
20640,2.2
20700,0.8
20760,1.0
20820,1.0
20880,1.6
20940,0.8
21000,0.8
21060,1.2
21120,0.4
21180,1.8
21240,1.2
21300,0.8
21360,1.8
21420,0.6
21480,0.8
21540,0.8
21600,0.8
21660,1.4
21720,1.8
21780,1.8
21840,0.8
21900,0.6
21960,2.4
22020,1.8
22080,0.8
22140,2.0
22200,0.2
22260,1.6
22320,1.0
22380,1.0
22440,1.4
22500,1.2
22560,1.4
22620,1.6
22680,1.0
22740,1.8
22800,2.2
22860,1.8
22920,0.0
22980,0.6
23040,1.4
23100,1.2
23160,0.6
23220,1.2
23280,0.4
23340,1.6
23400,1.2
23460,1.6
23520,1.0
23580,2.4
23640,0.8
23700,1.4
23760,1.6
23820,1.4
23880,1.2
23940,1.4
24000,0.8
24060,1.0
24120,1.4
24180,1.6
24240,1.2
24300,0.8
24360,1.6
24420,1.6
24480,1.2
24540,1.6
