#Steps,score
60,1.0
120,0.4
180,1.6
240,0.8
300,1.0
360,1.2
420,2.4
480,0.4
540,0.8
600,1.6
660,1.4
720,1.0
780,1.4
840,0.6
900,1.4
960,1.6
1020,0.6
1080,1.6
1140,0.4
1200,1.4
1260,0.6
1320,0.6
1380,1.8
1440,0.8
1500,1.2
1560,1.0
1620,1.2
1680,1.2
1740,1.2
1800,0.2
1860,2.4
1920,1.0
1980,2.0
2040,0.6
2100,1.2
2160,0.8
2220,0.4
2280,0.8
2340,2.0
2400,0.8
2460,1.8
2520,1.8
2580,0.8
2640,1.2
2700,0.8
2760,1.4
2820,1.0
2880,0.6
2940,1.0
3000,0.4
3060,1.0
3120,0.8
3180,1.0
3240,2.2
3300,1.2
3360,0.4
3420,0.8
3480,3.0
3540,1.0
3600,0.8
3660,1.2
3720,0.8
3780,1.2
3840,1.2
3900,1.8
3960,0.2
4020,1.2
4080,1.2
4140,1.2
4200,0.8
4260,1.4
4320,2.6
4380,0.6
4440,1.0
4500,1.4
4560,0.4
4620,2.2
4680,0.8
4740,1.2
4800,1.0
4860,1.8
4920,1.2
4980,0.8
5040,0.4
5100,1.4
5160,1.4
5220,1.0
5280,2.2
5340,1.8
5400,0.4
5460,0.8
5520,0.6
5580,1.4
5640,0.8
5700,1.2
5760,1.8
5820,1.2
5880,1.4
5940,2.8
6000,1.8
6060,0.4
6120,2.4
6180,1.4
6240,1.8
6300,1.8
6360,2.0
6420,1.2
6480,1.2
6540,2.0
6600,1.6
6660,2.2
6720,1.2
6780,1.4
6840,2.2
6900,1.8
6960,1.8
7020,0.8
7080,1.6
7140,1.8
7200,1.4
7260,0.6
7320,1.8
7380,1.8
7440,0.8
7500,0.8
7560,1.8
7620,2.0
7680,1.4
7740,2.0
7800,1.6
7860,1.4
7920,3.4
7980,2.4
8040,1.4
8100,2.2
8160,2.2
8220,0.8
8280,2.4
8340,1.8
8400,1.2
8460,2.4
8520,1.4
8580,1.8
8640,1.4
8700,1.4
8760,1.4
8820,2.6
8880,1.4
8940,2.4
9000,2.2
9060,2.2
9120,0.4
9180,0.8
9240,1.4
9300,2.2
9360,1.8
9420,3.2
9480,2.4
9540,3.2
9600,2.4
9660,3.0
9720,2.6
9780,1.6
9840,3.0
9900,1.8
9960,3.2
10020,3.0
10080,4.4
10140,3.0
10200,4.6
10260,4.6
10320,3.8
10380,2.8
10440,3.6
10500,4.2
10560,6.2
10620,6.6
10680,8.4
10740,5.6
10800,6.6
10860,4.8
10920,7.2
10980,6.4
11040,8.6
11100,8.2
11160,11.4
11220,9.6
11280,14.4
11340,18.2
11400,22.8
11460,21.8
11520,21.8
11580,22.2
11640,20.6
11700,21.0
11760,22.6
11820,20.4
11880,22.0
11940,22.2
12000,22.0
12060,21.8
12120,21.6
12180,21.6
12240,22.2
12300,22.4
12360,21.4
12420,21.2
12480,21.6
12540,22.2
12600,23.0
12660,22.8
12720,22.8
12780,23.2
12840,23.0
12900,22.6
12960,22.6
13020,22.4
13080,23.0
13140,22.2
13200,21.2
13260,22.0
13320,22.2
13380,23.2
13440,21.4
13500,22.4
13560,24.0
13620,23.4
13680,23.8
13740,23.2
13800,24.8
13860,23.2
13920,22.2
13980,24.6
14040,25.4
14100,23.2
14160,25.2
14220,22.6
14280,24.0
14340,23.4
14400,24.0
14460,24.6
14520,23.6
14580,24.8
14640,24.6
14700,23.8
14760,23.8
14820,23.8
14880,23.4
14940,25.4
15000,23.8
15060,23.8
15120,23.2
15180,23.2
15240,24.6
15300,23.6
15360,24.8
15420,23.4
15480,21.6
15540,24.2
15600,24.0
15660,23.4
15720,23.4
15780,22.6
15840,25.0
15900,24.0
15960,24.2
16020,23.2
16080,23.4
16140,23.6
16200,22.8
16260,23.2
16320,24.8
16380,23.6
16440,22.2
16500,25.4
16560,24.8
16620,23.2
16680,25.0
16740,22.8
16800,23.6
16860,23.8
16920,25.0
16980,24.0
17040,24.4
17100,23.6
17160,25.0
17220,24.6
17280,24.0
17340,24.8
17400,24.2
17460,24.0
17520,25.4
17580,23.2
17640,25.2
17700,25.8
17760,23.4
17820,23.6
17880,23.6
17940,25.0
18000,23.8
18060,24.6
18120,25.2
18180,24.6
18240,24.8
18300,22.8
18360,25.0
18420,24.8
18480,23.4
18540,24.4
18600,23.8
18660,23.8
18720,24.4
18780,24.6
18840,22.0
18900,24.6
18960,25.2
19020,23.6
19080,24.4
19140,24.0
19200,23.2
19260,23.2
19320,25.0
19380,23.6
19440,23.2
19500,23.6
19560,23.8
19620,24.4
19680,23.0
19740,24.4
19800,24.2
19860,26.0
19920,23.4
19980,23.0
20040,23.6
20100,24.8
20160,23.0
20220,23.2
20280,24.0
20340,22.8
20400,22.8
20460,23.2
20520,24.2
20580,24.0
20640,23.8
20700,25.4
20760,25.6
20820,23.6
20880,24.8
20940,21.8
21000,24.0
21060,22.8
21120,24.8
21180,23.4
21240,23.6
21300,23.4
21360,22.4
21420,22.8
21480,24.6
21540,22.6
21600,22.4
21660,23.6
21720,22.6
21780,21.6
21840,24.4
21900,24.2
21960,23.4
22020,23.8
22080,24.4
22140,23.6
22200,24.2
22260,24.2
22320,22.4
22380,22.8
22440,23.4
22500,23.2
22560,24.6
22620,23.4
22680,23.8
22740,22.2
22800,22.6
22860,24.0
22920,23.0
22980,23.2
23040,24.4
23100,23.4
23160,25.0
23220,24.0
23280,23.4
23340,23.4
23400,22.6
23460,23.6
23520,23.6
23580,24.4
23640,23.8
23700,23.6
23760,22.8
23820,23.6
23880,22.6
23940,22.6
24000,23.6
24060,23.2
24120,25.6
24180,22.0
24240,24.0
24300,23.8
24360,23.4
24420,22.8
24480,23.4
24540,23.6
24600,24.6
24660,23.6
24720,24.4
24780,24.4
24840,24.2
24900,23.0
24960,23.8
25020,24.6
25080,25.6
25140,24.0
25200,22.8
25260,24.0
25320,24.8
25380,23.4
25440,23.4
25500,25.0
25560,24.4
25620,24.8
25680,23.6
25740,25.0
25800,24.6
25860,23.8
25920,26.0
25980,25.0
26040,25.2
26100,24.6
26160,24.4
26220,24.8
26280,25.8
26340,25.0
26400,25.0
26460,24.2
26520,26.0
26580,25.0
26640,26.0
26700,24.4
26760,25.4
26820,25.0
26880,23.4
26940,23.4
27000,24.4
27060,24.2
27120,23.2
27180,26.0
27240,23.8
27300,25.2
27360,24.8
27420,24.8
27480,24.0
27540,24.2
27600,26.2
27660,25.8
27720,25.8
27780,25.2
27840,26.6
27900,24.8
27960,23.6
28020,24.4
28080,24.0
28140,24.8
28200,24.6
28260,22.8
28320,24.6
28380,26.4
28440,24.2
28500,24.6
28560,24.6
28620,24.2
28680,26.2
28740,25.2
28800,24.6
28860,23.4
28920,25.0
28980,25.2
29040,24.2
29100,25.2
29160,24.8
29220,24.8
29280,24.6
29340,25.0
29400,24.2
29460,24.8
29520,23.8
29580,25.8
29640,25.0
29700,25.8
29760,23.8
29820,24.0
29880,25.8
29940,24.6
30000,24.4
30060,25.0
30120,26.0
30180,25.0
30240,23.4
30300,25.6
30360,25.8
30420,23.8
30480,25.0
30540,24.6
30600,24.2
30660,24.0
30720,25.2
30780,24.0
30840,23.8
30900,24.8
30960,23.0
31020,25.2
31080,24.4
31140,26.0
31200,24.0
31260,24.4
31320,24.6
31380,25.0
31440,24.6
31500,22.8
31560,23.2
31620,24.2
31680,23.2
31740,24.6
31800,22.0
31860,24.8
31920,25.0
31980,23.6
32040,23.4
32100,25.4
32160,25.4
32220,23.8
32280,24.2
32340,23.4
32400,23.4
32460,25.2
32520,24.6
32580,23.8
32640,22.6
32700,23.8
32760,23.8
32820,24.0
32880,24.8
32940,25.0
33000,25.4
33060,25.4
33120,24.0
33180,26.4
33240,23.0
33300,24.0
33360,24.6
33420,25.4
33480,22.8
33540,22.6
33600,24.4
33660,24.0
33720,22.6
33780,23.4
33840,23.4
33900,23.2
33960,24.6
34020,25.2
34080,25.6
34140,24.0
34200,24.8
34260,23.8
34320,24.2
34380,25.2
34440,24.2
34500,25.6
34560,24.2
34620,23.2
34680,22.2
34740,24.8
34800,23.4
34860,25.4
34920,24.6
34980,25.8
35040,24.6
35100,22.8
35160,24.4
35220,23.4
35280,25.6
35340,24.6
35400,23.8
35460,23.8
35520,24.8
35580,24.0
35640,25.6
35700,24.8
35760,24.6
35820,25.0
35880,23.8
35940,22.6
36000,24.0
36060,24.2
36120,24.0
36180,26.0
36240,24.0
36300,23.6
36360,24.0
36420,23.8
36480,23.6
36540,23.2
36600,24.0
36660,23.2
36720,24.8
36780,24.4
36840,24.8
36900,24.6
36960,25.0
37020,23.6
37080,24.6
37140,26.2
37200,24.2
37260,24.4
37320,26.0
37380,25.0
37440,24.6
37500,23.4
37560,23.8
37620,24.2
37680,24.6
37740,24.8
37800,23.8
37860,24.8
37920,25.2
37980,25.8
38040,24.2
38100,27.0
38160,22.6
38220,26.2
38280,25.6
38340,25.4
38400,24.8
38460,24.2
38520,24.2
38580,25.6
38640,24.0
38700,25.0
38760,25.4
38820,25.0
38880,26.0
38940,24.4
39000,24.0
39060,24.4
39120,24.4
39180,23.6
39240,25.6
39300,24.8
39360,24.4
39420,24.4
39480,23.6
39540,24.2
39600,25.0
39660,24.4
39720,24.0
39780,24.8
39840,23.8
39900,24.6
39960,24.2
40020,25.0
40080,24.6
40140,24.6
40200,24.4
40260,22.8
40320,23.6
40380,25.4
40440,23.8
40500,25.0
40560,23.8
40620,25.2
40680,24.8
40740,24.4
40800,24.2
40860,23.4
40920,23.0
40980,25.4
41040,22.8
41100,24.2
41160,23.0
41220,25.0
41280,24.6
41340,26.4
41400,24.4
41460,24.4
41520,23.6
41580,24.8
41640,23.2
41700,24.0
41760,23.6
41820,24.8
41880,24.8
41940,25.6
42000,23.6
42060,24.8
42120,24.2
42180,24.4
42240,24.8
42300,23.0
42360,24.8
42420,23.8
42480,24.4
42540,25.8
42600,24.8
42660,24.4
42720,25.4
42780,23.8
42840,24.0
42900,23.8
42960,24.8
43020,23.2
43080,24.0
43140,24.8
43200,24.0
43260,24.4
43320,25.4
43380,23.4
43440,24.8
43500,24.2
43560,23.0
43620,22.8
43680,23.8
43740,24.0
43800,24.8
43860,25.4
43920,24.2
43980,23.6
44040,24.2
44100,23.6
44160,23.4
44220,23.8
44280,25.8
44340,24.2
44400,25.4
44460,23.4
44520,23.8
44580,23.8
44640,24.6
44700,25.4
44760,24.8
44820,23.6
44880,23.6
44940,23.4
45000,25.0
