#Steps,score
6000,1.8
12000,1.6
18000,23.0
24000,23.2
30000,22.8
36000,23.4
42000,24.4
48000,23.0
54000,21.8
60000,24.0
66000,24.4
72000,24.8
78000,24.0
84000,23.6
90000,25.2
96000,24.4
102000,24.0
108000,22.4
114000,24.0
120000,24.8
126000,24.4
132000,23.8
138000,24.8
144000,23.8
150000,22.0
156000,23.8
162000,25.0
168000,25.6
174000,23.6
180000,24.6
186000,23.8
192000,25.6
198000,23.8
204000,22.8
210000,24.6
216000,22.8
222000,24.2
228000,24.6
234000,24.0
240000,23.4
246000,23.0
252000,23.4
258000,25.0
264000,24.2
270000,22.8
276000,24.8
282000,23.2
288000,24.0
294000,24.6
300000,24.4
306000,24.6
312000,24.2
318000,22.8
324000,24.2
330000,24.4
336000,25.8
342000,24.0
348000,24.2
354000,23.4
360000,24.8
366000,23.2
372000,24.2
378000,23.0
384000,25.0
390000,24.8
396000,24.6
402000,23.0
408000,26.2
414000,25.4
420000,24.6
426000,23.0
432000,25.0
438000,25.0
444000,24.2
450000,25.8
456000,25.0
462000,24.4
468000,25.0
474000,25.0
480000,24.0
486000,26.0
492000,25.6
498000,24.6
504000,25.8
510000,24.4
516000,24.6
522000,25.8
528000,24.8
534000,25.2
540000,27.0
546000,25.8
552000,24.0
558000,25.6
564000,25.4
570000,25.0
576000,24.6
582000,26.8
588000,25.6
594000,26.2
600000,25.6
