#Steps,score
60,1.4
120,1.8
180,1.0
240,1.8
300,1.4
360,2.0
420,1.4
480,0.6
540,1.6
600,1.8
660,0.6
720,1.2
780,0.8
840,1.4
900,1.2
960,0.8
1020,0.6
1080,1.2
1140,0.8
1200,1.6
1260,1.2
1320,1.2
1380,0.8
1440,2.0
1500,1.2
1560,0.6
1620,0.6
1680,0.8
1740,1.4
1800,1.0
1860,1.6
1920,0.6
1980,1.6
2040,1.0
2100,1.4
2160,1.8
2220,1.4
2280,0.4
2340,1.4
2400,0.6
2460,0.6
2520,0.6
2580,1.0
2640,0.6
2700,0.8
2760,0.4
2820,1.4
2880,1.0
2940,2.0
3000,0.8
3060,1.4
3120,1.2
3180,0.8
3240,1.0
3300,0.8
3360,0.8
3420,2.0
3480,1.8
3540,1.6
3600,1.2
3660,0.4
3720,0.2
3780,1.0
3840,1.2
3900,1.2
3960,1.4
4020,0.4
4080,2.0
4140,1.8
4200,1.4
4260,1.2
4320,0.6
4380,1.0
4440,1.4
4500,1.4
4560,1.0
4620,1.2
4680,1.6
4740,1.4
4800,1.6
4860,1.4
4920,1.4
4980,0.8
5040,0.8
5100,1.0
5160,0.6
5220,0.6
5280,1.8
5340,1.0
5400,1.0
5460,0.2
5520,0.6
5580,1.8
5640,0.8
5700,0.8
5760,1.0
5820,1.2
5880,1.0
5940,2.4
6000,1.0
6060,1.2
6120,1.2
6180,1.0
6240,1.6
6300,1.6
6360,1.4
6420,1.4
6480,0.6
6540,1.4
6600,1.2
6660,1.8
6720,1.6
6780,1.6
6840,1.4
6900,0.6
6960,1.6
7020,1.2
7080,1.2
7140,1.0
7200,1.6
7260,0.6
7320,0.8
7380,0.4
7440,0.8
7500,2.2
7560,1.4
7620,2.4
7680,0.8
7740,1.6
7800,0.4
7860,1.2
7920,1.4
7980,0.6
8040,1.8
8100,1.8
8160,1.4
8220,1.4
8280,1.2
8340,1.0
8400,1.2
8460,1.4
8520,1.4
8580,0.8
8640,2.4
8700,1.2
8760,1.0
8820,1.4
8880,0.8
8940,1.0
9000,1.0
9060,1.6
9120,1.6
9180,0.4
9240,1.4
9300,1.4
9360,1.4
9420,0.8
9480,0.8
9540,1.2
9600,2.0
9660,1.6
9720,1.0
9780,0.8
9840,1.6
9900,1.0
9960,1.6
10020,1.2
10080,1.4
10140,1.2
10200,1.0
10260,1.0
10320,1.6
10380,1.4
10440,0.6
10500,0.8
10560,2.0
10620,1.2
10680,1.6
10740,1.2
10800,1.6
10860,1.0
10920,1.6
10980,1.4
11040,1.0
11100,0.8
11160,0.6
11220,1.2
11280,2.0
11340,0.4
11400,1.0
11460,2.0
11520,0.6
11580,1.0
11640,1.2
11700,1.2
11760,1.8
11820,2.4
11880,0.6
11940,2.2
12000,2.2
12060,1.0
12120,1.6
12180,1.0
12240,2.4
12300,1.0
12360,1.0
12420,1.0
12480,1.6
12540,2.0
12600,1.6
12660,1.4
12720,2.0
12780,2.0
12840,0.4
12900,2.2
12960,1.4
13020,2.0
13080,2.0
13140,1.0
13200,1.6
13260,2.0
13320,1.0
13380,2.4
13440,2.4
13500,2.4
13560,2.4
13620,2.8
13680,2.0
13740,3.0
13800,1.4
13860,3.4
13920,0.6
13980,1.4
14040,2.2
14100,1.4
14160,2.2
14220,2.2
14280,3.0
14340,3.0
14400,2.0
14460,2.4
14520,2.4
14580,2.6
14640,2.2
14700,3.0
14760,2.6
14820,2.0
14880,2.0
14940,1.8
15000,2.6
15060,2.4
15120,3.2
15180,2.8
15240,1.2
15300,3.6
15360,2.0
15420,2.2
15480,2.0
15540,2.8
15600,1.6
15660,5.0
15720,4.4
15780,4.6
15840,3.8
15900,5.4
15960,5.6
16020,6.6
16080,7.4
16140,9.8
16200,10.2
16260,14.8
16320,17.2
16380,20.0
16440,20.2
16500,18.8
16560,18.0
16620,19.8
16680,16.0
16740,15.2
16800,15.6
16860,15.2
16920,16.2
16980,14.8
17040,13.4
17100,16.0
17160,15.2
17220,13.6
17280,10.6
17340,12.6
17400,11.8
17460,11.4
17520,12.8
17580,10.8
17640,10.6
17700,9.6
17760,9.0
17820,9.4
17880,10.0
17940,8.8
18000,8.6
18060,7.2
18120,10.2
18180,9.6
18240,7.4
18300,8.4
18360,9.6
18420,9.6
18480,8.6
18540,10.2
18600,9.6
18660,11.2
18720,10.8
18780,11.8
18840,12.6
18900,13.0
18960,14.4
19020,14.4
19080,15.2
19140,17.0
19200,15.6
19260,18.2
19320,19.2
19380,19.4
19440,19.6
19500,21.8
19560,19.6
19620,21.8
19680,20.2
19740,21.8
19800,21.4
19860,22.6
19920,21.2
19980,18.8
20040,19.6
20100,21.2
20160,22.4
20220,21.0
20280,22.2
20340,21.6
20400,22.2
20460,22.2
20520,21.2
20580,22.2
20640,20.8
20700,22.4
20760,22.0
20820,21.2
20880,23.6
20940,22.8
21000,22.4
21060,22.2
21120,22.2
21180,22.6
21240,24.4
21300,24.0
21360,23.8
21420,23.2
21480,24.2
21540,22.4
21600,24.0
21660,24.0
21720,24.6
21780,23.2
21840,22.6
21900,24.0
21960,23.0
22020,23.4
22080,21.8
22140,23.8
22200,22.4
22260,23.8
22320,23.8
22380,24.0
22440,24.6
22500,24.0
22560,23.4
22620,24.0
22680,25.2
22740,24.2
22800,22.6
22860,23.4
22920,23.6
22980,22.4
23040,22.6
23100,24.2
23160,24.6
23220,22.4
23280,23.8
23340,23.0
23400,22.8
23460,23.8
23520,24.8
23580,25.4
23640,25.2
23700,24.4
23760,24.8
23820,26.6
23880,24.6
23940,24.2
24000,24.0
24060,24.2
24120,21.8
24180,24.6
24240,23.4
24300,25.6
24360,23.0
24420,24.6
24480,23.8
24540,24.6
24600,26.2
24660,25.4
24720,24.4
24780,24.0
24840,23.0
24900,24.8
24960,23.6
25020,24.0
25080,24.2
25140,24.2
25200,23.6
25260,25.2
25320,24.8
25380,25.2
25440,25.6
25500,25.6
25560,25.6
25620,25.6
25680,24.6
25740,24.8
25800,24.2
25860,25.8
25920,24.0
25980,26.0
26040,25.4
26100,24.4
26160,23.8
26220,23.6
26280,24.0
26340,25.8
26400,24.8
26460,23.2
26520,24.0
26580,24.4
26640,25.0
26700,24.0
26760,22.8
26820,25.8
26880,23.6
26940,23.2
27000,25.2
27060,24.0
27120,24.0
27180,24.6
27240,24.2
27300,24.2
27360,24.0
27420,24.0
27480,25.0
27540,25.2
27600,23.4
27660,24.2
27720,24.2
27780,25.6
27840,24.2
27900,24.8
27960,24.0
28020,24.2
28080,24.0
28140,24.4
28200,23.6
28260,23.0
28320,25.2
28380,23.8
28440,24.8
28500,26.2
28560,26.0
28620,23.8
28680,23.8
28740,24.6
28800,25.0
28860,24.4
28920,24.6
28980,23.8
29040,24.2
29100,22.2
29160,24.2
29220,23.4
29280,23.6
29340,23.4
29400,21.6
29460,22.4
29520,23.0
29580,24.0
29640,23.6
29700,22.8
29760,23.2
29820,23.4
29880,24.2
29940,24.0
30000,23.6
30060,23.6
30120,23.4
30180,23.8
30240,22.6
30300,22.6
30360,22.6
30420,22.0
30480,22.6
30540,21.8
30600,21.6
30660,21.6
30720,22.2
30780,21.8
30840,23.0
30900,23.0
30960,23.8
31020,23.8
31080,24.0
31140,23.0
31200,23.2
31260,20.8
31320,24.6
31380,22.0
31440,22.2
31500,22.0
31560,23.2
31620,24.6
31680,22.0
31740,22.2
31800,22.4
31860,21.0
31920,22.4
31980,22.4
32040,21.8
32100,22.2
32160,21.4
32220,21.6
32280,22.0
32340,22.6
32400,22.6
32460,22.8
32520,22.0
32580,21.8
32640,23.4
32700,24.6
32760,22.0
32820,23.0
32880,23.8
32940,21.4
33000,22.6
33060,24.0
33120,23.6
33180,24.4
33240,23.0
33300,23.6
33360,25.4
33420,24.0
33480,23.6
33540,23.4
33600,23.6
33660,24.2
33720,24.6
33780,24.0
33840,24.4
33900,22.6
33960,24.2
34020,23.4
34080,24.8
34140,22.6
34200,26.0
34260,23.4
34320,23.6
34380,23.4
34440,24.4
34500,24.8
34560,23.2
34620,26.2
34680,23.0
34740,23.8
34800,24.4
34860,24.6
34920,25.2
34980,22.8
35040,23.4
35100,23.6
35160,25.0
35220,23.8
35280,24.0
35340,25.0
35400,24.4
35460,25.0
35520,24.8
35580,25.4
35640,24.8
35700,25.2
35760,24.2
35820,26.2
35880,23.6
35940,24.0
36000,25.8
36060,23.6
36120,24.6
36180,24.2
36240,23.4
36300,23.8
36360,26.2
36420,23.8
36480,23.8
36540,24.2
36600,23.8
36660,24.2
36720,25.4
36780,24.6
36840,24.8
36900,24.6
36960,23.0
37020,24.6
37080,23.6
37140,23.8
37200,23.4
37260,24.4
37320,22.8
37380,23.0
37440,25.8
37500,24.4
37560,22.6
37620,25.2
37680,24.6
37740,25.8
37800,24.8
37860,25.4
37920,24.6
37980,24.4
38040,23.6
38100,24.4
38160,26.6
38220,24.0
38280,24.0
38340,23.4
38400,26.2
38460,25.0
38520,26.2
38580,24.4
38640,26.4
38700,24.4
38760,25.0
38820,24.0
38880,25.0
38940,24.8
39000,25.0
39060,23.4
39120,23.6
39180,25.6
39240,24.8
39300,24.4
39360,25.4
39420,24.8
39480,24.2
39540,24.4
39600,24.6
39660,24.4
39720,23.6
39780,24.4
39840,25.6
39900,24.8
39960,24.0
40020,25.4
40080,23.6
40140,24.0
40200,24.2
40260,22.2
40320,24.0
40380,21.8
40440,23.4
40500,24.4
40560,23.4
40620,23.8
40680,22.8
40740,24.0
40800,24.4
40860,25.4
40920,24.0
40980,24.6
41040,25.0
41100,24.6
41160,24.8
41220,22.8
41280,23.2
41340,25.0
41400,23.6
41460,23.4
41520,23.6
41580,24.4
41640,23.8
41700,25.8
41760,24.6
41820,24.8
41880,23.6
41940,25.2
42000,23.8
42060,24.2
42120,22.8
42180,24.0
42240,24.0
42300,23.4
42360,23.4
42420,23.2
42480,24.2
42540,22.0
42600,22.2
42660,24.6
42720,24.2
42780,22.8
42840,23.0
42900,23.8
42960,23.4
43020,23.8
43080,23.2
43140,23.6
43200,23.2
43260,23.0
43320,22.2
43380,22.4
43440,22.2
43500,23.8
43560,22.2
43620,23.2
43680,22.2
43740,20.8
43800,23.4
43860,22.4
43920,24.0
43980,21.2
44040,23.2
44100,23.4
44160,22.4
44220,22.2
44280,21.6
44340,21.8
44400,22.8
44460,23.2
44520,22.6
44580,22.8
44640,24.8
44700,23.4
44760,23.4
44820,21.8
44880,24.2
44940,23.4
45000,24.2
45060,23.8
45120,24.2
45180,23.2
45240,23.2
45300,24.6
45360,23.2
45420,25.2
45480,24.2
45540,23.8
45600,24.8
45660,24.0
45720,23.2
45780,25.0
45840,23.8
45900,24.4
45960,24.6
46020,23.6
46080,23.8
46140,22.6
46200,24.4
46260,22.8
46320,22.8
46380,23.4
46440,23.2
46500,23.6
46560,23.6
46620,25.0
46680,23.0
46740,24.6
46800,24.0
46860,23.8
46920,25.8
46980,23.8
47040,23.2
47100,23.8
47160,24.8
47220,23.8
47280,23.6
47340,24.2
47400,23.6
47460,24.8
47520,23.4
47580,23.8
47640,24.0
47700,24.8
47760,22.2
47820,22.8
47880,24.6
47940,24.8
48000,23.0
48060,24.0
48120,24.6
48180,23.8
48240,23.2
48300,24.0
48360,24.8
48420,22.8
48480,24.6
48540,23.4
48600,22.8
48660,24.6
48720,23.0
48780,24.2
48840,22.4
48900,23.4
48960,23.0
49020,23.6
49080,22.4
49140,23.8
49200,21.8
49260,21.6
49320,24.4
49380,25.0
49440,23.2
49500,22.8
49560,24.2
49620,22.6
49680,23.6
49740,24.2
49800,24.0
49860,24.0
49920,22.6
49980,23.8
50040,23.6
50100,24.0
50160,23.2
50220,24.4
50280,23.8
50340,24.6
50400,24.4
50460,23.2
50520,23.4
50580,24.2
50640,23.6
50700,23.4
50760,24.2
50820,25.4
50880,24.2
50940,24.6
51000,22.8
51060,23.0
51120,21.6
51180,22.6
51240,22.6
51300,23.2
51360,21.8
51420,22.4
51480,21.4
51540,22.0
51600,22.4
51660,21.0
51720,22.0
51780,21.6
51840,23.8
51900,23.0
51960,22.2
52020,23.2
52080,23.8
52140,23.8
52200,22.8
52260,22.6
52320,25.0
52380,24.0
52440,25.4
52500,23.6
52560,24.4
52620,23.6
52680,23.8
52740,22.4
52800,24.8
52860,24.2
52920,22.8
52980,24.2
53040,23.2
53100,24.0
53160,23.2
53220,25.2
53280,25.6
53340,25.2
53400,23.0
53460,23.6
53520,24.8
53580,23.2
53640,24.6
53700,23.2
53760,23.4
53820,25.6
53880,22.2
53940,23.0
54000,23.8
54060,24.6
54120,24.8
54180,25.4
54240,25.2
54300,24.8
54360,24.6
54420,24.0
54480,23.0
54540,22.4
54600,23.6
54660,24.0
54720,25.6
54780,23.2
54840,23.2
54900,25.6
54960,25.4
55020,25.2
55080,24.2
55140,25.2
55200,24.4
55260,25.0
55320,25.4
55380,25.4
55440,24.8
55500,24.4
55560,23.6
55620,24.6
55680,26.4
55740,23.8
55800,24.6
55860,23.4
55920,25.2
55980,25.4
56040,25.6
56100,24.0
56160,24.2
56220,23.4
56280,23.2
56340,24.0
56400,24.2
56460,25.2
56520,24.4
56580,24.0
56640,24.8
56700,25.2
56760,24.4
56820,25.0
56880,24.4
56940,24.2
57000,24.6
57060,24.4
57120,24.4
57180,25.2
57240,23.2
57300,24.4
57360,23.4
57420,23.4
57480,24.0
57540,24.2
57600,24.6
57660,22.8
57720,24.0
57780,24.0
57840,25.8
57900,26.0
57960,26.8
58020,24.8
58080,25.0
58140,23.2
58200,24.8
58260,23.4
58320,23.4
58380,23.6
58440,22.6
58500,25.4
58560,24.6
58620,24.8
58680,24.4
58740,25.4
58800,23.8
58860,25.4
58920,23.8
58980,24.6
59040,25.4
59100,24.2
59160,25.0
59220,25.0
59280,24.0
59340,24.2
59400,25.4
59460,24.8
59520,25.4
59580,23.8
59640,24.0
59700,23.8
59760,24.0
59820,25.0
59880,25.0
59940,23.0
60000,23.4
60060,24.2
60120,22.8
60180,23.8
60240,23.6
60300,25.2
60360,24.2
60420,24.6
60480,24.2
60540,22.6
60600,25.4
60660,25.0
60720,24.6
60780,23.2
60840,24.2
60900,26.0
60960,23.8
61020,24.0
61080,22.8
61140,24.4
61200,24.2
61260,25.0
61320,26.0
61380,24.0
61440,23.6
61500,25.8
61560,24.6
61620,25.6
61680,24.4
61740,23.2
61800,25.0
61860,24.2
61920,25.2
61980,24.2
62040,23.6
62100,21.8
62160,25.2
62220,25.4
62280,24.6
62340,24.8
62400,25.8
62460,24.6
62520,24.4
62580,25.0
62640,25.8
62700,25.2
62760,24.6
62820,24.6
62880,23.8
62940,25.2
63000,23.8
63060,24.8
63120,24.0
63180,24.6
63240,24.4
63300,24.8
63360,24.0
63420,24.0
63480,24.2
63540,25.2
63600,25.0
63660,24.6
63720,25.8
63780,23.8
63840,24.4
63900,26.4
63960,24.4
64020,24.6
64080,24.2
64140,24.0
64200,24.2
64260,24.0
64320,25.4
64380,25.6
64440,23.6
64500,26.0
64560,24.0
64620,24.2
64680,24.0
64740,23.6
64800,24.8
64860,25.6
64920,22.6
64980,23.2
65040,23.0
65100,23.4
65160,25.0
65220,23.8
65280,22.8
65340,24.4
65400,23.8
65460,24.2
65520,24.4
65580,23.6
65640,24.2
65700,24.4
65760,24.4
65820,24.4
65880,25.4
65940,25.0
66000,26.0
66060,24.4
66120,23.6
66180,23.6
66240,24.8
66300,24.6
66360,24.8
66420,22.2
66480,23.4
66540,26.4
66600,23.8
66660,23.6
66720,24.0
66780,24.0
66840,22.8
66900,23.4
66960,23.0
67020,24.4
67080,24.6
67140,23.8
67200,22.0
67260,24.4
67320,23.4
67380,22.4
67440,22.4
67500,24.2
67560,22.6
67620,23.4
67680,23.2
67740,22.2
67800,22.8
67860,23.6
67920,23.4
67980,23.4
68040,23.6
68100,24.0
68160,24.8
68220,22.8
68280,23.4
68340,24.0
68400,24.8
68460,24.6
68520,24.6
68580,23.8
68640,24.0
68700,24.8
68760,23.8
68820,23.6
68880,23.8
68940,24.0
69000,24.2
69060,24.8
69120,24.2
69180,23.6
69240,24.4
69300,23.8
69360,23.8
69420,27.0
69480,25.2
69540,25.2
69600,25.2
69660,24.8
69720,23.0
69780,25.2
69840,26.0
69900,23.6
