#Steps,score
60,0.8
120,1.0
180,1.8
240,1.0
300,1.2
360,0.6
420,0.6
480,1.2
540,1.0
600,1.4
660,1.2
720,1.6
780,1.2
840,1.4
900,1.2
960,1.0
1020,0.8
1080,1.2
1140,1.4
1200,0.4
1260,1.0
1320,1.6
1380,0.6
1440,1.4
1500,0.6
1560,1.0
1620,0.4
1680,1.0
1740,1.0
1800,1.8
1860,1.0
1920,1.0
1980,1.0
2040,1.0
2100,0.6
2160,1.6
2220,1.2
2280,0.8
2340,1.8
2400,0.4
2460,1.4
2520,1.2
2580,0.8
2640,0.8
2700,0.8
2760,1.8
2820,0.6
2880,0.6
2940,0.2
3000,1.2
3060,1.0
3120,1.4
3180,0.8
3240,1.4
3300,1.2
3360,1.4
3420,0.8
3480,1.4
3540,2.0
3600,2.2
3660,0.6
3720,1.6
3780,0.4
3840,0.8
3900,0.4
3960,2.0
4020,1.2
4080,0.6
4140,0.6
4200,1.2
4260,1.8
4320,0.6
4380,0.6
4440,1.0
4500,1.2
4560,2.2
4620,1.4
4680,1.2
4740,1.0
4800,0.8
4860,1.2
4920,2.4
4980,1.0
5040,2.0
5100,2.2
5160,1.0
5220,1.2
5280,0.6
5340,1.4
5400,0.8
5460,1.2
5520,1.8
5580,1.2
5640,1.2
5700,0.8
5760,1.4
5820,1.4
5880,1.6
5940,0.4
6000,1.6
6060,1.2
6120,0.8
6180,0.2
6240,0.8
6300,2.2
6360,1.4
6420,1.2
6480,1.4
6540,1.2
6600,1.8
6660,1.2
6720,1.4
6780,1.4
6840,1.0
6900,1.0
6960,0.2
7020,1.4
7080,0.4
7140,1.4
7200,1.4
7260,1.8
7320,1.4
7380,1.8
7440,0.8
7500,1.0
7560,1.2
7620,0.2
7680,1.2
7740,0.6
7800,1.0
7860,1.2
7920,1.2
7980,1.4
8040,1.6
8100,0.6
8160,1.2
8220,1.4
8280,1.0
8340,0.8
8400,1.2
8460,1.8
8520,0.8
8580,1.2
8640,0.8
8700,1.6
8760,1.4
8820,2.0
8880,1.8
8940,1.6
9000,1.6
9060,1.2
9120,1.0
9180,1.6
9240,1.4
9300,1.8
9360,1.4
9420,2.6
9480,1.0
9540,1.4
9600,0.8
9660,1.6
9720,1.6
9780,1.8
9840,0.6
9900,0.4
9960,1.4
10020,0.4
10080,0.8
10140,1.2
10200,0.2
10260,0.8
10320,1.0
10380,0.6
10440,1.0
10500,1.4
10560,2.2
10620,1.0
10680,1.8
10740,0.2
10800,1.0
10860,1.4
10920,1.4
10980,1.0
11040,1.4
11100,1.6
11160,0.8
11220,1.8
11280,1.2
11340,1.4
11400,1.6
11460,1.8
11520,0.6
11580,0.8
11640,0.8
11700,1.6
11760,0.8
11820,1.2
11880,1.4
11940,0.6
12000,0.8
12060,0.4
12120,1.2
12180,1.4
12240,1.4
12300,0.6
12360,1.4
12420,2.0
12480,1.2
12540,1.4
12600,1.2
12660,1.2
12720,0.2
12780,0.6
12840,0.8
12900,1.0
12960,1.2
13020,1.4
13080,0.6
13140,0.6
13200,1.0
13260,0.8
13320,0.4
13380,0.6
13440,1.2
13500,1.0
13560,0.6
13620,0.8
13680,1.0
13740,1.0
13800,2.2
13860,0.6
13920,1.4
13980,0.8
14040,0.6
14100,0.4
14160,0.6
14220,0.6
14280,1.0
14340,0.4
14400,1.0
14460,1.6
14520,0.4
14580,1.6
14640,1.8
14700,1.8
14760,0.8
14820,0.8
14880,1.4
14940,0.6
15000,1.6
15060,1.4
15120,1.0
15180,0.6
15240,0.4
15300,0.4
15360,1.2
15420,1.8
15480,1.8
15540,1.4
15600,1.0
15660,1.2
15720,2.0
15780,1.6
15840,1.2
15900,1.8
15960,1.2
16020,1.2
16080,0.6
16140,1.0
16200,1.6
16260,2.0
16320,0.8
16380,1.0
16440,0.4
16500,1.0
16560,1.4
16620,1.2
16680,0.6
16740,1.0
16800,1.0
16860,1.4
16920,1.4
16980,0.8
17040,0.4
17100,1.4
17160,1.4
17220,1.0
17280,0.6
17340,1.2
17400,1.8
17460,1.6
17520,1.8
17580,0.8
17640,1.4
17700,0.6
17760,1.2
17820,0.6
17880,1.2
17940,1.2
18000,1.4
18060,1.2
18120,1.0
18180,1.6
18240,1.0
18300,1.4
18360,1.0
18420,1.2
18480,1.8
18540,1.6
18600,0.6
18660,1.0
18720,1.8
18780,1.4
18840,1.2
18900,1.4
18960,0.8
19020,1.2
19080,1.0
19140,1.4
19200,1.2
19260,1.4
19320,1.4
19380,1.0
19440,1.8
19500,1.2
19560,1.4
19620,1.2
19680,0.4
19740,1.2
19800,1.6
19860,0.4
19920,1.0
19980,0.8
20040,0.8
20100,1.4
20160,1.0
20220,1.6
20280,1.2
20340,1.4
20400,0.8
20460,0.8
20520,1.0
20580,1.2
20640,1.4
20700,0.6
20760,1.4
20820,1.4
20880,1.0
20940,1.0
21000,1.2
21060,1.8
21120,0.2
21180,0.8
21240,1.8
21300,0.6
21360,1.6
21420,1.8
21480,2.0
21540,1.0
21600,1.6
21660,1.2
21720,0.8
21780,1.4
21840,1.2
21900,1.2
21960,2.0
22020,1.6
22080,1.0
22140,1.8
22200,1.4
22260,2.2
22320,0.8
22380,2.0
22440,1.2
22500,0.4
22560,1.2
22620,1.0
22680,1.2
22740,1.6
22800,1.4
22860,0.4
22920,1.8
22980,0.8
23040,1.2
23100,0.6
23160,1.0
23220,0.6
23280,1.6
23340,0.8
23400,1.2
23460,1.4
23520,1.6
23580,2.0
23640,1.2
23700,0.6
23760,0.8
23820,2.0
23880,1.8
23940,1.2
24000,1.2
24060,1.2
24120,1.2
24180,0.8
24240,0.4
24300,1.4
24360,1.4
24420,0.4
24480,1.2
24540,1.4
24600,1.6
24660,1.4
24720,1.8
24780,1.4
24840,1.4
24900,0.6
24960,0.8
25020,1.4
25080,1.4
25140,1.0
25200,1.0
25260,1.4
25320,2.4
25380,2.2
25440,1.4
25500,1.2
25560,1.6
25620,1.4
25680,1.4
25740,0.8
25800,0.6
25860,1.8
25920,2.6
25980,1.0
26040,1.6
26100,1.2
26160,1.4
26220,2.0
26280,1.8
26340,1.6
26400,1.0
26460,1.6
26520,1.2
26580,1.2
26640,0.4
26700,1.6
26760,0.8
26820,0.8
26880,1.4
26940,1.2
27000,1.8
27060,0.6
27120,1.4
27180,0.8
27240,1.0
27300,1.0
27360,0.8
27420,1.0
27480,1.4
27540,1.4
27600,1.2
27660,1.6
27720,1.2
27780,2.6
27840,0.8
27900,1.2
27960,0.4
28020,1.8
28080,1.2
28140,1.0
