#Steps,score
60,0.4
120,1.6
180,0.8
240,1.2
300,1.2
360,1.2
420,0.4
480,1.6
540,1.4
600,1.0
660,1.8
720,1.2
780,1.2
840,1.4
900,1.6
960,0.6
1020,1.0
1080,1.0
1140,1.4
1200,2.6
1260,2.0
1320,0.6
1380,1.6
1440,0.6
1500,1.4
1560,0.6
1620,1.6
1680,1.0
1740,1.2
1800,1.0
1860,1.0
1920,0.6
1980,1.8
2040,1.2
2100,1.0
2160,2.2
2220,1.4
2280,1.6
2340,1.6
2400,0.2
2460,0.8
2520,1.0
2580,1.6
2640,0.8
2700,0.8
2760,0.6
2820,1.4
2880,1.6
2940,1.4
3000,1.6
3060,0.6
3120,1.2
3180,0.6
3240,1.4
3300,0.6
3360,1.2
3420,1.0
3480,1.4
3540,1.2
3600,2.2
3660,0.8
3720,0.8
3780,1.6
3840,2.0
3900,1.0
3960,1.0
4020,2.2
4080,1.6
4140,1.8
4200,0.6
4260,0.8
4320,1.6
4380,1.4
4440,1.6
4500,1.0
4560,1.0
4620,1.8
4680,1.0
4740,1.2
4800,0.8
4860,1.4
4920,2.0
4980,1.0
5040,1.6
5100,1.2
5160,0.8
5220,0.4
5280,2.0
5340,1.8
5400,0.6
5460,1.4
5520,1.6
5580,2.0
5640,1.0
5700,0.6
5760,1.4
5820,1.0
5880,1.0
5940,1.2
6000,0.8
6060,1.0
6120,1.0
6180,1.0
6240,1.4
6300,1.6
6360,1.0
6420,0.6
6480,2.2
6540,2.8
6600,1.2
6660,0.4
6720,2.0
6780,0.8
6840,0.6
6900,0.4
6960,1.4
7020,0.8
7080,1.0
7140,2.0
7200,1.6
7260,1.6
7320,0.6
7380,1.4
7440,1.0
7500,1.0
7560,1.6
7620,1.2
7680,1.0
7740,0.8
7800,0.6
7860,1.8
7920,0.8
7980,1.4
8040,1.6
8100,1.8
8160,0.4
8220,2.4
8280,2.2
8340,0.8
8400,1.2
8460,1.0
8520,2.0
8580,0.6
8640,1.2
8700,0.6
8760,1.0
8820,0.8
8880,0.8
8940,0.6
9000,2.2
9060,1.2
9120,1.2
9180,0.4
9240,0.8
9300,1.8
9360,0.8
9420,1.6
9480,1.4
9540,1.2
9600,0.8
9660,0.6
9720,1.4
9780,0.6
9840,1.4
9900,1.2
9960,1.0
10020,1.6
10080,1.2
10140,0.8
10200,1.4
10260,1.6
10320,1.2
10380,2.0
10440,1.2
10500,0.8
10560,1.0
10620,1.4
10680,1.2
10740,1.4
10800,1.0
10860,0.6
10920,1.2
10980,1.4
11040,1.0
11100,1.0
11160,1.2
11220,1.2
11280,0.0
11340,1.2
11400,1.6
11460,2.4
11520,1.8
11580,1.0
11640,1.8
