#Steps,score
60,1.0
120,0.4
180,1.2
240,1.4
300,2.2
360,0.4
420,1.8
480,1.8
540,0.8
600,0.8
660,0.8
720,1.2
780,1.2
840,1.4
900,1.0
960,0.6
1020,0.4
1080,1.0
1140,1.0
1200,1.0
1260,1.2
1320,0.6
1380,1.6
1440,1.0
1500,0.6
1560,0.8
1620,1.4
1680,1.2
1740,1.2
1800,0.4
1860,1.6
1920,1.6
1980,1.2
2040,0.8
2100,0.8
2160,0.4
2220,1.0
2280,0.2
2340,1.2
2400,1.2
2460,2.2
2520,1.8
2580,1.2
2640,1.6
2700,1.0
2760,1.2
2820,1.4
2880,1.2
2940,1.0
3000,2.4
3060,1.6
3120,1.6
3180,1.4
3240,1.0
3300,0.8
3360,1.0
3420,1.6
3480,1.4
3540,1.0
3600,1.0
3660,0.8
3720,1.2
3780,2.0
3840,0.8
3900,0.4
3960,1.0
4020,1.0
4080,1.6
4140,2.6
4200,1.2
4260,1.6
4320,0.6
4380,0.2
4440,1.0
4500,1.2
4560,1.4
4620,0.2
4680,1.0
4740,0.8
4800,1.6
4860,1.4
4920,1.8
4980,0.4
5040,1.2
5100,1.2
5160,1.4
5220,0.4
5280,0.6
5340,0.6
5400,1.0
5460,0.6
5520,0.4
5580,1.2
5640,0.8
5700,1.0
5760,1.8
5820,1.4
5880,1.6
5940,1.6
6000,0.8
6060,1.6
6120,0.8
6180,1.2
6240,1.6
6300,1.8
6360,0.8
6420,1.8
6480,1.4
6540,1.0
6600,1.0
6660,1.8
6720,0.2
6780,0.6
6840,0.8
6900,0.4
6960,2.6
7020,1.2
7080,1.8
7140,2.4
7200,1.2
7260,2.0
7320,1.6
7380,0.8
7440,0.8
7500,1.6
7560,1.6
7620,1.2
7680,0.2
7740,1.0
7800,1.6
7860,1.4
7920,1.2
7980,1.6
8040,1.0
8100,1.2
8160,0.4
8220,1.0
8280,2.0
8340,2.0
8400,0.8
8460,1.8
8520,2.0
8580,0.6
8640,0.8
8700,1.0
8760,0.6
8820,1.8
8880,1.4
8940,0.4
9000,1.8
9060,1.6
9120,1.6
9180,0.8
9240,0.6
9300,1.0
9360,1.2
9420,2.0
9480,0.6
9540,0.6
9600,1.4
9660,1.4
9720,0.8
9780,2.0
9840,2.4
9900,1.6
9960,0.8
10020,0.8
10080,1.0
10140,0.8
10200,2.2
10260,1.4
10320,0.8
10380,1.4
10440,1.0
10500,0.8
10560,1.0
10620,1.6
10680,1.2
10740,0.6
10800,0.4
10860,1.4
10920,1.6
10980,1.2
11040,0.4
11100,2.0
11160,1.0
11220,0.4
11280,1.4
11340,1.4
11400,1.6
11460,1.2
11520,1.6
11580,1.4
11640,1.2
11700,1.0
11760,1.6
11820,1.0
11880,0.6
11940,1.6
12000,0.6
12060,1.2
12120,0.6
12180,1.4
12240,0.8
12300,1.4
12360,1.4
12420,1.6
12480,1.4
12540,1.8
12600,0.2
12660,1.8
12720,2.0
12780,1.6
12840,1.6
12900,0.8
12960,1.0
13020,1.0
13080,1.2
13140,2.0
13200,2.0
13260,1.6
13320,1.8
13380,2.0
13440,1.4
13500,0.8
13560,1.8
13620,1.4
13680,1.8
13740,1.8
13800,1.4
13860,0.8
13920,2.0
13980,1.8
14040,1.0
14100,0.6
14160,1.0
14220,1.0
14280,0.8
14340,1.4
14400,1.8
14460,1.2
14520,1.4
14580,1.0
14640,0.4
14700,1.8
14760,1.6
14820,0.6
14880,1.4
14940,1.6
15000,0.8
15060,1.4
15120,0.8
15180,0.8
15240,1.6
15300,2.4
15360,1.0
15420,1.2
15480,1.4
15540,1.4
15600,1.2
15660,2.4
15720,1.4
15780,1.6
15840,1.2
15900,0.8
15960,1.0
16020,2.0
16080,0.2
16140,0.8
16200,1.0
16260,1.6
16320,1.0
16380,1.4
16440,1.6
16500,1.4
16560,1.0
16620,1.4
16680,0.4
16740,1.8
16800,0.6
16860,1.0
16920,1.0
16980,1.6
17040,1.2
17100,1.8
17160,1.4
17220,1.2
17280,1.4
17340,1.2
17400,1.8
17460,1.8
17520,1.8
17580,1.2
17640,1.6
17700,2.0
17760,0.8
17820,0.8
17880,1.4
17940,1.4
18000,1.6
18060,0.8
18120,1.0
18180,1.4
18240,1.4
18300,1.4
18360,1.2
18420,1.2
18480,1.6
18540,1.4
18600,1.4
18660,1.0
18720,1.8
18780,1.6
18840,1.2
18900,2.4
18960,1.0
19020,1.6
19080,1.2
19140,1.4
19200,1.2
19260,1.0
19320,1.4
19380,1.0
19440,0.6
19500,1.4
19560,1.6
19620,2.6
19680,1.4
19740,1.2
19800,1.8
19860,1.2
19920,1.2
19980,1.4
20040,1.6
20100,1.6
20160,1.6
20220,1.0
20280,1.4
20340,1.6
20400,1.2
20460,0.2
20520,1.2
20580,2.2
20640,0.4
20700,1.0
20760,2.0
20820,1.8
20880,1.4
20940,2.2
21000,1.6
21060,1.2
21120,0.4
21180,1.8
21240,2.2
21300,1.6
21360,1.6
21420,1.2
21480,1.6
21540,1.4
21600,1.0
21660,1.2
21720,1.4
21780,1.0
21840,1.0
21900,1.2
21960,0.4
22020,1.0
22080,2.0
22140,0.8
22200,1.6
22260,2.4
22320,1.2
22380,1.2
22440,0.6
22500,1.2
22560,0.6
22620,1.6
22680,1.0
22740,1.2
22800,1.4
22860,1.2
22920,0.8
22980,1.2
23040,1.2
23100,0.4
23160,0.8
23220,0.8
23280,2.0
23340,1.2
23400,1.8
23460,1.8
23520,1.2
23580,2.4
23640,2.0
23700,0.4
23760,0.6
23820,1.6
23880,0.6
23940,0.4
24000,0.8
24060,0.8
24120,0.6
24180,0.8
24240,0.6
24300,1.0
24360,1.6
24420,1.8
24480,0.6
24540,1.6
24600,1.0
24660,1.4
24720,1.2
24780,1.8
24840,2.0
24900,1.2
24960,1.2
25020,1.2
25080,1.8
25140,1.4
25200,2.4
25260,0.8
25320,2.0
25380,1.4
25440,1.6
25500,1.2
25560,3.0
25620,1.4
25680,1.8
25740,0.8
25800,1.4
25860,1.2
25920,0.8
25980,1.0
26040,1.0
26100,1.6
26160,1.6
26220,1.8
26280,1.8
26340,1.0
26400,1.8
26460,1.0
26520,1.8
26580,1.2
26640,0.8
26700,1.8
26760,1.6
26820,1.4
26880,2.2
26940,1.8
27000,1.4
27060,0.4
27120,1.8
27180,0.8
27240,2.0
27300,0.8
27360,1.2
27420,2.0
27480,1.4
27540,2.0
27600,1.0
27660,0.8
27720,2.2
27780,1.8
27840,2.8
27900,1.2
27960,2.2
28020,1.6
28080,2.0
28140,1.2
28200,2.0
28260,1.2
28320,1.2
28380,0.8
28440,1.0
28500,1.0
28560,1.0
28620,1.6
28680,2.0
28740,1.6
28800,1.4
28860,2.0
28920,1.4
28980,1.2
29040,1.2
29100,2.2
29160,1.2
29220,1.0
29280,1.0
29340,1.4
29400,1.8
29460,2.4
29520,1.6
29580,1.2
29640,2.2
29700,1.4
29760,1.6
29820,1.2
29880,1.6
29940,2.0
30000,1.8
30060,0.8
30120,1.4
30180,2.2
30240,1.6
30300,0.8
30360,0.6
30420,1.2
30480,1.2
30540,0.8
30600,2.6
30660,1.4
30720,1.8
30780,1.6
30840,1.4
30900,1.8
30960,1.4
31020,1.4
31080,1.4
31140,1.8
31200,0.8
31260,1.4
31320,2.2
31380,2.0
31440,1.2
31500,1.4
31560,1.6
31620,0.8
31680,1.0
31740,1.6
31800,1.4
31860,2.0
31920,1.4
31980,2.2
32040,2.2
32100,0.8
32160,2.4
32220,2.0
32280,1.0
32340,1.6
32400,1.8
32460,1.2
32520,1.6
32580,1.0
32640,1.8
32700,2.0
32760,1.4
32820,1.8
32880,2.8
32940,1.0
33000,1.8
33060,2.0
33120,1.2
33180,2.6
33240,0.6
33300,2.4
33360,1.8
33420,2.4
33480,1.6
33540,1.6
33600,1.0
33660,1.4
33720,1.6
33780,1.4
33840,0.8
33900,1.6
33960,1.2
34020,2.0
34080,2.0
34140,0.8
34200,1.6
34260,1.0
34320,2.4
34380,1.0
34440,0.8
34500,1.6
34560,0.4
34620,1.8
34680,0.4
34740,1.2
34800,1.0
34860,2.4
34920,1.2
34980,1.2
35040,1.0
35100,1.0
35160,1.4
35220,2.2
35280,1.2
35340,1.4
35400,1.4
35460,1.8
35520,1.4
35580,1.8
35640,1.8
35700,1.0
35760,1.8
35820,1.6
35880,1.8
35940,1.2
36000,1.8
36060,1.2
36120,2.0
36180,1.6
36240,0.8
36300,2.0
36360,1.6
36420,0.6
36480,1.6
36540,1.2
36600,1.6
36660,1.2
36720,2.2
36780,1.2
36840,2.4
36900,1.2
36960,2.2
37020,0.8
37080,1.8
37140,0.4
37200,1.4
37260,1.2
37320,1.8
37380,1.8
37440,1.6
37500,0.4
37560,2.0
37620,0.8
37680,2.0
37740,1.8
37800,2.2
37860,1.8
37920,2.2
37980,0.6
38040,0.8
38100,1.0
38160,1.2
38220,1.2
38280,2.2
38340,1.2
38400,1.2
38460,1.6
38520,1.6
38580,1.4
38640,0.8
38700,1.4
38760,1.6
38820,1.4
38880,1.4
38940,1.6
39000,1.6
39060,1.6
39120,1.6
39180,0.8
39240,2.0
39300,0.8
39360,0.6
39420,1.4
39480,1.4
39540,1.4
39600,1.2
39660,1.6
39720,1.2
39780,1.4
39840,2.2
39900,1.6
39960,0.8
40020,2.0
40080,2.0
40140,1.4
40200,1.4
40260,0.8
40320,1.0
40380,1.6
40440,1.0
40500,1.0
40560,1.0
40620,1.4
40680,1.2
40740,1.6
40800,1.4
40860,1.4
40920,1.2
40980,2.4
41040,1.4
41100,1.6
41160,1.2
41220,2.0
41280,1.2
41340,1.2
41400,1.8
41460,1.2
41520,1.4
41580,1.6
41640,1.2
41700,2.2
41760,1.8
41820,1.4
41880,1.2
41940,2.0
42000,1.2
42060,1.2
42120,0.6
42180,1.8
42240,0.6
42300,2.0
42360,1.4
42420,2.0
42480,1.4
42540,1.4
42600,2.2
42660,1.2
42720,1.6
42780,1.0
42840,1.2
42900,2.2
42960,3.0
43020,2.0
43080,1.2
43140,1.4
43200,0.8
43260,1.4
43320,2.2
43380,1.2
43440,1.2
43500,1.2
43560,2.2
43620,2.4
43680,1.4
43740,2.2
43800,1.2
43860,1.4
43920,1.0
43980,0.8
44040,2.6
44100,0.8
44160,2.0
44220,1.8
44280,1.6
44340,1.6
44400,2.0
44460,1.6
44520,1.6
44580,1.6
44640,2.6
44700,1.8
44760,1.2
44820,1.6
44880,2.2
44940,1.6
45000,1.8
45060,1.0
45120,2.0
45180,2.4
45240,1.8
45300,2.2
45360,2.4
45420,1.2
45480,2.0
45540,2.8
45600,2.0
45660,0.6
45720,2.8
45780,1.4
45840,3.2
45900,3.0
45960,2.0
46020,2.4
46080,2.2
46140,2.0
46200,2.2
46260,2.6
46320,1.2
46380,2.2
46440,1.4
46500,3.0
46560,3.2
46620,1.2
46680,2.0
46740,3.2
46800,2.0
46860,2.0
46920,3.0
46980,2.0
47040,2.0
47100,1.0
47160,1.2
47220,1.8
47280,1.8
47340,1.4
47400,1.6
47460,1.4
47520,0.6
47580,1.6
47640,1.0
47700,0.8
47760,2.2
47820,1.4
47880,1.6
47940,1.4
48000,1.6
48060,1.0
48120,1.4
48180,1.2
48240,2.0
48300,0.8
48360,1.8
48420,2.0
48480,0.8
48540,2.0
48600,2.4
48660,1.4
48720,1.0
48780,1.4
48840,1.2
48900,1.4
48960,1.2
49020,1.8
49080,0.8
49140,1.8
49200,1.6
49260,0.8
49320,2.6
49380,0.8
49440,1.0
49500,1.4
49560,1.8
49620,1.4
49680,2.2
49740,1.4
49800,1.8
49860,1.2
49920,2.0
49980,1.2
50040,1.2
50100,2.4
50160,1.0
50220,2.4
50280,2.0
50340,1.4
50400,0.8
50460,1.8
50520,1.0
50580,1.0
50640,1.4
50700,0.8
50760,1.2
50820,0.6
50880,1.4
50940,1.8
51000,1.2
51060,1.2
51120,3.0
51180,2.0
51240,1.4
51300,2.8
51360,0.4
51420,1.2
51480,2.2
51540,1.4
51600,1.6
51660,0.8
51720,2.2
51780,1.2
51840,1.4
51900,1.6
51960,1.8
52020,1.4
52080,1.4
52140,1.2
52200,1.4
52260,0.6
52320,2.0
52380,2.0
52440,1.6
52500,2.4
52560,0.8
52620,2.0
52680,2.0
52740,0.8
52800,2.4
52860,2.0
52920,1.0
52980,2.6
53040,1.8
53100,2.2
53160,2.4
53220,1.6
53280,2.4
53340,1.6
53400,1.4
53460,2.2
53520,1.8
53580,1.0
53640,2.0
53700,1.4
53760,1.6
53820,1.2
53880,1.0
53940,1.6
54000,2.0
54060,1.2
54120,1.8
54180,1.0
54240,1.6
54300,1.2
54360,2.2
54420,2.4
54480,1.4
54540,1.2
54600,1.6
54660,1.8
54720,1.2
54780,2.0
54840,2.4
54900,2.4
54960,2.2
55020,2.4
55080,1.2
55140,0.4
55200,2.2
55260,1.0
55320,0.8
55380,0.8
55440,1.4
55500,1.8
55560,1.6
55620,1.6
55680,2.8
55740,1.8
55800,1.6
55860,2.0
55920,1.8
55980,1.4
56040,2.2
56100,1.4
56160,2.2
56220,0.2
56280,2.0
56340,2.6
56400,1.6
56460,0.6
56520,2.2
56580,2.0
56640,2.0
56700,1.6
56760,1.6
56820,2.0
56880,1.8
56940,1.4
57000,2.6
57060,2.2
57120,2.2
57180,3.0
57240,1.2
57300,1.4
57360,2.2
57420,0.8
57480,1.8
57540,3.0
57600,2.4
57660,0.8
57720,0.8
57780,2.4
57840,1.2
57900,2.2
57960,1.8
58020,2.8
58080,1.0
58140,2.2
58200,2.2
58260,2.6
58320,2.6
58380,2.0
58440,2.0
58500,1.4
58560,1.8
58620,1.4
58680,1.0
58740,1.8
58800,1.2
58860,2.2
58920,2.0
58980,3.2
59040,1.2
59100,2.8
59160,1.8
59220,1.2
59280,2.4
59340,2.2
59400,1.8
59460,1.2
59520,1.2
59580,0.8
59640,1.2
59700,2.2
59760,2.0
59820,2.2
59880,1.8
59940,2.0
60000,2.0
60060,2.0
60120,1.6
60180,2.2
60240,2.0
60300,1.4
60360,2.2
60420,2.0
60480,2.2
60540,2.8
60600,0.8
60660,1.0
60720,1.6
60780,2.2
60840,1.2
60900,2.4
60960,1.6
61020,2.6
61080,1.8
61140,1.4
61200,1.8
61260,1.8
61320,2.4
61380,1.2
61440,1.8
61500,1.8
61560,2.0
61620,1.4
61680,3.0
61740,2.8
61800,1.4
61860,1.4
61920,1.6
61980,2.2
62040,2.4
62100,1.8
62160,2.0
62220,2.6
62280,1.6
62340,2.6
62400,2.6
62460,2.4
62520,1.6
62580,2.4
62640,1.6
62700,1.0
62760,3.0
62820,2.4
62880,1.6
62940,1.4
63000,2.4
63060,1.6
63120,1.8
63180,3.0
