#Steps,score
60,0.8
120,1.0
180,1.8
240,1.0
300,0.2
360,0.8
420,2.8
480,1.4
540,0.6
600,1.4
660,0.8
720,2.2
780,1.0
840,1.2
900,0.4
960,1.2
1020,1.4
1080,1.4
1140,1.0
1200,0.8
1260,1.8
1320,1.8
1380,1.4
1440,1.6
1500,1.2
1560,1.0
1620,1.8
1680,1.2
1740,0.8
1800,1.2
1860,1.0
1920,1.2
1980,1.0
2040,1.4
2100,1.6
2160,0.4
2220,0.6
2280,1.2
2340,1.6
2400,1.4
2460,1.8
2520,1.4
2580,0.4
2640,1.8
2700,0.8
2760,1.0
2820,1.0
2880,1.0
2940,2.8
3000,1.0
3060,1.0
3120,0.6
3180,1.8
3240,1.2
3300,1.4
3360,1.8
3420,1.6
3480,2.2
3540,1.6
3600,0.8
3660,1.2
3720,0.4
3780,1.4
3840,1.2
3900,1.2
3960,1.6
4020,1.2
4080,0.8
4140,0.8
4200,0.8
4260,1.6
4320,1.6
4380,2.0
4440,0.8
4500,0.4
4560,1.4
4620,1.4
4680,1.2
4740,1.8
4800,1.8
4860,2.2
4920,2.0
4980,1.4
5040,1.2
5100,0.8
5160,1.6
5220,0.6
5280,1.2
5340,1.8
5400,1.6
5460,1.2
5520,1.2
5580,1.8
5640,1.0
5700,2.2
5760,0.8
5820,2.0
5880,1.2
5940,1.2
6000,1.6
6060,1.4
6120,1.8
6180,1.2
6240,1.0
6300,1.0
6360,0.8
6420,2.8
6480,1.6
6540,1.0
6600,1.4
6660,1.4
6720,2.0
6780,1.2
6840,1.6
6900,1.8
6960,0.6
7020,1.6
7080,1.0
7140,2.0
7200,1.2
7260,2.0
7320,1.4
7380,1.4
7440,1.4
7500,1.6
7560,2.6
7620,2.0
7680,1.6
7740,1.6
7800,1.2
7860,2.4
7920,2.4
7980,1.2
8040,1.8
8100,1.4
8160,1.6
8220,1.0
8280,1.6
8340,1.8
8400,1.0
8460,1.2
8520,1.0
8580,1.4
8640,2.2
8700,2.4
8760,1.0
8820,3.0
8880,1.0
8940,1.0
9000,1.8
9060,2.2
9120,1.8
9180,2.4
9240,1.8
9300,1.8
9360,0.6
9420,2.2
9480,2.0
9540,2.2
9600,2.6
9660,1.8
9720,2.0
9780,1.6
9840,1.8
9900,1.8
9960,3.4
10020,2.6
10080,2.0
10140,2.8
10200,1.8
10260,2.0
10320,3.0
10380,3.4
10440,1.6
10500,2.4
10560,2.6
10620,2.0
10680,2.0
10740,2.4
10800,2.2
10860,1.8
10920,1.6
10980,1.6
11040,1.4
11100,1.4
11160,2.2
11220,1.4
11280,3.4
11340,1.6
11400,2.0
11460,2.4
11520,3.0
11580,2.8
11640,3.4
11700,3.0
11760,4.4
11820,3.4
11880,3.4
11940,3.6
12000,4.0
12060,3.2
12120,4.4
12180,4.8
12240,5.8
12300,6.2
12360,7.6
12420,9.2
12480,13.8
12540,15.2
12600,18.2
12660,20.0
12720,20.8
12780,19.0
12840,22.0
12900,21.4
12960,20.6
13020,18.6
13080,16.4
13140,18.0
13200,14.2
13260,17.2
13320,16.8
13380,16.6
13440,16.0
13500,17.2
13560,17.4
13620,19.8
13680,19.6
13740,20.4
13800,21.0
13860,19.6
13920,21.4
13980,23.2
14040,23.2
14100,22.6
14160,22.6
14220,24.2
14280,23.0
14340,23.6
14400,23.6
14460,24.4
14520,24.0
14580,24.4
14640,24.6
14700,24.4
14760,24.2
14820,22.4
14880,24.8
14940,25.2
15000,25.0
15060,25.6
15120,25.4
15180,24.8
15240,24.6
15300,23.4
15360,26.6
15420,24.2
15480,23.2
15540,23.4
15600,24.6
15660,23.8
15720,23.8
15780,24.0
15840,25.2
15900,23.8
15960,23.2
16020,24.2
16080,22.6
16140,21.6
16200,23.0
16260,23.0
16320,23.6
16380,24.0
16440,23.6
16500,22.6
16560,24.6
16620,24.6
16680,23.2
16740,24.2
16800,23.8
16860,23.0
16920,23.8
16980,24.4
17040,22.6
17100,23.0
17160,24.2
17220,23.8
17280,23.6
17340,24.6
17400,24.0
17460,25.0
17520,24.2
17580,24.4
17640,24.4
17700,23.6
17760,23.6
17820,25.0
17880,23.8
17940,23.4
18000,23.0
18060,24.2
18120,24.2
18180,24.0
18240,23.8
18300,24.0
18360,23.4
18420,24.4
18480,25.0
18540,24.2
18600,25.2
18660,22.2
18720,23.6
18780,24.2
18840,24.2
18900,22.8
18960,22.8
19020,25.6
19080,24.6
19140,25.4
19200,24.4
19260,23.4
19320,24.2
19380,25.0
19440,23.2
19500,25.6
19560,23.6
19620,24.6
19680,24.4
19740,23.8
19800,24.0
19860,24.2
19920,24.8
19980,25.6
20040,25.6
20100,24.0
20160,23.8
20220,24.4
20280,24.4
20340,25.8
20400,24.6
20460,22.4
20520,23.2
20580,23.2
20640,23.8
20700,24.0
20760,24.0
20820,24.6
20880,23.0
20940,23.4
21000,23.8
21060,24.0
21120,22.8
21180,23.6
21240,23.2
21300,23.2
21360,24.6
21420,23.2
21480,23.4
21540,23.4
21600,23.0
21660,22.8
21720,23.0
21780,24.2
21840,24.6
21900,21.4
21960,23.4
22020,24.2
22080,24.2
22140,23.0
22200,22.6
22260,24.4
22320,23.2
22380,23.4
22440,23.8
22500,24.0
22560,25.4
22620,23.2
22680,23.6
22740,24.4
22800,25.2
22860,24.2
22920,24.8
22980,23.8
23040,25.4
23100,24.4
23160,25.2
23220,26.2
23280,24.8
23340,24.2
23400,23.6
23460,23.6
23520,24.2
23580,24.8
23640,26.0
23700,24.2
23760,23.0
23820,25.0
23880,25.8
23940,24.8
24000,23.0
24060,24.6
24120,24.6
24180,24.0
24240,24.4
24300,23.6
24360,24.0
24420,25.0
24480,23.8
24540,24.6
24600,24.0
24660,24.2
24720,23.6
24780,24.2
24840,23.0
24900,23.6
24960,24.6
25020,22.6
25080,24.2
25140,21.8
25200,24.2
25260,25.2
25320,23.4
25380,23.0
25440,23.4
25500,24.6
25560,22.4
25620,23.0
25680,22.2
25740,23.8
25800,23.0
25860,24.8
25920,23.2
25980,24.2
26040,24.4
26100,22.8
26160,23.6
26220,24.2
26280,22.8
26340,24.2
26400,24.2
26460,24.0
26520,24.8
26580,23.8
26640,24.2
26700,25.2
26760,25.6
26820,24.4
26880,23.6
26940,24.6
27000,21.8
27060,24.6
27120,24.6
27180,24.2
27240,25.4
27300,25.2
27360,24.2
27420,22.4
27480,23.6
27540,23.0
27600,23.6
27660,23.8
27720,23.4
27780,23.8
27840,23.2
27900,22.4
27960,22.6
28020,23.4
28080,22.4
28140,23.4
