#Steps,score
600,1.4
1200,0.6
1800,1.0
2400,1.0
3000,0.4
3600,1.2
4200,0.8
4800,1.0
5400,1.4
6000,1.2
6600,1.4
7200,2.6
7800,1.8
8400,2.4
9000,1.6
9600,1.6
10200,1.0
10800,1.6
11400,0.6
12000,2.2
12600,1.4
13200,2.0
13800,1.2
14400,2.2
15000,1.8
15600,1.6
16200,2.6
16800,3.6
17400,9.2
18000,21.2
18600,6.6
19200,24.4
19800,16.8
20400,15.2
21000,24.4
21600,24.4
22200,25.4
22800,25.6
23400,25.0
24000,25.8
24600,25.2
25200,25.4
25800,25.4
26400,25.8
27000,26.2
27600,26.4
28200,25.2
28800,27.4
29400,25.6
30000,24.8
30600,26.2
31200,25.4
31800,25.2
32400,26.0
