#Steps,score
60,0.4
120,1.0
180,1.6
240,1.2
300,0.8
360,0.8
420,1.4
480,0.4
540,1.0
600,1.4
660,1.4
720,1.0
780,1.2
840,1.0
900,2.2
960,0.8
1020,1.6
1080,1.2
1140,1.2
1200,1.2
1260,1.0
1320,1.0
1380,2.2
1440,0.8
1500,1.8
1560,0.4
1620,1.4
1680,0.8
1740,1.0
1800,2.0
1860,2.0
1920,1.6
1980,1.4
2040,1.2
2100,1.0
2160,0.8
2220,1.0
2280,0.6
2340,0.6
2400,1.6
2460,1.4
2520,0.8
2580,0.6
2640,1.2
2700,1.0
2760,1.0
2820,1.6
2880,1.0
2940,1.0
3000,1.6
3060,1.4
3120,0.8
3180,0.6
3240,1.4
3300,0.8
3360,1.0
3420,1.6
3480,2.0
3540,2.0
3600,1.0
3660,1.2
3720,1.2
3780,1.4
3840,1.4
3900,1.8
3960,1.0
4020,1.4
4080,1.4
4140,1.2
4200,1.4
4260,1.8
4320,1.2
4380,1.8
4440,1.6
4500,1.2
4560,1.4
4620,1.0
4680,1.2
4740,1.8
4800,0.8
4860,1.0
4920,0.6
4980,0.8
5040,0.8
5100,1.8
5160,1.4
5220,1.0
5280,1.4
5340,0.8
5400,1.6
5460,0.4
5520,1.4
5580,2.4
5640,1.6
5700,1.0
5760,2.0
5820,1.6
5880,1.4
5940,0.8
6000,1.0
6060,1.4
6120,0.8
6180,1.6
6240,0.8
6300,1.6
6360,0.6
6420,2.0
6480,1.0
6540,1.2
6600,1.8
6660,1.2
6720,1.0
6780,1.0
6840,1.2
6900,1.2
6960,1.6
7020,1.2
7080,1.0
7140,1.8
7200,1.0
7260,0.8
7320,1.0
7380,0.8
7440,1.4
7500,1.0
7560,1.6
7620,1.0
7680,0.8
7740,1.6
7800,1.2
7860,1.2
7920,1.4
7980,0.4
8040,1.2
8100,0.8
8160,0.4
8220,2.4
8280,1.0
8340,1.2
8400,1.4
8460,1.4
8520,0.6
8580,0.8
8640,1.4
8700,2.0
8760,1.0
8820,1.4
8880,0.6
8940,0.8
9000,1.6
9060,1.4
9120,1.4
9180,1.0
9240,2.0
9300,1.8
9360,2.6
9420,0.8
9480,1.0
9540,2.0
9600,1.2
9660,1.8
9720,1.4
9780,1.8
9840,2.0
9900,1.6
9960,0.6
10020,1.6
10080,1.8
10140,0.6
10200,1.4
10260,1.2
10320,1.4
10380,1.0
10440,1.8
10500,1.8
10560,1.2
10620,0.8
10680,1.8
10740,1.6
10800,1.0
10860,1.8
10920,0.8
10980,2.0
11040,1.8
11100,2.4
11160,2.0
11220,0.8
11280,1.0
11340,2.0
11400,2.0
11460,1.4
11520,1.2
11580,1.4
11640,1.6
11700,0.8
11760,1.2
11820,2.0
11880,2.8
11940,1.6
12000,1.6
12060,2.0
12120,0.4
12180,1.2
12240,2.0
12300,1.8
12360,1.8
12420,1.8
12480,1.8
12540,2.0
12600,2.8
12660,1.8
12720,1.6
12780,2.2
12840,1.8
12900,1.6
12960,2.6
13020,2.0
13080,0.8
13140,2.2
13200,1.0
13260,2.2
13320,2.4
13380,3.0
13440,2.6
13500,1.8
13560,1.6
13620,2.2
13680,1.8
13740,1.8
13800,2.6
13860,2.4
13920,1.0
13980,2.2
14040,1.6
14100,2.4
14160,1.6
14220,1.6
14280,2.2
14340,2.2
14400,2.4
14460,2.2
14520,2.6
14580,1.8
14640,2.0
14700,2.0
14760,2.6
14820,2.2
14880,2.8
14940,3.2
15000,2.6
15060,4.0
15120,2.8
15180,2.2
15240,2.4
15300,4.0
15360,4.8
15420,3.0
15480,4.6
15540,4.4
15600,3.4
15660,5.6
15720,4.4
15780,3.2
15840,4.0
15900,4.2
15960,5.4
16020,5.8
16080,5.6
16140,5.0
16200,4.2
16260,6.0
16320,6.8
16380,7.4
16440,7.0
16500,7.8
16560,9.6
16620,13.8
16680,15.8
16740,19.4
16800,21.0
16860,17.6
16920,20.2
16980,18.0
17040,17.4
17100,18.2
17160,17.4
17220,17.4
17280,17.6
17340,15.8
17400,19.6
17460,17.6
17520,18.4
17580,16.0
17640,18.0
17700,16.0
17760,17.0
17820,17.4
17880,16.4
17940,18.8
18000,16.2
18060,18.6
18120,17.2
18180,18.8
18240,19.2
18300,19.4
18360,18.4
18420,19.8
18480,18.4
18540,21.2
18600,20.4
18660,19.0
18720,21.6
18780,21.4
18840,20.8
18900,19.8
18960,21.6
19020,22.0
19080,21.6
19140,21.6
19200,22.0
19260,21.8
19320,22.2
19380,23.6
19440,22.6
19500,22.2
19560,23.2
19620,22.8
19680,21.6
19740,22.4
19800,22.2
19860,23.0
19920,21.8
19980,22.4
20040,24.8
20100,23.6
20160,22.8
20220,23.6
20280,24.0
20340,24.4
20400,23.8
20460,23.0
20520,23.4
20580,23.4
20640,23.2
20700,23.2
20760,23.8
20820,23.4
20880,23.8
20940,24.0
21000,21.2
21060,25.8
21120,23.6
21180,24.4
21240,21.8
21300,23.0
21360,23.2
21420,22.8
21480,23.4
21540,23.0
21600,22.8
21660,23.4
21720,23.8
21780,24.2
21840,22.6
21900,23.6
21960,22.8
22020,22.6
22080,22.6
22140,23.4
22200,22.6
22260,24.0
22320,23.2
22380,24.2
22440,21.0
22500,23.0
22560,22.6
22620,23.0
22680,22.8
22740,21.8
22800,22.0
22860,23.4
22920,22.0
22980,23.6
23040,22.4
23100,23.0
23160,21.4
23220,22.2
23280,21.8
23340,21.4
23400,21.8
23460,22.2
23520,21.0
23580,22.2
23640,21.6
23700,22.0
23760,20.6
23820,22.2
23880,21.4
23940,22.6
24000,23.0
24060,23.6
24120,22.4
24180,24.6
24240,23.0
24300,22.6
24360,25.0
24420,22.8
24480,22.4
24540,23.4
24600,21.8
24660,23.4
24720,23.4
24780,23.6
24840,23.6
24900,22.2
24960,22.8
25020,23.4
25080,22.6
25140,24.2
25200,22.6
25260,24.6
25320,24.4
25380,22.2
25440,24.0
25500,22.8
25560,24.8
25620,22.0
25680,23.6
25740,20.8
25800,21.8
25860,21.6
25920,22.6
25980,22.8
26040,23.0
26100,23.6
26160,20.6
26220,23.0
26280,22.6
26340,22.0
26400,23.4
26460,21.6
26520,23.0
26580,22.8
26640,22.2
26700,22.6
26760,23.2
26820,22.2
26880,23.8
26940,23.0
27000,22.6
27060,23.2
27120,22.0
27180,23.2
27240,22.6
27300,23.4
27360,23.6
27420,23.2
27480,23.4
27540,24.0
27600,22.8
27660,24.8
27720,24.4
27780,23.6
27840,24.6
27900,23.2
27960,24.4
28020,23.4
28080,23.0
28140,23.2
28200,23.0
28260,23.4
28320,22.8
28380,23.4
28440,22.6
28500,24.4
28560,23.0
28620,24.4
28680,23.4
28740,24.2
28800,22.8
28860,22.2
28920,24.0
28980,22.6
29040,23.0
29100,23.4
29160,23.8
29220,22.6
29280,23.2
29340,24.2
29400,23.2
29460,24.6
29520,23.4
29580,24.0
29640,23.0
29700,23.8
29760,24.4
29820,23.2
29880,24.6
29940,22.0
30000,24.0
30060,23.2
30120,24.0
30180,23.0
30240,21.6
30300,23.4
30360,25.0
30420,23.2
30480,23.4
30540,24.2
30600,24.2
30660,23.2
30720,23.6
30780,24.2
30840,24.6
30900,21.6
30960,23.4
31020,23.8
31080,22.8
31140,24.2
31200,23.4
31260,23.2
31320,23.4
31380,24.0
31440,23.6
31500,23.8
31560,24.6
31620,24.0
31680,23.2
31740,24.6
31800,23.8
31860,22.2
31920,22.4
31980,22.0
32040,22.8
32100,22.6
32160,21.2
32220,22.4
32280,23.2
32340,22.2
32400,23.0
32460,21.6
32520,22.4
32580,22.2
32640,23.6
32700,23.0
32760,22.4
32820,22.0
32880,22.8
32940,21.6
33000,21.6
33060,23.0
33120,22.8
33180,22.0
33240,22.0
33300,22.2
33360,23.8
33420,22.0
33480,23.8
33540,23.2
33600,23.6
33660,22.0
33720,23.6
33780,25.2
33840,24.8
33900,23.8
33960,25.2
34020,24.4
34080,24.8
34140,24.0
34200,24.6
34260,23.0
34320,25.8
34380,24.2
34440,24.0
34500,23.8
34560,23.6
34620,23.6
34680,23.6
34740,25.0
34800,24.6
34860,24.0
34920,24.4
34980,25.0
35040,25.0
35100,24.6
35160,24.8
35220,23.6
35280,25.6
35340,24.4
35400,24.6
35460,24.4
35520,24.6
35580,24.6
35640,26.2
35700,24.6
35760,26.8
35820,25.0
35880,24.2
35940,24.6
36000,24.2
36060,22.6
36120,25.2
36180,24.2
36240,24.8
36300,24.6
36360,25.2
36420,24.2
36480,24.0
36540,23.6
36600,22.6
36660,24.8
36720,23.8
36780,24.6
36840,23.4
36900,23.8
36960,25.0
37020,23.2
37080,23.2
37140,25.2
37200,23.2
37260,23.0
37320,23.4
37380,24.0
37440,23.6
37500,21.0
37560,22.2
37620,23.2
37680,22.2
37740,23.6
37800,24.0
37860,23.8
37920,25.0
37980,24.6
38040,23.8
38100,23.6
38160,24.4
38220,26.0
38280,24.0
38340,23.6
38400,23.6
38460,23.8
38520,23.8
38580,23.8
38640,23.8
38700,23.2
38760,23.6
38820,22.8
38880,23.8
38940,23.2
39000,24.0
39060,23.2
39120,24.0
39180,25.6
39240,23.6
39300,23.8
39360,24.4
39420,23.0
39480,23.0
39540,23.0
39600,26.0
39660,22.8
39720,23.6
39780,22.2
39840,23.4
39900,24.6
39960,24.0
40020,24.6
40080,24.6
40140,23.2
40200,24.0
40260,22.6
40320,25.6
40380,22.6
40440,23.6
40500,24.2
40560,23.6
40620,22.6
40680,24.4
40740,24.8
40800,24.2
40860,23.2
40920,23.8
40980,22.2
41040,23.2
41100,23.6
41160,24.2
41220,22.6
41280,23.6
41340,23.2
41400,23.6
41460,24.8
41520,22.4
41580,23.0
41640,23.4
41700,24.6
41760,22.8
41820,22.4
41880,24.8
41940,23.4
42000,23.8
42060,23.8
42120,23.8
42180,23.0
42240,24.6
42300,23.2
42360,23.6
42420,23.0
42480,23.2
42540,23.6
42600,24.0
42660,22.6
42720,24.2
42780,23.8
42840,25.0
42900,23.6
42960,22.4
43020,24.6
43080,24.2
43140,24.0
43200,21.8
43260,23.0
43320,23.0
43380,21.6
43440,22.4
43500,22.4
43560,23.8
43620,25.0
43680,24.2
43740,23.4
43800,23.8
43860,22.8
43920,23.8
43980,24.4
44040,23.2
44100,22.4
44160,23.6
44220,25.2
44280,25.0
44340,23.0
44400,23.8
44460,22.8
44520,22.6
44580,24.2
44640,24.8
44700,23.4
44760,22.6
44820,23.8
44880,21.2
44940,23.8
45000,23.8
45060,23.8
45120,23.2
45180,22.8
45240,23.0
45300,21.6
45360,22.2
45420,22.4
45480,21.8
45540,22.8
45600,22.6
45660,23.0
45720,21.6
45780,22.6
45840,22.6
45900,24.0
45960,22.8
46020,22.8
46080,24.0
46140,22.6
46200,22.2
46260,23.0
46320,22.4
46380,23.8
46440,24.2
46500,23.6
46560,25.0
46620,23.4
46680,23.4
46740,24.4
46800,24.2
46860,24.6
46920,24.0
46980,24.8
47040,25.0
47100,24.6
47160,24.2
47220,23.6
47280,23.8
47340,23.2
47400,24.6
47460,22.4
47520,23.2
47580,25.0
47640,24.4
47700,24.8
47760,24.2
47820,23.0
47880,23.8
47940,23.4
48000,24.8
48060,23.6
48120,24.6
48180,24.2
48240,23.4
48300,22.8
48360,22.4
48420,23.8
48480,23.8
48540,24.0
48600,25.2
48660,23.4
48720,23.8
48780,25.6
48840,24.8
48900,23.6
48960,23.2
49020,24.4
49080,23.8
49140,23.6
49200,23.4
49260,24.2
49320,25.0
49380,23.6
49440,25.4
49500,23.0
49560,22.6
49620,22.2
49680,24.6
49740,24.0
49800,23.6
49860,24.0
49920,22.8
49980,21.8
50040,22.6
50100,22.8
50160,23.2
50220,23.4
50280,23.4
50340,21.6
50400,22.2
50460,22.8
50520,21.2
50580,21.4
50640,21.4
50700,21.0
50760,21.0
50820,22.0
50880,22.6
50940,22.0
51000,22.8
51060,23.2
51120,22.2
51180,22.4
51240,23.4
51300,23.4
51360,23.6
51420,23.6
51480,22.0
51540,23.6
51600,22.4
51660,22.8
51720,23.4
51780,24.0
51840,23.6
51900,23.0
51960,23.8
52020,23.0
52080,23.4
52140,23.6
52200,23.6
52260,24.6
52320,23.6
52380,22.8
52440,22.8
52500,24.2
52560,23.8
52620,23.8
52680,24.4
52740,23.6
52800,24.6
52860,23.8
52920,24.2
52980,23.2
53040,24.0
53100,24.0
53160,24.6
53220,23.2
53280,24.0
53340,24.2
53400,23.2
53460,23.6
53520,24.2
53580,24.4
53640,24.2
53700,25.0
53760,23.2
53820,21.6
53880,23.8
53940,24.0
54000,22.4
54060,24.4
54120,25.4
54180,23.0
54240,23.2
54300,23.2
54360,24.4
54420,25.0
54480,25.4
54540,23.0
54600,23.8
54660,24.2
54720,25.0
54780,23.0
54840,24.0
54900,24.6
54960,23.8
55020,24.2
55080,23.0
55140,23.8
55200,25.4
55260,24.8
55320,24.0
55380,24.4
55440,25.0
55500,23.6
55560,23.8
55620,25.2
55680,24.0
55740,24.0
55800,24.8
55860,23.4
55920,22.8
55980,23.6
56040,23.2
56100,22.2
56160,24.0
56220,25.0
56280,24.6
56340,22.4
56400,22.4
56460,23.0
56520,24.2
56580,24.0
56640,23.8
56700,24.6
56760,24.0
56820,22.8
56880,24.8
56940,24.4
57000,24.6
57060,22.8
57120,23.6
57180,24.4
57240,22.8
57300,23.2
57360,23.6
57420,24.0
57480,25.2
57540,24.8
57600,24.0
57660,23.0
57720,24.0
57780,23.2
57840,24.4
57900,25.8
57960,24.0
58020,23.0
58080,23.4
58140,24.0
58200,23.0
58260,24.0
58320,23.4
58380,25.2
58440,22.8
58500,25.0
58560,24.0
58620,23.8
58680,25.2
58740,24.8
58800,25.4
58860,24.4
58920,23.8
58980,23.0
59040,24.8
59100,24.2
59160,23.8
59220,25.4
59280,22.6
59340,24.6
59400,24.4
59460,24.8
59520,24.8
59580,24.6
59640,23.6
59700,24.4
59760,23.4
59820,25.6
59880,23.8
59940,23.8
60000,23.2
60060,25.4
60120,25.2
60180,24.8
60240,25.2
60300,23.4
60360,25.2
60420,24.4
60480,25.2
60540,25.4
60600,25.2
60660,26.4
60720,24.6
60780,24.0
60840,25.4
60900,24.4
60960,25.0
61020,23.6
61080,25.4
61140,22.8
61200,24.0
61260,25.2
61320,23.8
61380,25.0
61440,24.0
61500,24.2
61560,24.4
61620,24.2
61680,22.8
61740,22.8
61800,24.0
61860,24.0
61920,23.0
61980,24.0
62040,23.6
62100,24.0
62160,24.6
62220,24.2
62280,23.4
62340,24.6
62400,24.0
62460,23.6
62520,22.6
62580,24.0
62640,23.0
62700,24.0
62760,22.0
62820,22.8
62880,23.6
62940,23.8
63000,24.6
63060,24.4
63120,23.6
63180,23.4
63240,23.8
63300,24.2
63360,25.0
63420,23.2
63480,24.8
63540,25.6
63600,23.0
63660,24.0
63720,24.4
63780,25.2
63840,24.6
63900,23.4
63960,24.2
64020,25.0
64080,23.6
64140,23.0
64200,25.4
64260,24.6
64320,25.0
64380,23.6
64440,24.4
64500,25.0
64560,24.8
64620,24.8
64680,24.4
64740,25.0
64800,24.4
64860,25.2
64920,24.0
64980,24.6
65040,24.6
65100,23.8
65160,24.0
65220,24.6
65280,22.6
65340,23.4
65400,23.8
65460,23.2
65520,23.8
65580,24.2
65640,23.8
65700,24.6
65760,24.4
65820,24.6
65880,25.2
65940,23.4
66000,24.0
66060,24.8
66120,23.6
66180,23.6
66240,23.4
66300,23.6
66360,24.2
66420,23.8
66480,24.0
66540,24.4
66600,25.6
66660,24.2
66720,23.8
66780,24.0
66840,24.8
66900,24.2
66960,22.0
67020,22.2
67080,23.0
67140,21.4
67200,22.8
67260,22.6
67320,24.0
67380,23.2
67440,24.2
67500,23.2
67560,22.6
67620,24.2
67680,22.6
67740,23.2
67800,23.4
67860,22.6
67920,24.8
67980,23.6
68040,24.4
68100,24.0
68160,24.0
68220,23.2
68280,22.6
68340,23.6
68400,22.8
68460,21.6
68520,22.6
68580,22.8
68640,23.8
68700,23.0
68760,23.0
68820,20.8
68880,24.2
68940,23.0
69000,23.6
69060,24.0
69120,24.2
69180,23.8
69240,23.0
69300,24.4
69360,23.0
69420,24.4
69480,26.4
69540,25.4
69600,22.0
69660,25.0
69720,25.8
69780,25.2
69840,26.2
69900,25.0
69960,23.8
70020,23.4
70080,25.0
70140,24.8
70200,24.2
70260,23.6
70320,26.2
70380,26.0
70440,25.8
70500,26.2
70560,23.2
70620,25.2
70680,26.2
70740,24.6
70800,25.0
70860,24.2
70920,25.4
70980,25.0
71040,25.2
71100,25.0
71160,24.6
71220,23.4
71280,24.6
71340,25.8
71400,23.8
71460,24.8
71520,24.8
71580,24.8
71640,23.0
71700,24.0
71760,22.8
71820,25.2
71880,25.2
71940,24.0
72000,24.6
72060,25.8
